2POINTZE.DH	Two Point Zero Group PJSC	2.07			
ADCB.DH	Abu Dhabi Commercial Bank PJSC	15.34			
ADIB.DH	Abu Dhabi Islamic Bank PJSC	23.20			
ADNOCDIS.DH	Abu Dhabi National Oil Company for Distribution PJSC	4.08			
ADNOCDRI.DH	ADNOC Drilling Company PJSC	6.10			
ADNOCGAS.DH	ADNOC Gas PLC	3.29			
ADNOCLS.DH	ADNOC Logistics & Services	6.79			
ADPORTS.DH	ABU DHABI PORTS CO PJSC	6.05			
ALDAR.DH	Aldar Properties PJSC	7.74			
ALPHADHA.DH	Alpha Dhabi Holding PJSC	7.59			
AMR.DH	Americana Restaurants International PLC	2.36			
APEX.DH	Apex Investment Company PJSC	3.48			
ASM.DH	AL Seer Marine Supplies & Equipment Co LLC	2.81			
BOROUGE.DH	Borouge PLC	2.44			
BURJEEL.DH	Burjeel Holdings PLC	1.26			
EAND.DH	Emirates Telecommunications Group	21.60			
EASYLEAS.DH	Easy Lease Motor Cycle Rental PSC	20.30			
ESG.DH	ESG Emirates Stallions Group PrJSC	11.40			
ESHRAQ.DH	Eshraq Investments PJSC	0.56			
FAB.DH	First Abu Dhabi Bank PJSC	19.60			
IHC.DH	International Holding Company PJSC	373.70			
JULPHAR.DH	Gulf Pharmaceutical Industries PSC	1.06			
LULU.DH	Lulu Retail Holdings PLC	0.95			
MODON.DH	Modon Holding PSC	2.85			
NMDC.DH	NMDC Group PJSC	23.88			
PALMS.DH	Palms Sports PrJSC	7.87			
PHX.DH	Phoenix Group PLC	0.60			
PRESIGHT.DH	Presight AI Holding PLC	3.77			
PUREHEAL.DH	Pure Health Holding PJSC	2.62			
