AALB.NV	Aalberts NV	43.00			2.64%
ABN.NV	ABN AMRO Group NV	40.89			3.34%
ACOMO.NV	Acomo NV	23.85			5.81%
AD.NV	Koninklijke Ahold NV	31.19			4.01%
ADYEN.NV	Adyen NV	1.08K			0%
AGN.NV	Aegon Ltd	7.91			5.02%
AJAX.NV	AFC Ajax NV	8.76			0%
AKZA.NV	Akzo Nobel NV	60.60			3.23%
ALFEN.NV	Alfen N.V	12.05			0%
ALLFG.NV	Allfunds Group PLC	9.05			2.22%
ALX.NV	Alumexx NV	1.42			0%
AMG.NV	AMG Advanced Metallurgical Group NV	32.26			1.26%
AMUND.NV	Almunda Professionals NV	0.96			6.25%
APAM.NV	Aperam S.A	45.60			4.31%
ARCAD.NV	Arcadis NV	43.60			2.40%
ASM.NV	ASM International NV	828.20			0.40%
ASML.NV	ASML Holding NV	1.50K			0.52%
ASRNL.NV	ASR Nederland NV	70.78			6.88%
AVTX.NV	Avantium NV	4.88			0%
AXS.NV	Accsys Technologies PLC	0.82			0%
AZRN.NV	Azerion Group NV	1.04			0%
BAMNB.NV	Koninklijke BAM Groep NV	11.49			2.62%
BESI.NV	BE Semiconductor Industries NV	199.20			0.82%
BFIT.NV	Basic-Fit N.V	33.64			0%
BNJ.NV	Banijay Group NV	8.78			3.66%
BRNL.NV	Brunel International NV	7.60			0.79%
BSGR.NV	B&S Group SA	5.85			3.25%
CABKA.NV	Cabka NV	2.00			0%
CCEP.NV	Coca-Cola Europacific Partners PLC	94.20			2.20%
CMCOM.NV	CM.com NV	7.02			0%
CRBN.NV	Corbion NV	19.70			3.22%
CSG.NV	Czechoslovak Group	18.37			0%
CTAC.NV	Ctac NV	2.75			4.00%
CTPNV.NV	Ctp NV	14.34			4.35%
CVC.NV	CVC Capital Partners PLC	15.06			4.95%
DSFIR.NV	DSM-FIRMENICH AG	91.70			0.92%
EARTH.NV	Green Earth Group NV	1.05			0%
EAS2P.NV	Ease2pay NV	0.45			0%
ECMPA.NV	Eurocommercial Properties NV	27.10			4.09%
ENVI.NV	Envipco Holding NV	4.11			0%
EXO.NV	Exor NV	71.65			0.68%
FAST.NV	Fastned BV	35.65			0%
FER.NV	Ferrovial NV	54.12			0%
FFARM.NV	ForFarmers NV	5.78			5.20%
FLOW.NV	Flow Traders Cooperatief UA	29.22			0%
FUR.NV	Fugro NV	9.00			1.66%
HAL.NV	HAL Trust	160.60			2.20%
HAVAS.NV	Havas Bv	18.70			4.34%
HEIA.NV	Heineken	72.42			2.64%
HEIJM.NV	Koninklijke Heijmans NV	87.45			2.67%
HEIO.NV	Heineken Holding NV	68.10			2.82%
HOLCO.NV	Holland Colours NV	78.00			2.59%
IMCD.NV	IMCD NV	95.52			1.86%
INGA.NV	ING Groep NV	30.16			3.72%
INPST.NV	InPost SA	15.52			0%
JDEP.NV	JDE Peet's NV	31.84			0%
KENDR.NV	Kendrion NV	18.92			3.55%
KPN.NV	KPN	4.12			4.61%
LIGHT.NV	Signify NV	15.20			10.27%
LKFT.NV	Lakefront Biotherapeutics	25.44			0%
MICC.NV	MAGNUM ICE CREAM CO NV	17.27			0%
MORE.NV	Morefield Group NV	0.97			0%
MT.NV	ArcelorMittal SA	62.56			0.77%
NAI.NV	New Amsterdam Invest NV	8.40			5.47%
NEDAP.NV	Nedap NV	91.50			4.06%
NEDSE.NV	MKB Nedsense NV	0.08			0%
NN.NV	NN Group NV	77.40			5.22%
NRP.NV	Nepi Rockcastle NV	7.80			0%
NSI.NV	NSI NV	16.80			9.36%
NXFIL.NV	NX Filtration NV	3.58			0%
OCI.NV	OCI NV	4.04			0%
PBH.NV	PB Holding N.V.	3.50			0%
PHARM.NV	Pharming Group NV	1.01			0%
PHIA.NV	Koninklijke Philips N.V.	23.45			3.67%
PNL.NV	PostNL NV	0.88			4.50%
PRX.NV	Prosus NV	38.05			0%
RAND.NV	Randstad Holding NV	39.79			4.08%
REINA.NV	Reinet Investments SCA	23.57			1.55%
REN.NV	RELX PLC	30.74			2.62%
SBMO.NV	SBM Offshore NV	34.46			1.47%
SHELL.NV	Shell PLC	39.60			0%
SIFG.NV	Sif Holding NV	3.79			0%
SLIGR.NV	Sligro Food Group NV	10.54			4.74%
THEON.NV	Theon International Plc	33.64			0.92%
TKWY.NV	Just Eat Takeaway.com NV	20.22			0%
TOM2.NV	TomTom BV	4.09			0%
TWEKA.NV	TKH Group	49.80			2.70%
UMG.NV	Universal Music Group N.V	14.88			3.55%
UNA.NV	Unilever PLC	55.66			3.40%
VALUE.NV	Value8 NV	6.45			3.26%
VLK.NV	Van Lanschot Kempen NV	65.35			4.55%
VPK.NV	Koninklijke Vopak NV	47.56			3.84%
VVY.NV	Vivoryon Therapeutics NV	1.12			0%
WHA.NV	Wereldhave NV	18.48			7.03%
WKL.NV	Wolters Kluwer NV	69.50			3.65%
