BPMC CVR	Sanofi and BPMC Acquisition CVR	0.00				CVR	NOT_TRADEABLE
B	Barrick Mining Corp	44.53	41.20	53.00	86.00	OK	TRADEABLE
BA	Boeing	213.32	250.00	275.71	305.00	OK	TRADEABLE
BABA	Alibaba-ADR	112.70	160.00	192.53	220.10	OK	TRADEABLE
BAC	Bank of America Corp	62.40	62.00	68.00	74.00	OK	TRADEABLE
BAH	Booz Allen Hamilton Holding Corp	72.61	68.00	82.75	140.00	OK	TRADEABLE
BAK	Braskem S.A.-ADR	1.93				NOFAQ	TRADEABLE
BALL	Ball Corp	61.79	65.00	71.86	78.00	OK	TRADEABLE
BAM	Brookfield Asset Management Ltd	50.43	50.00	56.43	70.00	OK	TRADEABLE
BANC	Banc Of California	18.92	21.00	22.57	24.00	OK	TRADEABLE
BAP	Credicorp Ltd	383.10	473.00	473.00	473.00	OK	TRADEABLE
BARK	The Original Bark Co	10.60	12.00	12.00	12.00	OK	TRADEABLE
BAX	Baxter International Inc	25.42	21.00	25.40	29.00	OK	TRADEABLE
BB	BlackBerry Limited	7.61	8.00	9.96	13.00	OK	TRADEABLE
BBAI	Bigbear.Ai Holdings Inc	2.90	4.00	4.00	4.00	OK	TRADEABLE
BBAR	Banco BBVA Argentina SA	14.95	20.00	20.00	20.00	OK	TRADEABLE
BBD	Banco Bradesco ADR	3.57				NOFAQ	TRADEABLE
BBDC	Barings Bdc Inc	8.94	9.50	9.83	10.00	OK	TRADEABLE
BBDO	Banco Bradesco SA	3.19				NOFAQ	TRADEABLE
BBT	Beacon Financial Corp	31.62	36.00	36.00	36.00	OK	TRADEABLE
BBUC	Brookfield Business Corp	27.48	32.00	39.17	45.00	OK	TRADEABLE
BBVA.US	Banco Bilbao Vizcaya Argentaria SA-ADR	29.36	29.03	29.03	29.03	OK	TRADEABLE
BBW	Build-A-Bear Workshop Inc	29.05	40.00	40.00	40.00	OK	TRADEABLE
BBWI	Bath & Body Works Inc	19.24	17.00	21.89	25.00	OK	TRADEABLE
BBY	Best Buy Co Inc	88.79	77.00	89.08	100.00	OK	TRADEABLE
BC	Brunswick Corp	73.14	80.00	86.67	94.00	OK	TRADEABLE
BCC	Boise Cascade Company	77.36	89.00	97.50	105.00	OK	TRADEABLE
BCE	BCE Inc	23.65	26.02	27.71	31.80	OK	TRADEABLE
BCH.US	Banco de Chile	42.61	45.00	45.00	45.00	OK	TRADEABLE
BCO	Brinks Co	108.29	141.00	141.00	141.00	OK	TRADEABLE
BCS	Barclays PLC-ADR	26.96	33.50	33.50	33.50	OK	TRADEABLE
BCSF	Bain Capital Specialty Finance Inc	11.73	12.00	12.67	13.00	OK	TRADEABLE
BDC	Belden Inc	122.26	145.00	158.67	170.00	OK	TRADEABLE
BDN	Brandywine Realty Trust	3.07	3.00	3.00	3.00	OK	TRADEABLE
BDX	Becton Dickinson & Co.	181.96	180.00	190.00	210.00	OK	TRADEABLE
BE	Bloom Energy Corp	274.74	188.00	286.25	335.00	OK	TRADEABLE
BEKE	KE Holdings Inc.-ADR	17.23	22.40	24.20	26.00	OK	TRADEABLE
BEN	Franklin Templeton Inc	34.64	34.00	37.67	41.00	OK	TRADEABLE
BEPC	Brookfield Renewable Corp	32.53	36.00	39.00	42.00	OK	TRADEABLE
BETA	BETA Technologies, Inc	22.27	30.00	32.80	37.00	OK	TRADEABLE
BF-B	Brown-Forman Corporation	27.12				NOFAQ	TRADEABLE
BF.A	Brown Forman Corporation	29.35				NOFAQ	TRADEABLE
BFAM	Bright Horizons Family Solutions	68.49	88.00	92.75	95.00	OK	TRADEABLE
BFH	Bread Financial Holdings Inc	107.94	108.00	121.90	132.00	OK	TRADEABLE
BFLY	Butterfly Network Inc.	7.36	6.00	8.00	10.00	OK	TRADEABLE
BFS	Saul Centers Inc	32.42				NOFAQ	TRADEABLE
BG	Bunge Global S.A.	125.88	145.00	148.33	150.00	OK	TRADEABLE
BGS	B&G Foods Inc.	3.25	4.50	4.50	4.50	OK	TRADEABLE
BH	Biglari Holdings Inc-B	379.72				NOFAQ	TRADEABLE
BHA	Biglari Holdings Inc	1903.34				NOFAQ	TRADEABLE
BHB	Bar Harbor Bankshares	40.35	38.00	41.00	44.00	OK	TRADEABLE
BHC	Bausch Health Companies Inc	6.62	9.00	9.00	9.00	OK	TRADEABLE
BHE	Benchmark Electronics Inc	73.11	90.00	91.00	92.00	OK	TRADEABLE
BHP	BHP Group Ltd ADR	93.08	61.50	61.50	61.50	OK	TRADEABLE
BHVN	Biohaven Ltd	15.30	10.00	21.86	30.00	OK	TRADEABLE
BILL	BILL Holdings Inc	47.51	54.00	56.33	60.00	OK	TRADEABLE
BIO.US	Bio-Rad Laboratories Inc	383.42	330.00	350.00	390.00	OK	TRADEABLE
BIP	Brookfield Infrastructure Partners LP	37.05	47.00	49.75	57.00	OK	TRADEABLE
BIPC	Brookfield Infrastructure Corp	37.46	48.00	48.00	48.00	OK	TRADEABLE
BIRK	Birkenstock Holding Ltd	33.89	39.00	55.55	76.00	OK	TRADEABLE
BJ	BJ's Wholesale Club Holdings Inc	90.88	100.00	105.67	115.00	OK	TRADEABLE
BKD	Brookdale Senior Living Inc	11.90	17.00	20.00	23.00	OK	TRADEABLE
BKE	The Buckle Inc	42.62	46.00	46.00	46.00	OK	TRADEABLE
BKH	Black Hills Corporation	74.18	87.00	87.00	87.00	OK	TRADEABLE
BKR	Baker Hughes Company	64.43	70.00	74.17	80.00	OK	TRADEABLE
BKSY	Blacksky Technology Inc	20.82	33.00	35.00	36.00	OK	TRADEABLE
BKTI	BK Technologies Corp	71.68	97.00	97.00	97.00	OK	TRADEABLE
BKU	BankUnited Inc.	46.18	42.00	48.60	54.00	OK	TRADEABLE
BKV	BKV Corp	27.11	28.00	33.14	36.00	OK	TRADEABLE
BLCO	Bausch + Lomb Corp	17.81	16.00	18.75	21.00	OK	TRADEABLE
BLDR	Builders FirstSource Inc	63.83	66.00	82.33	100.00	OK	TRADEABLE
BLK	BlackRock Inc	1107.41	1250.00	1318.38	1450.00	OK	TRADEABLE
BLND.US	Blend Labs Inc.	1.48	1.80	2.40	3.00	OK	TRADEABLE
BLSH	Bullish	35.55	30.00	40.20	50.00	OK	TRADEABLE
BLX	Bladex Inc	55.64				NOFAQ	TRADEABLE
BMA	Banco Macro S A	78.83	91.00	111.50	132.00	OK	TRADEABLE
BMI	Badger Meter Inc	131.24	160.00	162.50	165.00	OK	TRADEABLE
BMNR	Bitmine Immersion Technologies Inc	24.74	30.00	30.00	30.00	OK	TRADEABLE
BMO	Bank of Montreal	176.23	174.19	192.82	213.22	OK	TRADEABLE
BMY	Bristol-Myers Squibb Co	64.82	40.00	66.53	80.00	OK	TRADEABLE
BN.US	Brookfield Corp	40.04	51.00	55.33	61.00	OK	TRADEABLE
BNL	Broadstone Net Lease Inc	20.80	20.00	23.25	26.00	OK	TRADEABLE
BNS	The Bank of Nova Scotia	93.58	93.24	99.74	109.86	OK	TRADEABLE
BNT-US	Brookfield Wealth Solutions Ltd	42.04				NOFAQ	TRADEABLE
BNY	Bank of New York Mellon Corp	163.16	151.00	168.54	180.00	OK	TRADEABLE
BOBS	Bob's Discount Furniture, Inc	17.34	19.00	20.33	22.00	OK	TRADEABLE
BOC	Boston Omaha Corporation	13.73				NOFAQ	TRADEABLE
BOH	Bank of Hawaii Corp	76.73	85.00	87.20	92.00	OK	TRADEABLE
BOOT	Boot Barn Holdings Inc	152.07	202.00	234.86	282.00	OK	TRADEABLE
BORR	Borr Drilling Ltd	4.55	5.50	5.50	5.50	OK	TRADEABLE
BOX	Box Inc	34.12	36.00	36.00	36.00	OK	TRADEABLE
BP.US	BP plc ADR	45.15	41.00	48.00	53.00	OK	TRADEABLE
BR	Broadridge Financial Solutions	168.86	176.00	190.00	214.00	OK	TRADEABLE
BRBR	BellRing Brands Inc	9.87	13.00	16.50	20.00	OK	TRADEABLE
BRC	Brady Corporation	88.86	103.00	103.00	103.00	OK	TRADEABLE
BRCC	Brc Inc-A	8.65	1.75	13.38	25.00	OK	TRADEABLE
BRK.B	Berkshire Hathaway Inc	504.05				NOFAQ	TRADEABLE
BRO	Brown & Brown Inc	69.24	69.00	75.55	86.00	OK	TRADEABLE
BROS	Dutch Bros Inc.	46.13	68.00	77.33	86.00	OK	TRADEABLE
BRSL	Brightstar Lottery	11.22	11.00	13.50	16.00	OK	TRADEABLE
BRSP	BrightSpire Capital Inc	4.66	6.50	6.50	6.50	OK	TRADEABLE
BRT	BRT Apartments Corp	14.38	15.50	15.50	15.50	OK	TRADEABLE
BRX	Brixmor Property Group Inc	29.24	34.00	35.60	37.00	OK	TRADEABLE
BSAC	Banco Santander Chile-ADR	35.78	33.00	38.00	43.00	OK	TRADEABLE
BSBR	Banco Santander Brasil SA	5.96	5.20	5.60	6.00	OK	TRADEABLE
BSM	Black Stone Minerals LP	14.82	16.00	16.00	16.00	OK	TRADEABLE
BSX.US	Boston Scientific Corp	46.77	50.00	59.85	85.00	OK	TRADEABLE
BTG.US	B2Gold Corp	5.64	4.00	6.19	7.50	OK	TRADEABLE
BTGO	BitGo Holdings, Inc	7.49	6.50	10.58	15.00	OK	TRADEABLE
BTI	British American Tobacco PLC ADR	55.44	68.10	68.10	68.10	OK	TRADEABLE
BTU	Peabody Energy Corporation	29.66	27.00	29.88	36.00	OK	TRADEABLE
BUD	Anheuser-Busch Inbev Sa-ADR	80.92	97.00	101.00	105.00	OK	TRADEABLE
BUR	Burford Capital Ltd	4.39	6.08	6.08	6.08	OK	TRADEABLE
BURL	Burlington Stores Inc	257.89	318.00	375.14	440.00	OK	TRADEABLE
BV.US	BrightView Holdings Inc	11.28	10.80	13.80	16.00	OK	TRADEABLE
BVN	Compañía de Minas Buenaventura S.A.A	34.38	34.50	37.25	40.00	OK	TRADEABLE
BW	Babcock & Wilcox Enterprises Inc	7.49	23.00	23.00	23.00	OK	TRADEABLE
BWA	BorgWarner Inc	67.10	71.00	80.50	87.00	OK	TRADEABLE
BWMX	Betterware De Mexico Sapi De	15.73				NOFAQ	TRADEABLE
BWXT	BWX Technologies Inc.	159.18	170.00	227.60	253.00	OK	TRADEABLE
BX	BlackStone Group LP	135.47	119.00	142.00	171.00	OK	TRADEABLE
BXC	BlueLinx Holdings Inc	81.26	83.00	83.50	84.00	OK	TRADEABLE
BXDC	Blackstone Digital Infrastructure Trust Inc	20.53	22.00	24.00	26.00	OK	TRADEABLE
BXMT	Blackstone Mortgage Trust Inc	14.02	16.00	17.00	18.00	OK	TRADEABLE
BXP	Boston Properties Inc	66.90	60.00	77.17	87.00	OK	TRADEABLE
BXSL	Blackstone Secured Lending Fund	24.66	22.00	24.44	26.00	OK	TRADEABLE
BY	Byline Bancorp Inc	38.63	40.00	42.33	46.00	OK	TRADEABLE
BYD	Boyd Gaming	77.06	87.00	92.57	100.00	OK	TRADEABLE
BZH	Beazer Homes USA Inc	33.28	33.50	33.50	33.50	OK	TRADEABLE
