RAIN	Rain Enhancement Technologies Holdco Inc	0.89			NOFAQ	TRADEABLE
RAPP	Rapport Therapeutics Inc	42.68	50.00	60.86	75.00	OK	TRADEABLE
RARE.US	Ultragenyx Pharmaceutical Inc.	13.07	16.00	29.13	68.00	OK	TRADEABLE
RBB	Rbb Bancorp	26.74	27.00	28.50	29.00	OK	TRADEABLE
RBBN	Ribbon Communications Inc	1.83	2.20	3.17	4.00	OK	TRADEABLE
RBC	RBC Bearings Incorporated	483.71	645.00	659.00	686.00	OK	TRADEABLE
RBCAA	Republic Bancorp Inc	94.94			NOFAQ	TRADEABLE
RBNE	Robin Energy Ltd	2.56			NOFAQ	NOT_TRADEABLE
RCAT	Red Cat Holdings Inc	7.97	15.00	18.75	25.00	OK	TRADEABLE
RCEL	AVITA Medical Inc	10.21	11.00	12.50	14.00	OK	TRADEABLE
RCKT	Rocket Pharmaceuticals Inc	3.41	10.00	11.75	15.00	OK	TRADEABLE
RCKY	Rocky Brands Inc	42.79	50.00	50.00	50.00	OK	TRADEABLE
RCMT	RCM Technologies Inc	39.15	45.00	45.00	45.00	OK	TRADEABLE
RDNT	Radnet Inc	77.12	94.00	94.50	95.00	OK	TRADEABLE
RDNW	RideNow Group Inc	5.63				NOFAQ	TRADEABLE
RDWR	Radware Ltd	29.77				NOFAQ	TRADEABLE
RDZN	Roadzen Inc	1.20	5.00	5.00	5.00	OK	TRADEABLE
REAL	RealReal Inc	9.44	15.00	17.50	20.00	OK	TRADEABLE
REFI	Chicago Atlantic Real Estate Finance Inc	10.93	20.00	20.00	20.00	OK	TRADEABLE
REG	Regency Centers Corp	74.05	85.00	86.20	88.00	OK	TRADEABLE
REGN	Regeneron Pharmaceuticals Inc	774.11	737.00	842.06	1030.00	OK	TRADEABLE
REKR	Rekor Systems Inc	0.44	3.00	3.00	3.00	OK	TRADEABLE
RELL	Richardson Electronics Ltd	16.28	24.00	24.00	24.00	OK	TRADEABLE
RELY	Remitly Global Inc	21.83	32.00	33.00	35.00	OK	TRADEABLE
RENEF	Cartesian Growth Corp Ii- A	12.71				NOFAQ	NOT_TRADEABLE
RENT	Rent the Runway	2.07				NOFAQ	TRADEABLE
REPL	Replimune Group Inc	13.03	14.00	18.50	21.00	OK	TRADEABLE
REYN	Reynolds Consumer Products Inc	21.94	26.00	26.00	26.00	OK	TRADEABLE
RGC	Regencell Bioscience Holdings Ltd	5.60				NOFAQ	TRADEABLE
RGCO	RGC Resources Inc	21.46				NOFAQ	TRADEABLE
RGEN	Repligen Corp	174.73	145.00	184.11	225.00	OK	TRADEABLE
RGLD	Royal Gold Inc.	251.16	218.00	286.60	315.00	OK	TRADEABLE
RGNX	REGENXBIO Inc	7.95	10.00	21.25	42.00	OK	TRADEABLE
RGP	Resources Connection Inc	4.17	6.00	6.00	6.00	OK	TRADEABLE
RGTI	Rigetti Computing Inc	15.09	18.00	26.83	40.00	OK	TRADEABLE
RHLD	Resolute Holdings Management Inc	123.44				NOFAQ	NOT_TRADEABLE
RICK	RCI Hospitality Holdings Inc	28.54				NOFAQ	TRADEABLE
RIGL	Rigel Pharmaceuticals Inc	44.36	43.00	65.00	85.00	OK	TRADEABLE
RILY	BRC Group Holdings Inc	5.99				NOFAQ	TRADEABLE
RIOT	Riot Platforms Inc	19.70	22.00	33.55	43.00	OK	TRADEABLE
RIVN	Rivian Automotive	15.54	8.00	16.80	24.00	OK	TRADEABLE
RKLB	Rocket Lab Corp	63.55	76.00	111.00	135.00	OK	TRADEABLE
RLAY	Relay Therapeutics Inc.	18.97	20.00	27.20	31.00	OK	TRADEABLE
RLMD	Relmada Therapeutics Inc	4.44	12.00	14.33	19.00	OK	TRADEABLE
