ABI.BR	Anheuser Busch InBev	67.44			1.70%
ABO.BR	Abo-Group Environment NV	3.90			0%
ACCB.BR	Accentis NV	0.03			0%
ACKB.BR	Ackermans & Van Haaren NV	257.60			1.75%
AED.BR	Aedifica SA	69.35			5.80%
AGFB.BR	AGFA Gevaert NV	0.43			0%
AGS.BR	Ageas NV	74.25			5.03%
ARGX.BR	Argenx Se	879.20			0%
ASCE.BR	Ascencio SA	52.20			8.54%
ATEB.BR	Atenor SA	1.29			0%
AZE.BR	Azelis Group NV	12.00			1.86%
BANI.BR	Banimmo SA	3.06			0%
BANQ.BR	Banqup Group	1.90			0%
BAR.BR	Barco NV	7.72			7.07%
BEKB.BR	NV Bekaert SA	37.95			5.05%
BIOS.BR	Biosenic SA	0.00			0%
BNB.BR	Nationale Bank Van Belgie NV	383.00			0%
BPOST.BR	Bpost SA	1.30			0%
BREB.BR	Brederode SA	103.80			0%
BTLS.BR	Biotalys NV	2.67			0%
CENER.BR	Cenergy Holdings SA	22.82			1.13%
CFEB.BR	Compagnie dentreprises CFE SA	11.75			4.24%
COLR.BR	Colruyt Group	39.26			3.54%
COMB.BR	Compagnie du Bois Sauvage SA	296.00			2.92%
CPINV.BR	Care Property Invest NV	12.22			8.22%
DECB.BR	Deceuninck NV	2.40			3.78%
DEME.BR	DEME Group NV	170.20			2.48%
DIE.BR	DIeteren Group SA	176.10			1.13%
ECONB.BR	Econocom Group SE	1.48			0%
EKOP.BR	Ekopak NV	3.73			0%
ELI.BR	Elia Group SA	127.00			1.60%
EVS.BR	EVS	29.95			4.06%
FAGR.BR	Fagron NV	22.45			1.78%
FLUX.BR	Fluxys Belgium NV	21.60			6.57%
GBLB.BR	Groupe Bruxelles Lambert	73.55			7.00%
GIMB.BR	Gimv NV	44.20			4.40%
HOMI.BR	Home Invest Belgium SA	19.12			5.44%
HYL.BR	Hyloris Pharmaceuticals SA	4.40			0%
HYSG.BR	Hybrid Software Group PLC	4.04			0%
IBAB.BR	Ion Beam Applications SA	15.94			1.55%
IEP.BR	Iep Invest NV	0.00			0%
IMMO.BR	Compagnie Immobiliere de Belgique	20.90			0%
INCLU.BR	Inclusio SA	16.90			5.44%
JEN.BR	Jensen-Group NV	73.20			2.03%
KBC.BR	KBC Groep	132.90			3.82%
KBCA.BR	Kbc Ancora NV	94.20			0%
KIN.BR	Kinepolis Group NV	46.30			1.43%
LOTB.BR	Lotus Bakeries NV	13.10K			0.69%
MELE.BR	Melexis NV	65.05			5.67%
MONT.BR	Montea NV	66.70			5.89%
NEXTA.BR	Nextensa NV	45.85			2.17%
NYXH.BR	Nyxoah SA	1.44			0%
OBEL.BR	Orange Belgium NV	22.10			0%
ONTEX.BR	Ontex Group NV	2.66			0%
ONWD.BR	ONWARD Medical NV	2.29			0%
OPTI.BR	Option	3.83			0%
PROX.BR	Proximus SA	6.30			9.49%
QFG.BR	Quest for Growth NV	2.97			0%
QRF.BR	Qrf NV	10.10			8.18%
RECT.BR	Recticel NV	12.76			2.45%
RET.BR	Retail Estates NV	66.20			7.83%
SEQUA.BR	Sequana Medical NV	0.61			0%
SHUR.BR	Shurgard Self Storage Ltd	23.75			0%
SIP.BR	Sipef NV	101.20			4.17%
SOF.BR	Sofina SA	244.80			1.50%
SOLB.BR	SOLVAY	25.58			9.51%
SYENS.BR	Syensqo SA	79.45			2.02%
TESB.BR	Tessenderlo Group NV	20.80			0%
TEXF.BR	Texaf NV	41.40			4.58%
TINC.BR	Tinc NV	11.22			1.51%
TITC.BR	Titan SA	51.15			2.08%
TUB.BR	Financiere de Tubize SA	192.10			0.57%
UCB.BR	UCB SA	224.10			0.66%
UMI.BR	Umicore	23.36			2.15%
VAN.BR	Van de Velde NV	29.80			7.89%
VASTB.BR	Vastned Belgium NV	28.80			6.47%
VGP.BR	VGP NV	81.80			4.18%
VIO.BR	Viohalco SA	17.36			1.58%
WDP.BR	Warehouses De Pauw NV	21.54			5.74%
WEB.BR	Warehouses Estates Belgium SA	38.20			8.84%
WEHB.BR	Wereldhave Belgium NV	52.20			8.01%
WHATS.BR	Whats Cooking Group NV	146.00			3.08%
XIOR.BR	Xior Student Housing NV	27.20			0%
