ALKB.CO	ALK Abello A/S	209.80			0.76%
ALMB.CO	ALM Brand AS	17.21			3.81%
ALSYDB.CO	AL Sydbank	653.00			3.77%
AMBUB.CO	Ambu A/S	78.05			0.62%
AOJb.CO	Broedrene A & O Johansen AS	103.60			3.69%
BAVA.CO	Bavarian Nordic A/S	218.20			0%
BIOPOR.CO	Bioporto AS	1.24			0%
BO.CO	Bang & Olufsen AS	11.30			0%
CARLB.CO	Carlsberg A/S Class B	878.80			3.26%
CBRAIN.CO	Cbrain A/S	80.20			1.29%
CHEMM.CO	Chemometec A/S	496.80			1.42%
COLO-B.CO	Coloplast B A/S	463.50			5.06%
COLUM.CO	Columbus AS	9.78			1.28%
CPHCAPST.CO	Copenhagen Capital AS	7.45			0.66%
DABA.CO	Danske Andelskassers Bank AS	16.00			2.17%
DANSKE.CO	Danske Bank A/S	372.50			4.48%
DEMANT.CO	Demant A/S	284.60			0%
DFDS.CO	DFDS AS	156.00			0%
DJUR.CO	Djurslands Bank AS	1.05K			1.91%
DNORD.CO	Dampskibsselskabet Norden A/S	358.40			1.72%
DSV.CO	DSV A/S	1.40K			0.51%
EMBLA.CO	Embla Medical hf	30.15			0%
FFARMS.CO	Firstfarms AS	70.60			0%
FLS.CO	FLSmidth & Co. A/S	597.50			0.66%
FLUGb.CO	Flugger group AS	405.00			4.96%
FOBANK.CO	Foeroya Banki PF	277.00			7.72%
FYNBK.CO	Fynske Bank AS	204.00			2.17%
GMAB.CO	Genmab A/S	2.20K			0%
GN.CO	GN Store Nord A/S	94.54			0%
GRLA.CO	Groenlandsbanken AS	1.05K			7.66%
GUBRA.CO	Gubra A/S	402.40			0%
GYLDb.CO	Gyldendal AS	378.00			5.35%
HARBb.CO	Harboes Bryggeri AS	134.00			3.05%
HH.CO	H+H International A/S	105.40			0%
HLUNB.CO	H. Lundbeck A/S	42.74			2.75%
HUSCO.CO	HusCompagniet AS	33.10			0%
ISS.CO	ISS A/S	292.40			1.09%
JDAN.CO	Jeudan AS	204.00			1.46%
JYSK.CO	Jyske Bank A/S	1.07K			2.31%
KBHL.CO	Copenhagen Airports AS	5.46K			0%
KRE.CO	Kreditbanken AS	9.90K			2.54%
LASP.CO	Laan & Spar Bank AS	1.36K			1.47%
LOLB.CO	Lollands Bank AS	890.00			3.14%
LUXORb.CO	Investeringsselskabet Luxor AS	790.00			6.33%
MAERSKB.CO	A P Moller Maersk	22.09K			2.21%
MATAS.CO	Matas AS	89.20			2.25%
MNBA.CO	Moens Bank AS	392.00			1.03%
MTHH.CO	MT Hoejgaard Holding AS	288.00			3.55%
NETC.CO	Netcompany Group A/S	315.00			0%
NKT.CO	Nkt A/S	930.00			0%
NNIT.CO	NNIT AS	39.65			0%
NORTHM.CO	North Media AS	47.30			2.65%
NOVO-B.CO	Novo Nordisk B A/S	307.80			3.84%
NSIS-B.CO	Novonesis B	447.70			1.46%
NTGNT.CO	NTG Nordic Transport Group AS	280.00			0%
ORSTED.CO	Orsted A/S	139.60			0%
PAALb.CO	Per Aarsleff Holding AS	776.00			1.65%
PARKEN.CO	Parken Sport & Entertainment AS	215.00			1.40%
PNDORA.CO	Pandora A/S	821.60			2.65%
PRIMOF.CO	Prime Office AS	240.00			1.29%
RBREW.CO	Royal Unibrew A/S	433.60			3.67%
RILBA.CO	Ringkjoebing Landbobank AS	1.78K			0.67%
ROCKB.CO	Rockwool International B A/S	210.00			1.94%
RTX.CO	Rtx AS	96.00			0%
SCHO.CO	Schouw & Co AS	750.00			2.24%
SJF.CO	SJF Bank A/S	456.50			2.41%
SKJE.CO	Skjern Bank AS	387.50			0.88%
SOLARb.CO	Solar AS	208.50			0%
SPGP.CO	SP Group AS	480.00			0.81%
STOGR.CO	Scandinavian Tobacco Group AS	70.50			6.28%
TCM.CO	TCM Group AS	66.60			6.78%
TIV.CO	Tivoli AS	634.00			0.87%
TRIFOR.CO	Trifork Group AG	111.50			0%
TRMD-A.CO	Torm PLC	203.20			6.65%
TRYG.CO	Tryg A/S	155.40			5.37%
UIE.CO	UIE PLC	400.00			2.46%
VWS.CO	Vestas Wind Systems A/S	211.20			0.36%
ZEAL.CO	Zealand Pharma A/S	326.90			0%
