ABCL	570442	570442	0	1	0
ABEO	-87966	0	87966	0	1
AAOI	-4853376	0	4853376	0	3
AAON	109584	109584	0	2	0
AAPL	-2277103	0	2277103	0	5
ABAT	-88375	0	88375	0	2
ACDC	5735297	5735297	0	6	0
ACGL	-1093529	0	1093529	0	1
ACIC	-391914	0	391914	0	2
ABNB	-91070566	0	91070566	0	25
ACT	-34945442	0	34945442	0	2
ACMR	-15300651	0	15300651	0	15
ADBE	-31344876	0	31344876	0	12
ACTG	-307242	0	307242	0	4
AEP	-250000	0	250000	0	1
ADPT	-19048480	0	19048480	0	11
AEVA	-1991144	0	1991144	0	2
AEIS	-8638304	0	8638304	0	22
AGNC	-166000	0	166000	0	2
AFCG	1354292	1354292	0	16	0
AGYS	-1761293	0	1761293	0	3
AGNT	-31991307	0	31991307	0	1
ADP	-11391307	0	11391307	0	19
AFRM	-11407338	0	11407338	0	9
AIP	-192223	0	192223	0	2
