AIRARABIA.AE	Air Arabia PJSC	4.95			
AJMANBANK.AE	Ajman Bank PJSC	1.41			
ALANSARI.AE	Al Ansari Financial Services PJSC	0.94			
AMANAT.AE	Amanat Holdings PJSC	1.44			
AMLAK.AE	Amlak Finance PJSC	1.19			
ARMX.AE	Aramex PJSC	1.69			
CBD.AE	Commercial Bank of Dubai PSC	9.45			
DEWA.AE	Dubai Electricity and Water Authority PJSC	2.69			
DEYAAR.AE	Deyaar Development PJSC	0.74			
DFM.AE	Dubai Financial Market PJSC	1.40			
DIB.AE	Dubai Islamic Bank PJSC	7.36			
DIC.AE	Dubai Investments PJSC	3.70			
DSI.AE	Drake & Scull International PJSC	0.23			
DTC.AE	Dubai Taxi Co PJSC	2.25			
DU.AE	Emirates Integrated Telecommunications Company PJSC	11.50			
EMAAR.AE	Emaar Properties PJSC	10.94			
EMAARDEV.AE	Emaar Development PJSC	12.82			
EMIRATESNBD.AE	Emirates NBD Bank PJSC	30.64			
EMPOWER.AE	Emirates Central Cooling Systems Corporation	1.57			
ERC.AE	Emirates Reem Investments Company PJSC	1.88			
ETIHADEN.AE	Etihad Energy Holding PJSC	3.01			
PARKIN.AE	Parkin Company PJSC	5.67			
SALIK.AE	Salik Company PJSC	5.19			
SHUAA.AE	SHUAA Capital PSC	0.21			
SPINNEYS.AE	Spinneys 1961 Holding PLC	1.25			
TAALEEM.AE	Taaleem Holdings PJSC	3.25			
TABREED.AE	National Central Cooling Company PJSC	2.41			
TECOM.AE	TECOM Group PJSC	3.35			
UPP.AE	Union Properties Public Joint Stock Company	0.56			
