0B2.DE	BAWAG Group AG	173.60			1.27%
1FC.DE	FACC AG	16.34			0.61%
1GBS.DE	GBS Software AG	4.44			0%
1SXP.DE	SCHOTT Pharma AG & Co KgaA	22.75			0.78%
1U1.DE	1&1 AG	21.05			0.23%
22UA.DE	Biontech SE	94.65			0%
2HRA.DE	H&R GmbH & Co KgaA	6.10			0%
2INV.DE	2Invest AG	7.94			0%
2M6.DE	Medtronic PLC	79.18			3.09%
3SQ1.DE	AHT Syngas Technology NV	1.91			0%
4DS.DE	Daldrup & Soehne AG	22.30			0.66%
690D.DE	Haier Smart Home Co Ltd	1.88			0%
8TRA.DE	TRATON SE	37.08			0%
93M1.DE	MPH Health Care AG	23.60			20.92%
A1OS.DE	All for One Group SE	68.00			1.76%
A4Y0.DE	Accentro Real Estate AG	40.00			0%
A6T.DE	Artec Technologies AG	2.09			0%
A7A.DE	Heliad AG	14.50			0%
AAD.DE	AMADEUS FIRE AG	21.70			0%
AAG.DE	AUMANN AG	13.60			0%
AAPL.EUR	Apple	267.85			0%
AAQ1.DE	Aap Implantate AG	1.41			0%
ABO.DE	Clearvise AG	1.03			0%
ABS2.DE	Porr AG	38.00			2.73%
ABX.DE	Advanced Blockchain AG	1.00			0%
ACT.DE	Alzchem Group AG	158.90			1.31%
ACWN.DE	AS Creation Tapeten AG	6.80			2.14%
ACX.DE	bet at home com AG	3.23			0%
ADE.DE	Bitcoin Group SE	27.70			0.36%
ADJ.DE	ADO Properties SA	0.12			0%
ADN1.DE	ADESSO SE	59.30			1.30%
ADS.DE	Adidas AG	151.40			1.81%
ADV.DE	Adtran Networks SE	22.90			2.26%
AEIN.DE	Allgeier SE	15.80			6.25%
AFX.DE	Carl Zeiss Meditec AG	31.86			1.69%
AG1.DE	AUTO1 GROUP SE	20.10			0%
AGB2.DE	Agrana Beteiligungs AG	11.00			0%
AIXA.DE	AIXTRON	37.66			0.40%
AJ91.DE	DocCheck AG	10.70			9.17%
ALG.DE	Albis Leasing AG	3.14			3.12%
ALI1.DE	Almonty Industries Inc	15.13			0%
ALV.DE	Allianz SE	436.80			3.88%
AMD.EUR	Advanced Micro Devices Inc	400.30			0%
AMI.DE	Medondo Holding AG	0.15			0%
AMM.DE	Grounds Real Estate Development AG	0.25			0%
AMV0.DE	Aumovio SE	35.85			0%
AMZN.EUR	Amazon.com Inc	223.50			0%
AOF.DE	ATOSS SOFTWARE AG	96.00			2.33%
APM.DE	Ad Pepper Media International NV	2.52			0%
AT1.DE	Aroundtown SA	2.05			3.90%
AUS.DE	AT & S Austria Technologie & Systemtechnik AG	144.40			0%
AVGO.EUR	Broadcom Inc	312.60			0%
AZ2.DE	Andritz AG	79.60			3.34%
B7E.DE	Blue Cap AG	15.75			4.08%
B8A.DE	BAVARIA Industries Group AG	88.87			0%
BAS.DE	BASF SE	51.20			4.35%
BAYN.DE	Bayer AG	48.32			0.23%
BC8.DE	Bechtle AG	35.30			1.97%
BDT.DE	Bertrandt AG	8.72			0%
BEI.DE	Beiersdorf AG	78.22			1.26%
BEZ.DE	Berentzen Gruppe AG	3.12			0%
BFSA.DE	Befesa S.A.	35.10			2.77%
BIJ.DE	Bijou Brigitte modische Accessoires AG	46.60			7.53%
BIKE.DE	Bike24 Holding AG	2.47			0%
BIO0.DE	Biotest AG	30.00			0%
BKHT.DE	Brockhaus Technologies AG	20.70			0%
BMW.DE	Bayerische Motoren Werke Aktiengesellschaft	58.08			7.47%
BNN.DE	BRAIN Biotech AG	2.77			0%
BNR.DE	Brenntag	59.82			3.14%
BOSS.DE	HUGO BOSS	37.79			0.10%
BRNK.DE	Branicks Group AG	0.76			0%
BSL.DE	Basler AG	22.55			0.47%
BST.DE	Bastei Luebbe AG	6.58			5.29%
BVB.DE	Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien	3.16			0%
BWB.DE	Baader Bank AG	6.64			2.99%
BXT.DE	BioNxt Solutions Inc	0.19			0%
BYW.DE	BayWa AG	8.46			0%
BYW6.DE	BayWa Aktiengesellschaft	2.60			0%
C1V0.DE	mVISE AG	7.75			0%
C3R.DE	Cherry SE	1.18			0%
CA1.DE	Circus SE	2.20			0%
