ACIC	0	2	0	2
ACAD	1	1	0	2
AAPL	1	1	1	3
ADV	0	0	1	1
ACT	1	1	1	3
AGMB	0	0	1	1
ALCO	0	1	0	1
ALHC	2	1	0	3
ALMS	1	0	1	2
AMLX	3	0	0	3
AMZN	2	1	0	3
ANIP	2	1	0	3
APC	0	0	1	1
ARDX	0	0	1	1
APPS	0	1	0	1
ATAI	0	0	2	2
AUTL	0	0	1	1
AVNW	1	2	0	3
AXON	1	1	0	2
MICC.NV	3	0	0	3
BEAM	1	1	0	2
BGC	2	1	0	3
BJRI	0	1	1	2
BLTE	1	0	1	2
BRCB	0	0	1	1
BTBT	0	0	1	1
BVS	1	1	1	3
CABA	1	1	0	2
CALM	2	0	0	2
CARG	1	1	1	3
CBRL	0	1	2	3
CCBG	0	1	0	1
CECO	2	0	0	2
CERT	1	1	0	2
CGEM	1	0	0	1
CHDN	1	2	0	3
CHTR	3	0	0	3
CMCSA	3	0	0	3
CNDT	2	1	0	3
COLL	2	0	0	2
CPB	2	1	0	3
CRDF	1	0	0	1
CRNT	0	1	0	1
CRTO	0	1	0	1
CTKB	1	0	0	1
CVGI	0	1	0	1
CYRX	1	0	1	2
DAVE	1	1	0	2
DHC	0	0	2	2
DRS	2	0	0	2
DUOL	0	1	0	1
ECHO	1	1	1	3
ENGN	0	1	2	3
ENVX	0	1	0	1
EVCM	0	0	1	1
EXEL	2	0	1	3
EYE	2	0	0	2
FATE	1	2	0	3
FIBK	0	1	0	1
FIVE	1	1	0	2
FLL	0	0	1	1
FMNB	1	0	1	2
FOXF	2	1	0	3
FRPT	0	2	0	2
FSLY	2	0	1	3
FUTU	1	0	1	2
AMD.EUR	0	2	1	3
GOOG.EUR	2	1	0	3
LIN.DE	0	1	1	2
GASS	1	0	0	1
GDS	1	0	1	2
GOOGL	2	1	0	3
GRAB	1	2	0	3
GYRE	0	0	1	1
HBAN	2	1	0	3
HCSG	2	1	0	3
HIMX	0	0	1	1
HNRG	0	1	0	1
HOOD	1	1	1	3
HSAI	1	1	1	3
HTHT	2	0	1	3
IBKR	1	2	0	3
ICUI	0	1	2	3
IMCR	1	1	1	3
IMSR	0	0	1	1
INBX	1	2	0	3
INGN	1	0	0	1
INOD	0	0	2	2
IONS	1	0	2	3
IPX	1	0	0	1
IRON	0	0	3	3
JBHT	0	0	2	2
JKHY	0	0	2	2
KHC	1	1	1	3
KNSL	0	2	0	2
KYMR	1	1	1	3
KE	0	2	0	2
KRRO	0	0	1	1
LAND	0	0	1	1
LCID	1	0	2	3
LFMD	0	1	0	1
LILAK	0	1	1	2
LITE	1	2	0	3
LMB	2	0	1	3
LOB	1	2	0	3
LQDA	1	1	0	2
LULU	1	0	2	3
LYFT	0	3	0	3
MAZE	3	0	0	3
MBX	2	0	0	2
MCRI	1	1	0	2
MEDP	1	2	0	3
METC	0	2	0	2
MGNI	3	0	0	3
MIRM	0	0	3	3
MLCO	0	1	1	2
MMSI	2	0	1	3
MPB	2	0	0	2
MRNA	2	0	1	3
MVST	1	0	0	1
MZTI	2	1	0	3
NBIS	0	1	0	1
NDAQ	1	1	1	3
NKTX	1	0	1	2
NNOX	1	0	1	2
NRIX	2	0	1	3
NTES	2	1	0	3
NTSK	1	0	0	1
NVMI	0	3	0	3
NWSA	3	0	0	3
A.US	0	2	0	2
AAT	0	2	0	2
ACEL	1	2	0	3
ACRE	2	0	1	3
ADNT	2	1	0	3
AER	0	3	0	3
AFL	0	1	1	2
AGM	0	1	1	2
AI	0	0	3	3
AIZ	2	0	1	3
ALH	1	0	0	1
ALSN	1	2	0	3
AMBP	1	1	1	3
AMN	2	0	0	2
AMRX	0	0	2	2
AMX	2	1	0	3
ANGX	0	1	0	1
APD	3	0	0	3
AQN	1	1	1	3
ARX	0	2	1	3
ASIX	0	2	1	3
ATI	0	3	0	3
AVNT.US	1	1	1	3
AX	2	0	0	2
AZO	2	1	0	3
BANC	2	1	0	3
BABA	1	2	0	3
BBAR	2	0	0	2
BBVA.US	1	2	0	3
BDN	0	1	2	3
BETA	0	2	0	2
BHC	1	0	2	3
BIP	2	1	0	3
BKH	2	1	0	3
BLCO	0	0	3	3
BMA	0	0	1	1
BNL	3	0	0	3
BOH	2	0	1	3
BRBR	3	0	0	3
BRSL	1	2	0	3
BSM	1	2	0	3
BUD	1	1	1	3
BWA	0	2	0	2
BXMT	0	0	2	2
C	1	2	0	3
CAL	0	0	1	1
CAT	1	1	1	3
CBRE	1	2	0	3
CCI	2	1	0	3
CDE	0	2	1	3
CF	1	1	1	3
CHE	2	0	0	2
CI	3	0	0	3
CMTG	1	1	0	2
CNM	1	1	1	3
CNR	0	2	1	3
COLD	1	2	0	3
COTY	0	1	1	2
