ADMCM.HE	Admicom Oyj	27.20			1.18%
AIFORIA.HE	Aiforia Technologies Oyj	1.17			0%
AKTIA.HE	Aktia Bank Abp	12.38			6.47%
ALBAV.HE	Alandsbanken Abp	45.70			7.64%
ALEX.HE	Alexandria Group Oyj	15.00			5.00%
ALMAC.HE	Alma Media Oyj	14.05			3.44%
ANORA.HE	Anora Group Oyj	3.90			6.18%
APETIT.HE	Apetit Oyj	12.00			5.71%
ASPO.HE	Aspo Oyj	7.44			4.79%
ATRAV.HE	Atria Oyj	16.24			4.65%
BITTI.HE	Bittium Oyj	37.10			0.41%
CANATU.HE	Canatu Oyj	5.80			0%
CAPMAN.HE	CapMan Oyj	1.83			7.19%
CTY1S.HE	Citycon Oyj	2.90			0%
DETEC.HE	Detection Technology Oyj	8.00			3.78%
DIGIA.HE	Digia Oyj	5.72			3.38%
EASOR.HE	Easor Oyj	0.52			0%
ELISA.HE	Elisa Oyj	36.52			6.54%
ENENTO.HE	Enento Group Oyj	15.80			6.37%
EQV1V.HE	eQ Oyj	9.02			6.61%
ETTE.HE	Etteplan Oyj	8.58			2.57%
EVLI.HE	Evli Oyj	25.40			4.88%
FIA1S.HE	Finnair Oyj	4.58			0%
FORTUM.HE	Fortum Oyj	20.30			3.66%
FSECURE.HE	F Secure Oyj	2.00			2.02%
FSKRS.HE	Fiskars Oyj Abp	14.02			5.99%
GOFORE.HE	Gofore Oyj	11.42			4.35%
GRK.HE	GRK Infra Oyj	21.60			1.99%
HARVIA.HE	Harvia Oyj	45.10			1.66%
HEALTH.HE	Nightingale Health Oyj	0.93			0%
HIAB.HE	Hiab Oyj	64.00			1.80%
HKFOODS.HE	HKFoods Oyj	1.62			0%
HUH1V.HE	Huhtamaki Oyj	32.16			3.45%
ICP1V.HE	Incap Oyj	8.32			0%
ILKKA.HE	Ilkka Oyj	3.95			6.33%
KALMAR.HE	Kalmar Oyj-B Share	39.06			2.78%
KCR.HE	Konecranes Oyj	29.44			7.42%
KEMIRA.HE	Kemira Oyj	17.44			4.27%
KEMPOWR.HE	Kempower Oyj	10.41			0%
KESKOA.HE	Kesko Oyj	21.50			0%
KESKOB.HE	Kesko Oyj B	22.26			4.04%
KNEBV.HE	KONE Oyj	52.52			3.41%
KOSKI.HE	Koskisen Oyj	8.76			1.61%
LASTIK.HE	Luotea Oyj	7.15			0%
LEMON.HE	Lemonsoft Oyj	4.75			2.88%
LINDEX.HE	Lindex Group Oyj	2.31			0%
LUOTEA.HE	Luotea Plc	1.92			3.61%
MANTA.HE	Mandatum Holding Oy	6.33			13.30%
MEKKO.HE	Marimekko Oyj	9.62			4.38%
METSB.HE	Metsa Board	3.41			0%
METSO.HE	Metso Corporation	18.08			2.14%
MUSTI.HE	Musti Group Oyj	15.05			0%
NESTE.HE	Neste Oyj	31.81			0.63%
NOHOP.HE	NoHo Partners Oyj	7.97			3.91%
NOKIA.HE	Nokia Corp.	8.91			1.59%
NXTMH.HE	Nexstim Oyj	9.28			0%
OLVAS.HE	Olvi Oyj	32.55			4.07%
OMASP.HE	Oma Saastopankki Oyj	16.90			2.13%
ORIOLA.HE	Oriola Oyj	0.90			3.30%
ORNBV.HE	Orion Oyj Class B	80.80			2.15%
OUT1V.HE	Outokumpu Oyj	5.57			3.34%
PAMPALO.HE	Endomines Finland Oyj	10.22			0%
PIHLIS.HE	Pihlajalinna Oyj	10.92			4.91%
PON1V.HE	Ponsse Oyj	23.40			2.35%
PUUILO.HE	Puuilo Oyj	16.76			3.29%
RAIVV.HE	Raisio Oyj	2.48			6.00%
RAUTE.HE	Raute Oyj	14.75			4.44%
REG1V.HE	Revenio Group Oyj	14.78			0%
RELAIS.HE	Relais Group Oyj	14.50			1.04%
REMEDY.HE	Remedy Entertainment Oyj	18.02			0%
SAMPO.HE	Sampo Oyj A	9.83			3.65%
SANOMA.HE	Sanoma Oyj	9.58			4.19%
SBI.HE	Sunborn International Oyj	0.19			0%
SCANFL.HE	Scanfil Oyj	11.50			2.17%
SFOODS.HE	Solar Foods Oyj	5.12			0%
SITOWS.HE	Sitowise Group Oyj	2.55			0%
SSABAH.HE	SSAB AB ser. A	9.09			1.96%
SSH1V.HE	SSH Communications Security Oyj	1.82			0%
STERV.HE	Stora Enso Oyj	9.91			2.52%
SUMMA.HE	Summa Defence Oyj	0.41			0%
SUY1V.HE	Suominen Oyj	0.69			0%
TAALA.HE	Taaleri Oyj	7.30			5.49%
TNOM.HE	Talenom Oyj	1.26			7.61%
TOKMAN.HE	Tokmanni Group Oyj	7.29			2.32%
TTALO.HE	Terveystalo Oyj	7.78			7.29%
TYRES.HE	Nokian Renkaat Oyj	16.58			1.51%
UNITED.HE	United Bankers Oyj	23.20			4.87%
UPM.HE	UPM-Kymmene Oyj	23.79			6.31%
VAIAS.HE	Vaisala Oyj	55.50			1.55%
VALMT.HE	Valmet Corporation	28.48			4.75%
VERK.HE	Verkkokauppa.com Oyj	3.74			2.55%
VIK1V.HE	Viking Line Abp	20.00			2.49%
WRT1V.HE	Wärtsilä Oyj Abp	30.26			1.62%
YIT.HE	YIT Oyj	3.32			0%
