00001.HK	CK Hutchison Holdings Ltd	70.30			3.29%
00002.HK	CLP Holdings Ltd	78.75			4.06%
00006.HK	Power Assets Holdings Ltd	60.60			4.65%
00016.HK	Sun Hung Kai Properties Ltd	124.60			3.03%
00017.HK	New World Development Co Ltd	7.08			0%
00019.HK	Swire Pacific Ltd	104.30			3.64%
00027.HK	Galaxy Entertainment Group Ltd	34.74			6.91%
00066.HK	MTR Corp Ltd	32.56			5.31%
00135.HK	Kunlun Energy Co Ltd	7.54			4.61%
00175.HK	Geely Automobile Holdings Ltd	18.36			2.72%
00241.HK	Alibaba Health Information Tec	3.19			2.15%
00257.HK	China Everbright Environment Group Ltd	5.06			5.34%
00268.HK	Kingdee International Software	8.24			0%
00285.HK	BYD Electronic International	23.18			0.77%
00322.HK	Tingyi Cayman Islands Holding	13.11			3.52%
00384.HK	China Gas Holdings Ltd	5.59			6.26%
00388.HK	Hong Kong Exchanges & Clearing	420.80			2.98%
00763.HK	ZTE Corp	23.66			2.00%
00857.HK	PetroChina Co Ltd	9.92			5.33%
00880.HK	SJM Holdings Ltd	1.41			0%
00966.HK	China Taiping Insurance Holdin	20.68			5.95%
00981.HK	Semiconductor Manufacturing International Corporation	69.70			0%
01055.HK	China Southern Airlines Co Ltd	3.30			0%
01093.HK	CSPC Pharmaceutical Group Ltd	9.53			3.04%
01113.HK	CK Asset Holdings Ltd	46.78			3.81%
01114.HK	Brilliance China Automotive	2.48			0%
01128.HK	Wynn Macau Ltd	5.76			7.08%
01177.HK	Sino Biopharmaceutical Ltd	5.74			1.74%
01211.HK	BYD Co Ltd	92.60			0.44%
01336.HK	New China Life Insurance Co Ltd	49.24			6.30%
01928.HK	Sands China Ltd	14.41			5.20%
02018.HK	AAC Technologies Holdings Inc	40.16			0.87%
02020.HK	ANTA Sports Products Ltd	78.75			3.11%
02196.HK	Shanghai Fosun Pharmaceutical	16.32			2.76%
02269.HK	Wuxi Biologics Cayman Inc	50.75			0%
02313.HK	Shenzhou International Group	37.94			6.80%
02319.HK	China Mengniu Dairy Co Ltd	18.70			3.20%
02382.HK	Sunny Optical Technology Group	62.60			1.93%
02386.HK	Sinopec Engineering Group Co	5.03			5.83%
02388.HK	BOC Hong Kong Holdings Ltd	50.00			4.25%
02688.HK	ENN Energy Holdings Ltd	47.70			6.29%
03333.HK	China Evergrande Group	0.21			0%
03690.HK	Meituan Class B	78.05			0%
0386.HK	China Petroleum & Chemical Corporation	4.71			4.79%
0390.HK	China Railway Group	3.45			2.87%
03908.HK	China International Capital Co	22.30			1.63%
03993.HK	China Molybdenum Co Ltd	18.09			1.80%
0434.HK	Boyaa Interactive International Limited	2.93			1.25%
06060.HK	ZhongAn Online P&C Insurance	12.31			0%
0656.HK	Fosun International	5.28			0%
06862.HK	Haidilao International Holding	12.25			5.89%
0688.HK	China Overseas Land & Investment	14.35			3.48%
06881.HK	China Galaxy Securities Co Ltd	8.02			4.93%
06886.HK	Huatai Securities Co Ltd	17.36			3.60%
0700.HK	Tencent	445.40			1.19%
0728.HK	China Telecom	4.86			6.24%
0753.HK	Air China	4.04			0%
0762.HK	China Unicom HK	5.78			8.04%
0883.HK	Cnooc	24.92			5.14%
0902.HK	Huaneng Power International Inc (HK)	5.48			8.30%
0914.HK	Anhui Conch	17.70			5.44%
0916.HK	China Longyuan	5.61			3.23%
0939.HK	China Construction Bank	9.21			4.76%
0941.HK	China Mobile	80.10			10.20%
0968.HK	Xinyi Solar Holdings Ltd	2.31			0.44%
0992.HK	Lenovo Group	30.56			1.38%
0998.HK	China Citic Bank	8.05			5.30%
101.HK	Hang Lung Properties Ltd	7.30			7.12%
1024.HK	Kuaishou Technology	33.62			2.05%
1038.HK	CK Infrastructure Holdings Ltd	65.55			3.98%
1044.HK	Hengan International Group Co Ltd	22.52			6.92%
1071.HK	Huadian Power Intl Corp H	3.99			6.49%
1072.HK	Dongfang Electric Corp Ltd H	20.90			2.90%
1088.HK	China Shenhua	45.02			5.02%
1099.HK	Sinopharm Group Co H	16.12			4.90%
1109.HK	China Resources Land	34.78			3.82%
1138.HK	COSCO SHIPPING Energy Transportation Co Ltd	15.99			2.73%
1157.HK	Zoomlion Heavy Industry H	6.87			6.50%
1171.HK	Yanzhou Coal	12.99			4.35%
1179.HK	H World Group Limited	38.42			4.30%
1186.HK	China Railway Construction	4.54			7.59%
1193.HK	China Resources Gas Group Ltd	16.20			5.86%
12.HK	Henderson Land Development Co Ltd	29.62			4.25%
1209.HK	China Resources Mixc Lifestyle Services Limited	40.50			2.86%
1288.HK	Agricultural Bank of China	6.28			4.48%
1299.HK	AIA Group Ltd	74.20			2.60%
1308.HK	SITC International Holdings	47.42			4.78%
1317.HK	China Maple Leaf Educational Systems Ltd	0.17			0%
1318.HK	Mao Geping Cosmetics Co Ltd	54.10			2.11%
1339.HK	People's Insurance Company (Group) of China	5.42			4.59%
1347.HK	Hua Hong Grace Semiconductor Ltd	117.50			0%
1359.HK	China Cinda Asset Management Co Ltd	0.94			3.44%
1378.HK	China Hongqiao Group Ltd	23.68			6.97%
1398.HK	Industrial And Commercial Bank of China	7.54			4.64%
144.HK	China Merchants Port Holding	15.93			4.64%
1456.HK	Guolian Minsheng Securities H	3.85			1.79%
151.HK	Want Want China Holdings Ltd	3.35			4.76%
1519.HK	J&T Global Express Ltd	10.02			0%
1530.HK	3SBio Inc	17.53			0%
1585.HK	Yadea Group Holdings Ltd	9.90			5.35%
1618.HK	Metallurgical Corporation of China	1.44			0%
1628.HK	Yuzhou Properties Co Ltd	0.12			0%
1658.HK	Postal Savings Bank of China Co	5.00			4.91%
168.HK	Tsingtao Brewery Company Limited	42.86			6.30%
1698.HK	Tencent Music Entertainment	34.14			2.75%
1766.HK	CRRC Corporation Limited	5.27			4.90%
177.HK	Jiangsu Expressway Company Limited	9.53			5.88%
1772.HK	Ganfeng Lithium Group Co L H	40.54			0.42%
1776.HK	GF Securities Co Ltd	18.30			3.74%
1787.HK	Shandong Gold Mining Co Ltd	24.98			2.06%
1797.HK	Koolearn Technology Holding Ltd	23.80			0%
1800.HK	China Communications Construction	3.69			5.89%
1801.HK	Innovent Biologics Inc	109.80			0%
1810.HK	Xiaomi Corp	28.46			0%
1816.HK	CGN Power Co Ltd	3.00			3.28%
1818.HK	Zhaojin Mining Industry H	23.44			0.49%
1833.HK	Ping An Healthcare and Technology Co Ltd	6.64			0%
1873.HK	Viva Biotech Holdings	1.56			0%
1876.HK	Budweiser Brewing Company APAC Limited	6.33			6.99%
1880.HK	China Tourism Group Duty Free Corporation Limited	49.26			1.05%
1898.HK	China Coal Energy	11.59			3.72%
1913.HK	Prada S.p.A.	40.86			3.68%
1919.HK	COSCO SHIPPING Holdings Co Ltd	17.55			6.37%
1929.HK	Chow Tai Fook Jewellery Group Limited	13.47			4.97%
1958.HK	BAIC Motor Corp Ltd	0.85			0%
1966.HK	China SCE Property Holdings Ltd	0.05			0%
