ALTR.LS	Altri SGPS SA	4.75			5.29%
BCP.LSB	Banco Comercial Portugues SA	1.11			3.09%
COR.LS	Corticeira Amorim SGPS SA	7.06			5.00%
CTT.LS	CTT Correios de Portugal SA	6.55			2.90%
EDP.LSB	EDP - Energias de Portugal SA	4.68			4.36%
EGL.LS	Mota Engil SGPS SA	4.66			3.73%
GALP.LS	Galp Energia SGPS SA	21.28			3.22%
GLINT.LS	Glintt Global SA	1.23			5.44%
IBS.LS	Ibersol SGPS SA	10.30			6.74%
IPR.LS	Impresa Sociedade Gestora de Participacoes Sociais SA	0.21			0%
JMT.LSB	Jeronimo Martins SGPS SA	18.21			3.58%
MAR.LS	Martifer SGPS SA	2.28			4.08%
MRL.LS	MERLIN Properties SOCIMI SA	13.81			1.56%
NBA.LS	NOVABASE SGPS SA	7.30			0%
NOS.LS	NOS SGPS SA	4.94			9.08%
NVG.LS	Navigator Company SA	3.27			3.45%
PHR.LS	Pharol SA	0.09			0%
RAM.LS	Ramada Investimentos e Industria SA	6.86			13.09%
RENE.LS	REN Redes Energeticas Nacionais SGPS S A	3.56			0%
SEM.LS	SEMAPA Sociedade de Investimento e Gestao SGPS SA	20.75			3.03%
SNC.LS	Sonaecom SGPS SA	2.96			2.79%
SON.LS	Sonae SGPS SA	2.02			3.07%
TDSA.LS	Teixeira Duarte SA	0.48			0%
VAF.LS	VAA Vista Alegre Atlantis SGPS SA	1.09			0%
