4BB.L	4Basebio Plc	450.00			0%
AAU.L	Ariana Resources Plc	1.45			0%
ABDP.L	Ab Dynamics Plc	796.00			1.13%
ABDX.L	Abingdon Health Plc	10.50			0%
ACSO.L	Accesso Technology Group Plc	296.00			0%
AEET.L	Parvus Energy Efficiency Trust PLC	22.00			17.02%
AET.L	Afentra Plc	75.20			0%
AGFX.L	Argentex Group Plc	2.43			0%
ALL.L	Atlantic Lithium Limited	15.10			0%
ANIC.L	Agronomics Limited	5.20			0%
APTA.L	Aptamer Group Plc	0.30			0%
ARB.L	Argo Blockchain Plc	1.00			0%
ARBB.L	Arbuthnot Banking Group Plc	825.00			6.46%
ARCM.L	Arc Minerals Ld	0.60			0%
ASPL.L	Aseana Properties Ltd	0.05			0%
AXL.L	Arrow Exploration Corp.	26.00			0%
AXS.L	Accsys Technologies Plc	70.00			0%
BKS.L	Beeks Financial Cloud Group Plc	214.00			0%
BOKU.L	Boku, Inc.	110.00			0%
BOR.L	Borders & Southern Petroleum Plc	10.45			0%
BRCK.L	BRCK Group PLC	52.40			6.74%
BTG.L	BTG Consulting PLC	113.00			3.96%
BVXP.L	Bioventix Plc	1.50K			8.57%
CAM.L	Camellia Plc	5.70K			4.60%
CAML.L	Central Asia Metals Plc	165.40			6.60%
CER.L	Cerillion Plc	930.00			1.68%
CHAR.L	Chariot Limited	1.57			0%
CHRT.L	Cohort Plc	1.20K			1.47%
CNC.L	Concurrent Technologies Plc	220.00			0.46%
CPP.L	Cppgroup Plc	18.00			0%
CRTA.L	Cirata Plc	13.00			0%
DOTD.L	Dotdigital Group Plc	54.60			2.29%
DXRX.L	Diaceutics Plc	142.00			0%
EAAS.L	Eenergy Group Plc	1.90			0%
ECO.L	Eco (Atlantic) Oil & Gas Ltd	47.70			0%
EEE.L	Empire Metals Ld	45.15			0%
EKF.L	Ekf Diagnostics Holdings Plc	24.70			0%
EMAN.L	Everyman Media Group Plc	55.00			0%
EME.L	Empyrean Energy Plc	0.04			0%
ENW.L	Enwell Energy Plc	12.00			0%
EOG.L	Europa Oil & Gas Holdings	1.90			0%
EXR.L	Engage Xr Holdings Plc	0.20			0%
FARN.L	Faron Pharmaceuticals Oy	40.00			0%
FDEV.L	Frontier Developments Plc	421.00			0%
FEVR.L	Fevertree Drinks PLC	847.50			2.02%
FLO.L	Flowtech Fluidpower Plc	64.00			0%
FNTL.L	Fintel Plc	183.00			2.08%
FOG.L	Falcon Oil & Gas Ltd.	17.00			0%
FRP.L	Frp Advisory Group Plc	118.00			4.62%
FUM.L	Futura Medical Plc	0.39			0%
GATC.L	Gattaca Plc	150.00			2.19%
GFIN.L	Gfinity Plc	0.04			0%
GFM.L	Griffin Mining Ld	271.00			0%
GGP.L	Greatland Resources Ltd	711.00			0%
GHH.L	Gooch & Housego Plc	1.20K			1.09%
GMR.L	Gaming Realms Plc	30.10			0%
GTLY.L	Gateley (Holdings) Plc	56.00			16.67%
HCM.L	Hutchmed (China) Limited	180.00			0%
HE1.L	Helium One Global Ltd	0.38			0%
HPOW.L	H-Power PLC	10.50			0%
HSP.L	Hargreaves Services Plc	814.00			4.58%
IES.L	Invinity Energy Systems Plc	22.50			0%
IMM.L	Immupharma Plc	3.64			0%
INDI.L	Indus Gas Ld	1.34			0%
ING.L	Ingenta Plc	68.00			6.87%
IOM.L	Iomart Group Plc	14.70			0%
IQE.L	Iqe Plc	46.50			0%
JLP.L	Jubilee Metals Group Plc	2.40			0%
KEFI.L	Kefi Gold And Copper Plc	1.24			0%
KETL.L	Strix Group Plc	32.95			0%
KEYS.L	Keystone Law Group Plc	578.00			4.24%
KGH.L	Knights Group Holdings Plc	172.50			2.96%
KIST.L	Kistos Holdings Plc	275.00			0%
KMK.L	Kromek Group Plc	8.00			0%
KP2.L	Kore Potash Plc	3.10			0%
LBG.L	Lbg Media Plc	33.30			0%
LGLD.L	Lg Electronics Inc-Gdr Regs	19.00			0%
LIT.L	Litigation Capital Management Ltd	1.76			0%
LIV.L	Livermore Investments Group Ld	34.60			0%
MANO.L	Manolete Partners Plc	37.00			0%
MIDW.L	Midwich Group Plc	138.00			3.76%
MPE.L	M. P. Evans Group Plc	1.74K			3.41%
MTC.L	Mothercare Plc	0.70			0%
NAH.L	Nahl Group Plc	32.00			0%
NCYT.L	Novacyt S.A.	43.50			0%
NFX.L	Nuformix Plc	0.16			0%
NICL.L	Nichols Plc	1.17K			3.37%
NIOX.L	Niox Group Plc	65.00			2.26%
NOG.L	Nostrum Oil & Gas PLC	1.25			0%
NWF.L	Nwf Group Plc	151.00			5.47%
OBD.L	Oxford Biodynamics Plc	0.12			0%
OPG.L	Opg Power Ventures Plc	5.39			0%
ORCP.L	Oracle Power Plc	0.04			0%
ORR.L	Oriole Resources Plc	0.32			0%
PANR.L	Pantheon Resources Plc	13.40			0%
PGH.L	Personal Group Holdings Plc	390.00			5.82%
PHE.L	Powerhouse Energy Group Plc	0.21			0%
POLB.L	Poolbeg Pharma Plc	8.40			0%
POLR.L	Polar Capital Holdings Plc	875.00			5.31%
PRM.L	Proteome Sciences Plc	1.36			0%
PRO.L	ProService Building Services M	2.28			0%
PXEN.L	Prospex Energy Plc	3.40			0%
PXS.L	Provexis Plc	1.00			0%
QED.L	Quadrise Plc	0.93			0%
RCN.L	Redcentric Plc	104.00			0%
REVB.L	Revolution Beauty Group Plc	4.00			0%
RKH.L	Rockhopper Exploration Plc	73.20			0%
SAA.L	M&C Saatchi Plc	142.50			0%
SALT.L	Microsalt Plc	15.00			0%
SDG.L	Sanderson Design Group Plc	76.00			1.92%
SDI.L	Sdi Group Plc	88.00			0%
SEA.L	Seascape Energy Asia PLC	90.00			0%
SEE.L	Seeing Machines Ld	4.69			0%
SOS.L	Sosandar Plc	12.50			0%
SOU.L	Sound Energy Plc	1.70			0%
SPSY.L	Spectra Systems Corporation	163.00			6.06%
SRB.L	Serabi Gold Plc	310.00			1.54%
SRC.L	Sigmaroc Plc	130.00			0%
STAF.L	Staffline Group Plc	42.00			0%
STAR.L	Star Energy Group Plc	21.00			0%
SUP.L	Supreme Plc	142.00			3.79%
SYME.L	Supply@Me Capital Plc	0.00			0%
TAM.L	Tatton Asset Management Plc	702.00			3.85%
TENG.L	Ten Lifestyle Group Plc	90.00			0%
TERN.L	Tern Plc	1.20			0%
TFW.L	Thorpe(F.W.) Plc	255.00			2.71%
THS.L	Tharisa Plc	122.00			2.46%
THX.L	Thor Explorations Ltd	70.00			3.77%
TIG.L	Team Internet Group Plc	43.00			0%
TMT.L	Tmt Investments Plc	3.40			0%
TRB.L	Tribal Group Plc	60.40			0%
TRCS.L	Tracsis Plc	315.00			0.79%
TRU.L	Trufin Plc	99.40			0%
TRX.L	Tissue Regenix Group Plc	6.98			0%
UJO.L	Union Jack Oil Plc	3.10			0%
ULTP.L	Ultimate Products Plc	52.00			5.78%
VIC.L	Victorian Plumbing Group Plc	74.50			2.89%
VRS.L	Versarien Plc	0.00			0%
VTU.L	Vertu Motors Plc	84.30			2.38%
W7L.L	Warpaint London Plc	210.00			6.07%
WINE.L	Naked Wines Plc	68.40			0%
WJG.L	Watkin Jones Plc	17.30			0%
WRKS.L	Theworks.Co.Uk Plc	87.00			0%
YU..L	Yu Group Plc	1.65K			4.01%
ZIOC.L	Zanaga Iron	3.10			0%
