3IN.L	3i Infrastructure PLC	396.50			3.40%
AAF.L	Airtel Africa Plc	334.60			1.59%
AAL.L	Anglo American	4.21K			0.28%
ABDN.L	abrdn PLC	247.00			2.96%
ABF.L	Associated British Foods	2.06K			3.05%
ADM.L	Admiral Group	4.07K			3.89%
AEP.L	AEP Plantations Plc	194.40			1.71%
AEWU.L	Aew Uk Reit Plc	105.20			7.56%
AJB.L	AJ Bell plc	616.00			2.39%
ALFA.L	Alfa Financial Software Holdings Pl	167.00			0.89%
ALNA.L	Alina Holdings Plc	9.00			0%
ALTN.L	Altyngold Plc	1.24K			0%
ALW.L	Alliance Witan PLC	1.37K			0%
AML.L	Aston Martin Lagonda Global Holdings PLC	34.38			0%
ANTO.L	Antofagasta	4.02K			1.19%
AO.L	Ao World Plc	94.00			0%
API.L	Abrdn Property Income Trust Limited	1.60			52.64%
APTD.L	Aptitude Software Group Plc	214.00			1.68%
ASAI.L	Asa International Group Plc	234.00			0%
ASC.L	ASOS PLC	412.50			0%
ASHM.L	Ashmore Group PLC	226.80			7.46%
ASLI.L	Abrdn European Logistics Income Plc	19.02			19.48%
ATADL.L	Tatneft OAO-ADR	2.00			0%
ATG.L	Auction Technology Group plc	440.40			0%
ATYM.L	Atalaya Mining Plc	1.02K			0.91%
AUTO.L	Autotrader Group PLC	549.20			1.98%
AV.L	Aviva	729.40			5.38%
AVAP.L	Avation Plc	138.00			0.54%
AVON.L	Avon Protection Plc	1.81K			1.02%
AXB.L	Axis Bank Limited	65.00			0.08%
AZN.L	AstraZeneca	12.47K			1.92%
BA.L	BAE Systems plc	2.10K			1.73%
BAB.L	Babcock International	1.09K			0.69%
BAG.L	A.G. Barr PLC	604.00			3.10%
BARC.L	Barclays	497.05			2.32%
BATS.L	British American Tobacco	4.13K			5.87%
BBOX.L	Tritax Big Box REIT Plc	160.30			5.10%
BBY.L	Balfour Beatty PLC	883.00			1.58%
BEZ.L	Beazley PLC	1.30K			1.93%
BGEO.L	Bank of Georgia Group PLC	13.40K			2.22%
BHP.L	BHP Group Ltd	3.57K			2.79%
BKG.L	Berkeley Group Holdings PLC	3.61K			0%
BLND.L	British Land	433.40			5.35%
BME.L	B&M European Value Retail SA	245.80			3.89%
BMS.L	Braemar Plc	214.00			3.11%
BMY.L	Bloomsbury Publishing Plc	657.00			2.47%
BNZL.L	Bunzl	2.79K			2.65%
BOOT.L	Boot (Henry) Plc	153.00			5.14%
BOWL.L	Hollywood Bowl Group Plc	280.00			4.91%
BOY.L	Bodycote PLC	906.00			2.54%
BP.L	BP	529.20			4.74%
BPT.L	Bridgepoint Group plc	318.00			2.97%
BRBY.L	Burberry Group	1.08K			0%
BRK.L	Brooks Macdonald Group Plc	1.40K			5.84%
BT.L	BT Group	206.00			4.03%
BTRW.L	Barratt Redrow PLC	320.50			5.33%
BVC.L	Batm Advanced Communications Ld	12.10			0%
BWY.L	Bellway PLC	2.19K			3.31%
BYG.L	Big Yellow Group PLC	899.50			5.23%
BYIT.L	Bytes Technology Group plc	414.40			2.46%
CABP.L	Cab Payments Holdings Plc	80.10			0%
CAN.L	Canal+ France	271.80			0.70%
CAPD.L	Capital Ld	113.00			1.72%
CAR.L	Carclo Plc	36.10			0%
CARD.L	Card Factory PLC	76.10			6.56%
CBG.L	Close Brothers Group PLC	426.60			0%
CBKD.L	Commercial Intl Bank-Gdr Reg	2.71			0%
CCC.L	Computacenter PLC	5.18K			0.45%
CCH.L	Coca Cola Hellenic	4.61K			0%
CGS.L	Castings Plc	300.00			1.41%
CHRY.L	Chrysalis Investments Limited	75.30			0%
CKN.L	Clarkson PLC	5.01K			2.24%
CLIG.L	City Of London Investment Group Plc	483.00			6.73%
CMCX	CMC MARKETS PLC	724.00			1.92%
CNA.L	Centrica	154.90			4.82%
CNE.L	Capricorn Energy PLC	343.00			0%
COA.L	Coats Group PLC	81.00			3.02%
COST.L	Costain Group Plc	231.00			1.82%
CPI.L	Capita	289.00			0%
CRDA.L	Croda International	3.45K			3.21%
CREI.L	Custodian Property Income Reit Plc	81.20			7.39%
CRST.L	Crest Nicholson Holdings plc	66.40			4.66%
CSN.L	Chesnara Plc	341.00			6.63%
CTEC.L	ConvaTec	228.60			2.44%
CTY.L	City of London Investment Trust PLC	591.00			3.74%
CURY.L	Currys PLC	148.20			0%
CWK.L	Cranswick PLC	5.42K			2.08%
DCC.L	DCC Energy plc	6.36K			3.41%
DEC.L	Diversified Energy Company PLC	1.07K			8.01%
DFS.L	Dfs Furniture Plc	158.50			0%
DGE.L	Diageo	1.73K			3.62%
DIA.L	Dialight Plc	532.00			0%
DLN.L	Derwent London PLC	2.06K			3.96%
DNLM.L	Dunelm Group PLC	887.50			4.98%
DOCS.L	Dr. Martens plc	79.40			3.24%
DOM.L	Domino's Pizza Group PLC	206.40			5.52%
DPLM.L	Diploma PLC	7.25K			0.87%
DRX.L	Drax Group PLC	758.00			3.83%
ECOR.L	Ecora Royalties Plc	173.00			0.86%
EDV.L	Endeavour Mining plc	4.81K			2.25%
ELIX.L	Elixirr International Plc	632.00			3.60%
ELM.L	Elementis PLC	178.20			1.87%
EMG.L	Man Group PLC	305.40			4.17%
ENOG.L	Energean plc	762.00			9.74%
ENQ.L	Enquest Plc	25.55			3.15%
ENT.L	Entain PLC	541.00			3.72%
ESNT.L	Essentra PLC	109.20			1.82%
EVOK.L	Evoke PLC	44.75			0%
EVR.L	Evraz PLC	88.48			0%
EXPN.L	Experian	3.01K			1.72%
EZJ.L	easyJet	676.00			1.95%
FAN.L	Volution Group plc	675.00			1.70%
FCH.L	Funding Circle Holdings Plc	242.50			0%
FCIT.L	Foreign & Colonial Investment Trust PLC	341.80			0%
FDM.L	FDM Group Holdings PLC	113.20			8.73%
FEML.L	Fidelity Emerging Markets Limited	1.48K			0%
FGP.L	Firstgroup PLC	179.00			1.23%
FORT.L	Forterra Plc	143.20			4.33%
FOXT.L	Foxtons Group Plc	38.90			3.02%
FRAS	Frasers Group	822.00			0%
FRES.L	Fresnillo	3.18K			3.52%
FSG.L	Foresight Group Holdings Limited	494.00			5.05%
FSJ.L	James Fisher & Sons PLC	453.00			0%
FSTA.L	Fuller,Smith & Turner Plc	752.00			2.83%
FUTR.L	Future plc	307.80			5.50%
FVA.L	Fevara PLC	133.50			1.73%
FXPO.L	Ferrexpo PLC	30.76			0%
GAID.L	GAIL India Limited	10.70			3.06%
GAW.L	Games Workshop	18.57K			0%
GDWN.L	Goodwin Plc	17.96K			1.55%
GEMD.L	Gem Diamonds Ld	4.00			0%
GEN.L	Genuit Group PLC	289.00			4.42%
GENL.L	Genel Energy Plc	69.20			0%
GFRD.L	Galliford Try PLC	623.00			3.18%
GFTU.L	Grafton Group PLC	1.04K			0%
GKP.L	Gulf Keystone Petroleum Ld	194.60			2.18%
GLE.L	Mj Gleeson Plc	272.50			4.03%
GLEN.L	Glencore Plc	601.00			1.66%
GMS.L	Gulf Marine Services Plc	18.28			0%
GNC.L	Greencore Group PLC	267.20			0.97%
GNS.L	Genus PLC	2.30K			1.43%
GPE.L	Great Portland Estates PLC	350.00			2.35%
GRG.L	Greggs PLC	1.87K			3.67%
GRI.L	Grainger PLC	175.90			4.79%
GROW.L	Molten Ventures Plc	691.00			0%
GSK.L	GlaxoSmithKline	1.91K			3.57%
GYM.L	The Gym Group Plc	201.00			0%
HAS.L	Hays PLC	74.95			0.58%
HBR.L	Harbour Energy plc	254.40			4.72%
HEAD.L	Headlam Group Plc	9.52			0%
HEIQ.L	Heiq Plc	94.04			0%
HEMO.L	Hemogenyx Pharmaceuticals Plc	548.00			0%
HFD.L	Halfords Group PLC	238.00			3.77%
HHPD.L	Hon Hai Precision-Gdr Reg S	15.42			0%
HICL.L	HICL Infrastructure Co Ltd	139.80			0%
HIK.L	Hikma Pharmaceuticals PLC	1.64K			3.87%
HILS.L	Hill & Smith PLC	2.92K			1.82%
HLCL.L	Helical Plc	202.00			1.32%
HLMA.L	Halma PLC	3.56K			0.69%
HMSO.L	Hammerson	379.80			4.35%
HOC.L	Hochschild Mining PLC	625.50			0.71%
HSBA.L	HSBC Holdings	1.52K			3.67%
HSBK.L	Halyk Savings Bank-Gdr Reg S	34.00			0%
HSD.L	Hansard Global Plc	51.50			8.64%
HSW.L	Hostelworld Group Plc	108.50			1.20%
HSX.L	Hiscox Ltd	1.83K			1.46%
HTG.L	Hunting PLC	396.00			2.45%
HTWS.L	Helios Towers plc	204.80			0%
HVPE.L	HarbourVest Global Private Equity Ltd	3.33K			0%
HWDN.L	Howden Joinery Group PLC	801.00			2.74%
HWG.L	Harworth Group Plc	178.40			1.00%
IAG.L	International Consolidated Airlines	442.70			0.98%
IBST.L	Ibstock PLC	85.95			2.32%
ICG.L	Intermediate Capital Group PLC	2.02K			4.31%
IDHC.L	Integrated Diagnostics Holdi	0.52			4.67%
IGG.L	IG Group Holdings PLC	1.35K			5.60%
IHP.L	IntegraFin Holdings plc	397.00			2.98%
III.L	3i Group PLC	2.90K			2.91%
IMB.L	Imperial Brands PLC	2.52K			6.49%
IMI.L	IMI	3.10K			1.14%
INCH.L	Inchcape PLC	824.00			4.10%
INF.L	Informa	900.20			2.50%
INPP.L	International Public Partnerships Ltd	140.20			6.14%
INVP.L	Investec PLC	636.00			6.06%
IPF.L	International Personal Finance Plc	248.50			4.81%
IPO.L	IP Group PLC	72.00			0%
ITRK.L	Intertek Group	5.84K			2.82%
ITV.L	ITV	72.95			6.88%
IWG.L	IWG PLC	180.80			0.56%
JD.L	JD Sports Fashion PLC	85.40			1.41%
JDW.L	J D Wetherspoon PLC	847.50			1.40%
JEGI.L	JPMorgan European Growth & Inc	147.60			0%
JMAT.L	Johnson Matthey	2.25K			3.59%
JTC.L	JTC PLC	1.34K			0.37%
JUP.L	Jupiter Fund Management PLC	171.40			3.50%
KAP.L	Nac Kazatomprom Jsc-Gdr Regs	72.10			0%
KGF.L	Kingfisher	321.50			3.84%
KIE.L	Kier Group PLC	259.00			3.00%
KLR.L	Keller Group Plc	2.97K			2.72%
KLSO.L	Kelso Group Holdings Plc	3.30			0%
KNOS.L	Kainos Group plc	1.23K			2.35%
LAND.L	Land Securities	696.00			2.74%
LGEN.L	Legal & General	289.80			7.57%
LIO.L	Liontrust Asset Management PLC	312.50			6.04%
LIVE.L	Living REIT PLC	76.50			7.40%
LKOD.L	Lukoil OAO-ADR	5.00			0%
LLOY.L	Lloyd's Banking Group PLC	111.35			3.60%
LMP.L	LondonMetric Property PLC	194.60			6.40%
LRE.L	Lancashire Holdings Ltd	609.50			1.84%
LSEG.L	London Stock Exchange	8.80K			1.80%
LSL.L	Lsl Property Services Plc	268.00			4.25%
LTOD.L	Larsen & Toubro Limited	42.60			0%
LUCE.L	Luceco Plc	223.00			2.69%
MAB.L	Mitchells & Butlers PLC	286.00			0%
MAB1.L	Mortgage Advice Bureau (Hldgs) Plc	514.00			4.38%
MACF.L	Macfarlane Group Plc	74.00			4.89%
MARS.L	Marston's PLC	51.80			0%
MCB.L	Mcbride Plc	169.00			1.78%
MCG.L	Mobico Group PLC	23.40			0%
MER.L	Mears Group Plc	428.00			4.12%
MGAM.L	Morgan Advanced Materials PLC	234.50			5.19%
MGNS	Morgan Sindall Group plc	4.42K			3.57%
MHID.L	Mahindra & Mahindra Limited	35.85			0.96%
MHPC.L	Mhp Se	7.60			0%
MICC.L	MAGNUM ICE CREAM CO BV	1.47K			0%
MKS.L	Marks & Spencer	392.00			1.07%
MNDI.L	Mondi	859.00			1.45%
MNG.L	M&G plc	349.00			5.89%
MNKS.L	Monks Investment Trust PLC	1.61K			0.06%
MNODL.L	MMC Norilsk Nickel OJSC-ADR	0.71			0%
MONY.L	Moneysupermarket.com Group PLC	209.20			6.06%
MOTR.L	Motorpoint Group Plc	124.00			0%
MRC.L	Mercantile Investment Trust PLC	286.50			0%
MRO.L	Melrose Industries	511.00			1.47%
MSLH.L	Marshalls PLC	163.90			4.10%
MTO.L	Mitie Group PLC	208.40			2.16%
MTRO.L	Metro Bank PLC	169.20			0%
MTVW.L	Mountview Estates Plc	8.60K			2.87%
N91.L	Ninety One Group	212.20			6.34%
NANO.L	Nanoco Group Plc	2.50			0%
NCC.L	Ncc Group Plc	142.00			2.21%
NG.L	National Grid	1.18K			4.09%
NRR.L	NewRiver REIT PLC	81.70			8.15%
NVTKL.L	NOVATEK OAO	3.00			0%
NWG.L	Natwest Group PLC	690.00			5.07%
NXR.L	Norcros Plc	325.00			3.49%
NXT.L	Next PLC	15.64K			1.71%
OCDO.L	Ocado Group PLC	244.60			0%
OGZDL.L	Gazprom OAO-ADR	0.50			0%
OMU.L	Old Mutual Limited	58.00			7.11%
ONT.L	Oxford Nanopore Technologies plc	179.80			0%
OSB.L	OSB Group PLC	512.50			9.15%
OTB.L	On the Beach	191.80			2.09%
OXB.L	OXB	513.00			0%
OXIG.L	Oxford Instruments plc	2.81K			0.84%
PAF.L	Pan African Resources Plc	138.30			1.58%
PAG.L	Paragon Group of Cos PLC	818.00			5.58%
PAGE.L	Michael Page PLC	222.40			3.84%
PAY.L	PayPoint PLC	630.50			0%
PBEE.L	Pensionbee Group Plc	133.00			0%
PCA.L	Palace Capital Plc	180.00			6.15%
PCTN.L	Picton Property Income Ld	72.30			4.89%
PDL.L	Petra Diamonds Ltd	5.50			0%
PETS.L	Pets at Home Group Plc	217.00			3.42%
PFC.L	Petrofac	4.98			0%
PFD.L	Premier Foods plc	201.20			1.68%
PHAR.L	Pharos Energy Plc	30.10			4.44%
PHP.L	Primary Health Properties	97.20			7.47%
PIN.L	Pantheon International	386.00			0%
