ACS.MC	ACS	104.30			2.23%
ACX.MC	Acerinox SA	17.25			3.48%
AENA.MC	Aena SME	27.62			3.95%
ALM.MC	Laboratorios Almirall SA	10.38			1.78%
AMS.MC	Amadeus IT Hold -A-	57.50			2.68%
ANA.MC	Acciona	213.40			2.73%
ANE.MC	Corporación Acciona Energías Renovables S.A.	21.36			0.14%
APPS.MC	Applus Services SA	12.68			0%
BBVA.MC	BBVA	24.69			3.69%
BKT.MC	Bankinter	16.78			3.69%
CABK.MC	Caixabank	13.21			3.79%
CAF.MC	Construcciones y Auxiliar de Ferrocarriles S.A	68.00			2.15%
CIE.MC	CIE Automotive S.A.	25.65			3.66%
CLNX.MC	Cellnex Telecom SA	27.16			0%
COL.MC	Colonial SFL Socimi SA	5.51			4.76%
DIA.MC	Distribuidora Internacional de Alimentacion SA	38.75			0%
ELE.MC	Endesa	42.06			3.77%
ENC.MC	Ence Energia Y Celulosa SA	2.54			0%
ENG.MC	Enagas	16.89			5.95%
FAE.MC	Faes Farma S.A.	4.55			2.82%
FCC.MC	Fomento de Construcciones	11.14			0%
FDR.MC	Fluidra S.A	19.40			3.16%
FER.MC	Ferrovial NV	54.10			0%
GEST.MC	Gestamp Automocion	2.96			1.33%
GRE.MC	Grenergy Renovables S.A.	93.90			0%
GRF.MC	Grifols SA	10.04			0%
IBE.MC	Iberdrola	20.13			3.37%
IDR.MC	Indra Sistemas SA	60.86			0.50%
IMC.MC	Inmocemento	4.03			0%
ITX.MC	Industria de Diseno Textil SA	58.28			1.50%
LDA.MC	Línea Directa Aseguradora S.A. Compania de Seguros y Reaseguros	1.34			3.30%
LOG.MC	Compania de Distribucion Integral Logista Holdings	35.70			7.21%
MAP.MC	Mapfre	4.43			4.06%
MEL.MC	Melia Hotels International SA	10.33			1.68%
MRL.MC	Merlin Properties SOCIMI SA	13.98			1.54%
MTS.MC	ArcelorMittal	62.70			0.77%
NTGY.MC	Naturgy Energy Group, S.A.	29.98			5.95%
OHLA.MC	OHL	0.41			0%
PHM.MC	Pharma Mar SA	83.85			0%
PSG.MC	Prosegur Compania de Seguridad SA	2.86			5.52%
RED.MC	Red Electrica Corp	15.28			5.25%
REP.MC	Repsol	26.92			3.91%
ROVI.MC	Laboratorios Farmaceuticos Rovi S.A.	60.50			1.58%
SAB.MC	Banco Sabadell	3.69			1.64%
SAN.MC	Banco Santander SA	12.58			1.89%
SCYR.MC	Sacyr	4.33			3.44%
TEF.MC	Telefonica SA	3.68			8.31%
TRE.MC	Tecnicas Reunidas	27.02			0%
UNI.MC	Unicaja Banco SA	3.58			4.83%
VID.MC	Vidrala S.A.	90.90			1.88%
VIS.MC	Viscofan SA	57.20			5.74%
