BPMC CVR	Sanofi and BPMC Acquisition CVR	0.00				CVR	NOT_TRADEABLE
B	Barrick Mining Corp	48.16	41.00	52.56	86.00	OK	TRADEABLE
BA	Boeing	212.20	250.00	275.71	305.00	OK	TRADEABLE
BABA	Alibaba-ADR	117.28	160.00	192.53	220.10	OK	TRADEABLE
BAC	Bank of America Corp	62.50	62.00	68.00	74.00	OK	TRADEABLE
BAH	Booz Allen Hamilton Holding Corp	75.22	68.00	83.14	140.00	OK	TRADEABLE
BAK	Braskem S.A.-ADR	1.84				NOFAQ	TRADEABLE
BALL	Ball Corp	64.02	65.00	71.86	78.00	OK	TRADEABLE
BAM	Brookfield Asset Management Ltd	52.31	50.00	56.43	70.00	OK	TRADEABLE
BANC	Banc Of California	18.65	21.00	22.50	24.00	OK	TRADEABLE
BAP	Credicorp Ltd	379.74	473.00	473.00	473.00	OK	TRADEABLE
BARK	The Original Bark Co	10.19	12.00	12.00	12.00	OK	TRADEABLE
BAX	Baxter International Inc	26.49	21.00	25.40	29.00	OK	TRADEABLE
BB	BlackBerry Limited	7.65	8.00	9.96	13.00	OK	TRADEABLE
BBAI	Bigbear.Ai Holdings Inc	3.07	4.00	4.00	4.00	OK	TRADEABLE
BBAR	Banco BBVA Argentina SA	14.76	20.00	20.00	20.00	OK	TRADEABLE
BBD	Banco Bradesco ADR	3.15				NOFAQ	TRADEABLE
BBDC	Barings Bdc Inc	9.45	9.50	9.83	10.00	OK	TRADEABLE
BBDO	Banco Bradesco SA	3.20				NOFAQ	TRADEABLE
BBT	Beacon Financial Corp	31.58	36.00	36.00	36.00	OK	TRADEABLE
BBUC	Brookfield Business Corp	28.24	32.00	39.17	45.00	OK	TRADEABLE
BBVA.US	Banco Bilbao Vizcaya Argentaria SA-ADR	29.21	28.94	28.94	28.94	OK	TRADEABLE
BBW	Build-A-Bear Workshop Inc	38.87	40.00	40.00	40.00	OK	TRADEABLE
BBWI	Bath & Body Works Inc	19.17	17.00	22.29	25.00	OK	TRADEABLE
BBY	Best Buy Co Inc	87.15	77.00	88.42	100.00	OK	TRADEABLE
BC	Brunswick Corp	81.25	80.00	83.00	86.00	OK	TRADEABLE
BCC	Boise Cascade Company	82.24	89.00	97.50	105.00	OK	TRADEABLE
BCE	BCE Inc	23.85	25.89	27.57	31.65	OK	TRADEABLE
BCH.US	Banco de Chile	43.04	45.00	45.00	45.00	OK	TRADEABLE
BCO	Brinks Co	112.78	141.00	141.00	141.00	OK	TRADEABLE
BCS	Barclays PLC-ADR	26.97	33.50	33.50	33.50	OK	TRADEABLE
BCSF	Bain Capital Specialty Finance Inc	12.12	12.00	12.67	13.00	OK	TRADEABLE
BDC	Belden Inc	116.76	145.00	158.67	170.00	OK	TRADEABLE
BDN	Brandywine Realty Trust	3.18	3.00	3.00	3.00	OK	TRADEABLE
BDX	Becton Dickinson & Co.	188.15	180.00	192.00	210.00	OK	TRADEABLE
BE	Bloom Energy Corp	216.82	188.00	283.13	335.00	OK	TRADEABLE
BEKE	KE Holdings Inc.-ADR	17.71	22.40	24.20	26.00	OK	TRADEABLE
BEN	Franklin Templeton Inc	34.40	34.00	37.67	41.00	OK	TRADEABLE
BEPC	Brookfield Renewable Corp	32.88	36.00	39.00	42.00	OK	TRADEABLE
BETA	BETA Technologies, Inc	23.84	30.00	32.80	37.00	OK	TRADEABLE
BF-B	Brown-Forman Corporation	28.52	24.00	26.33	28.00	OK	TRADEABLE
BF.A	Brown Forman Corporation	29.35	26.00	27.50	29.00	OK	TRADEABLE
BFAM	Bright Horizons Family Solutions	74.08	88.00	92.75	95.00	OK	TRADEABLE
BFH	Bread Financial Holdings Inc	105.19	108.00	122.56	132.00	OK	TRADEABLE
BFLY	Butterfly Network Inc.	8.95	6.00	8.00	10.00	OK	TRADEABLE
