RAIN	Rain Enhancement Technologies Holdco Inc	0.89			NOFAQ	TRADEABLE
RAPP	Rapport Therapeutics Inc	49.33	50.00	60.25	75.00	OK	TRADEABLE
RARE.US	Ultragenyx Pharmaceutical Inc.	25.71	28.00	57.85	103.00	OK	TRADEABLE
RBB	Rbb Bancorp	26.59	27.00	28.50	29.00	OK	TRADEABLE
RBBN	Ribbon Communications Inc	2.04	3.30	3.60	4.00	OK	TRADEABLE
RBC	RBC Bearings Incorporated	495.71	645.00	659.00	686.00	OK	TRADEABLE
RBCAA	Republic Bancorp Inc	94.94			NOFAQ	TRADEABLE
RBNE	Robin Energy Ltd	2.56			NOFAQ	NOT_TRADEABLE
RCAT	Red Cat Holdings Inc	8.93	15.00	18.75	25.00	OK	TRADEABLE
RCEL	AVITA Medical Inc	9.89	11.00	12.50	14.00	OK	TRADEABLE
RCKT	Rocket Pharmaceuticals Inc	3.52	10.00	11.75	15.00	OK	TRADEABLE
RCKY	Rocky Brands Inc	45.93	56.00	56.00	56.00	OK	TRADEABLE
RCMT	RCM Technologies Inc	41.03	45.00	45.00	45.00	OK	TRADEABLE
RDNT	Radnet Inc	77.05	95.00	95.00	95.00	OK	TRADEABLE
RDNW	RideNow Group Inc	5.97				NOFAQ	TRADEABLE
RDWR	Radware Ltd	26.98				NOFAQ	TRADEABLE
RDZN	Roadzen Inc	1.55	5.00	5.00	5.00	OK	TRADEABLE
REAL	RealReal Inc	11.65	15.00	17.00	20.00	OK	TRADEABLE
REFI	Chicago Atlantic Real Estate Finance Inc	10.61	20.00	20.00	20.00	OK	TRADEABLE
REG	Regency Centers Corp	76.51	85.00	86.00	88.00	OK	TRADEABLE
REGN	Regeneron Pharmaceuticals Inc	826.64	737.00	841.39	1030.00	OK	TRADEABLE
REKR	Rekor Systems Inc	0.59	3.00	3.00	3.00	OK	TRADEABLE
RELL	Richardson Electronics Ltd	17.51	24.00	24.00	24.00	OK	TRADEABLE
RELY	Remitly Global Inc	24.71	32.00	33.00	35.00	OK	TRADEABLE
RENEF	Cartesian Growth Corp Ii- A	12.71				NOFAQ	NOT_TRADEABLE
RENT	Rent the Runway	3.66				NOFAQ	TRADEABLE
REPL	Replimune Group Inc	14.05	14.00	19.60	24.00	OK	TRADEABLE
