A2A.MI	A2A Group	2.31			4.41%
ACE.MI	ACEA S.p.A.	21.22			4.44%
AMP.MI	Amplifon	11.85			2.41%
ANIM.MI	Anima Holding S.p.A	7.14			6.99%
ARIS.MI	Ariston Holding N.V	3.74			2.57%
ARN.MI	Alerion Clean Power S.p.A	19.14			3.13%
AVIO.MI	Avio SpA	30.70			0%
AZM.MI	Azimut Holding	38.54			5.10%
BAMI.MI	Banco Bpm	16.23			0%
BC.MI	Brunello Cucinelli S.p.A.	87.64			1.18%
BFF.MI	BFF Bank S.p.A	3.15			0%
BGN.MI	Banca Generali	66.95			0%
BMED.MI	Banca Mediolanum S.P.A	24.19			5.15%
BMPS.MI	Banca Monte Dei Paschi Di Siena S.P.A	11.68			7.41%
BPE.MI	BPER Banca	14.24			3.95%
BRE.MI	Brembo	10.07			2.99%
BZU.MI	Buzzi Spa	40.61			1.67%
CE.MI	Credito Emiliano S.p.A	20.96			3.58%
CEM.MI	Cementir Holding N.V	14.34			2.05%
CPR.MI	Davide Campari - Milano Beverage	5.91			1.68%
CRL.MI	Carel Industries S.p.A	27.55			0.71%
DAN.MI	Danieli & C. Officine Meccaniche S.p.A	65.00			0.48%
DIA.MI	Diasorin	75.82			1.72%
DLG.MI	DeLonghi S.p.A	40.74			2.04%
DNR.MI	Industrie De Nora S.p.A	6.42			1.57%
EGLA.MI	EuroGroup Laminations S.p.A	0.98			0%
ENAV.MI	ENAV S.p.A	5.12			5.66%
ENEL.MI	Enel Power Company	9.55			5.15%
ENI.MI	Eni Energy Company	23.19			4.56%
FBK.MI	FinecoBank	23.88			3.32%
FCT.MI	Fincantieri S.p.A	12.66			0%
G.MI	Assicurazioni Generali SpA	43.62			3.72%
GVS.MI	GVS S.p.A	4.74			0%
HER.MI	Hera SPA	3.89			4.09%
ICOP.MI	ICoP SpA SB Societa Benefit	29.10			0.48%
ICOS.MI	Intercos S.p.A	13.98			1.41%
IG.MI	Italgas	8.83			4.89%
INW.MI	Infrastrutture Wireless Italiane S.P.A	6.28			9.01%
IP.MI	Interpump Group	37.78			0.93%
IRE.MI	Iren	2.49			5.53%
ISP.MI	Intesa Sanpaolo Group	6.85			5.48%
ITM.MI	Italmobiliare S.p.A	26.15			4.19%
IVG.MI	Iveco Group N.V	13.96			0%
JUVE.MI	Juventus Football Club	2.07			0%
LDO.MI	Leonardo SpA	54.44			1.16%
LTMC.MI	Lottomatica Group Spa	25.18			1.77%
MAIRE.MI	Maire Tecnimont S.p.A	12.04			4.78%
MB.MI	Mediobanca Banca Di Credito Fnnzr SpA	28.11			4.36%
MFEB.MI	MFE - MediaForEurope NV	3.64			6.09%
MOL.MI	Gruppo MutuiOnline S.p.A	36.75			0.40%
MONC.MI	Moncler	47.35			2.94%
NEXI.MI	Nexi S.P.A	4.43			0%
PIA.MI	Piaggio & C. SpA	2.08			1.93%
PIRC.MI	Pirelli & C	6.75			3.53%
PRY.MI	Prysmian Group	120.65			0.74%
PST.MI	Poste Italiane	27.43			4.48%
RACE.MI	Ferrari NV	362.20			0%
REC.MI	Recordati	52.70			2.55%
REY.MI	Reply S.p.A	122.60			1.12%
RWAY.MI	Rai Way S.p.A	4.71			7.20%
SES.MI	SeSa S.p.A	90.80			1.07%
SFER.MI	Salvatore Ferragamo Company	9.31			0%
SL.MI	Sanlorenzo S.p.A	38.42			2.73%
SOL.MI	SOL S.p.A	52.70			0.84%
SPM.MI	Saipem Spa	4.50			3.79%
SRG.MI	Snam Group	5.85			5.20%
STLAM.MI	Stellantis NV	4.49			0%
STMMI.MI	STMicroelectronics Company	42.48			0.73%
TEN.MI	Tenaris Group	23.21			3.31%
TGYM.MI	Technogym S.p.A	13.02			2.99%
TIP.MI	Tamburi Investment Partners S.p.A	9.75			2.67%
TIT.MI	Telecom Italia S.p.A.	7.70			0%
TPRO.MI	Technoprobe S.P.A	27.54			0%
TRN.MI	Terna SPA	9.90			4.00%
UCG.MI	UniCredit Commercial Bank	84.36			2.00%
UNI.MI	Unipol	28.48			3.94%
WBD.MI	Webuild S.p.A	2.21			3.63%
ZV.MI	Zignago Vetro S.p.A	6.95			3.14%
