AAPL	Apple	311.30	51.61%	Moderate Buy	0.34%
GOOG	Alphabet	338.20	91.67%	Strong Buy	0.25%
META	Meta Platforms Inc	545.83	88.10%	Strong Buy	0.38%
MSFT	Microsoft	481.15	97.06%	Strong Buy	0.93%
AMZN	Amazon.com Inc	260.11	97.44%	Strong Buy	0%
CSCO	Cisco Systems Inc	109.59	64.71%	Moderate Buy	1.49%
INTC	Intel	92.13	76.67%	Hold	0%
WMT	Walmart Inc.	103.84	90.63%	Strong Buy	0.94%
PEP	PepsiCo	142.08	66.67%	Moderate Buy	4.01%
VOD	Vodafone Group plc-ADR	16.01	100.00%	Moderate Buy	3.37%
EBAY	eBay	104.61	52.17%	Moderate Buy	1.15%
NBIS	Nebius Group NV	220.11	60.00%	Moderate Buy	0%
QIWI	Qiwi Plc-ADR	5.67			0%
LBRDA	Liberty Broadband Corporation	35.99			0%
FWONK	Liberty Media Corp-Liberty Formula One -C	104.16	87.50%	Strong Buy	0%
OPCH	Option Care Health, Inc	23.49	55.56%	Moderate Buy	0%
LNTH	Lantheus Holdings, Inc	100.24	80.00%	Hold	0%
NOVT	Novanta Inc	145.52	100.00%	Moderate Buy	0%
PRVA	Privia Health Group, Inc	21.20	90.00%	Strong Buy	0%
ZD	Ziff Davis, Inc	55.40	60.00%	Moderate Buy	0%
SMCI	Super Micro Computer, Inc	36.50	66.67%	Hold	0%
PTCT	PTC Therapeutics, Inc	70.52	81.82%	Moderate Buy	0%
ENVX	Enovix Corporation	3.27	55.56%	Moderate Buy	0%
CALM	Cal-Maine Foods, Inc	82.43	100.00%	Hold	2.97%
NEOG	Neogen Corporation	11.83	66.67%	Moderate Buy	0%
VERU	Veru Inc	2.58			0%
SIGA	SIGA Technologies, Inc	2.97			0%
TSLA	Tesla Motors, Inc.	345.13	53.57%	Hold	0%
FSLR	First Solar, Inc.	214.06	69.23%	Moderate Buy	0%
TRIP	TripAdvisor Inc	10.03	38.46%	Hold	0%
URBN	Urban Outfitters Inc.	72.65	66.67%	Moderate Buy	0%
ADBE	Adobe Systems Inc	272.22	55.17%	Hold	0%
NFLX	Netflix, Inc.	80.14	75.00%	Strong Buy	0%
WDC	Western Digital Corporation	469.05	75.00%	Strong Buy	0.11%
MU	Micron Technology, Inc.	974.33	96.77%	Strong Buy	0.05%
AGNC	AGNC Investment Corp	10.92	75.00%	Hold	13.22%
ADSK	Autodesk, Inc.	251.02	85.71%	Strong Buy	0%
NVDA	NVIDIA Corporation	216.85	100.00%	Strong Buy	0.13%
CAR	Avis Budget Group Inc	143.98	60.00%	Moderate Sell	0%
BIDU	Baidu, Inc.-ADR	91.97	71.43%	Moderate Buy	0%
SBUX	Starbucks Corp	103.99	60.00%	Moderate Buy	2.32%
AMGN	Amgen Inc	433.73	47.83%	Moderate Buy	2.80%
CHKP	Check Point Software Technologies	130.32	64.00%	Moderate Buy	0%
KDP	Keurig Dr Pepper Inc	31.66	76.92%	Strong Buy	2.87%
DBX	Dropbox Inc	34.00	50.00%	Hold	0%
WIX	Wix.com Ltd	82.39	58.82%	Moderate Buy	0%
RYAAY	Ryanair Holdings plc-ADR	54.51	100.00%	Moderate Buy	0%
ACB	Aurora Cannabis Inc	3.81	50.00%	Moderate Buy	0%
TVRD	Tvardi Therapeutics Inc	1.83	71.43%	Moderate Buy	0%
CRBP	Corbus Pharmaceuticals Holding	9.84	100.00%	Strong Buy	0%
CRON	Cronos Group Inc	3.22	50.00%	Moderate Buy	0%
NXH	Neighborhood Intelligence Inc	4.44	75.00%	Hold	0%
TLRY	Tilray Brands Inc	4.67	75.00%	Hold	0%
LYFT	LYFT Inc	17.40	66.67%	Moderate Buy	0%
BYND	Beyond Meat Inc.	14.48	100.00%	Moderate Sell	0%
ARBE	ARBE Robotics LTD	0.75	50.00%	Moderate Buy	0%
ODD	Oddity Tech Ltd	12.51	70.00%	Moderate Sell	0%
VFS	VinFast Auto Ltd	3.12	75.00%	Strong Buy	0%
ARM	ARM Holdings PLC	250.72	75.00%	Strong Buy	0%
NTES	NetEase Inc.-ADR	119.81	83.33%	Strong Buy	2.36%
JD.US	JD.com-ADR	29.41			3.40%
TCOM.CH	Trip.com Group Ltd-ADR	46.43			0%
XOS	XOS Inc	3.72	100.00%	Hold	0%
MOMO	Hello Group Inc-ADR	5.70			0%
TTWO	Take Two Interactive Software Inc	240.15	100.00%	Strong Buy	0%
MRX	Marex Group plc	69.59	100.00%	Strong Buy	0.84%
AAL	American Airlines Group Inc	13.52	53.33%	Moderate Buy	0%
BIIB	Biogen Inc	214.35	62.96%	Moderate Buy	0%
PSKY	Paramount Skydance Corp	10.29	50.00%	Hold	1.93%
CMCSA	Comcast Corp	26.42	64.71%	Hold	4.84%
COST	Costco Wholesale Corp	933.51	61.90%	Moderate Buy	0.58%
GILD	Gilead Sciences Inc	143.44	80.95%	Strong Buy	2.20%
GPRO	GoPro Inc	0.61	100.00%	Moderate Sell	0%
HON	Honeywell International Inc	218.32	73.33%	Moderate Buy	2.06%
