TICKER	NAME	EXCHANGE
VOD	Vodafone Group plc-ADR	NASDAQ
LBRDA	Liberty Broadband Corporation	NASDAQ
VERU	Veru Inc	NASDAQ
SIGA	SIGA Technologies, Inc	NASDAQ
RYAAY	Ryanair Holdings plc-ADR	NASDAQ
JD.US	JD.com-ADR	NASDAQ
XOS	XOS Inc	NASDAQ
MOMO	Hello Group Inc-ADR	NASDAQ
AVT.US	Avnet Inc	NASDAQ
XRX	Xerox Corp	NASDAQ
IEP	Icahn Enterprises LP	NASDAQ
ROST	Ross Stores Inc	NASDAQ
REGN	Regeneron Pharmaceuticals Inc	NASDAQ
PETS.US	PetMed Express	NASDAQ
BATRK	Atlanta Braves Holdings IN-C	NASDAQ
GMAB.US	Genmab A/S -ADR	NASDAQ
NXT.US	Nextpower Inc	NASDAQ
TOP.US	Top Financial Group LTD	NASDAQ
UHAL.B	U-Haul Holding Co	NASDAQ
TORO	Toro Corp	NASDAQ
LLYVA	Liberty Live Holdings Inc-A	NASDAQ
CXAI	CXApp Inc	NASDAQ
ROP	Roper Technologies Inc	NASDAQ
XRAY	Dentsply Sirona Inc.	NASDAQ
ADI.US	Analog Devices Inc	NASDAQ
ROKU	Roku Inc	NASDAQ
NIU	Niu Technologies-ADR	NASDAQ
RPAY	Repay Holdings Corp	NASDAQ
LLYVK	Liberty Live Holdings Inc-C	NASDAQ
MIDD.US	Middleby Corp	NASDAQ
JOUT	Johnson Outdoors Inc.	NASDAQ
RUN	Sunrun Inc.	NASDAQ
WW	Weight Watchers International Inc.	NASDAQ
FLWS	1 800 FLOWERS COM	NASDAQ
JFU	9F Inc-ADR	NASDAQ
BZUN	Baozun Inc-ADR	NASDAQ
REG	Regency Centers Corp	NASDAQ
LPSN	LivePerson Inc	NASDAQ
RGEN	Repligen Corp	NASDAQ
AVXL	Anavex Life Sciences Corp	NASDAQ
FABC	FabricAI Inc	NASDAQ
CTRM	Castor Maritime Inc	NASDAQ
EGAN	eGain Corp	NASDAQ
FRSX	Foresight Autonomous Holdings Ltd-ADR	NASDAQ
TOON	Kartoon Studios Inc	NASDAQ
IZEA	IZEA Worldwide Inc	NASDAQ
NEGG	Newegg Commerce Inc	NASDAQ
CENN	Cenntro Inc	NASDAQ
NNDM	Nano Dimension Ltd-ADR	NASDAQ
PHUN	Phunware Inc	NASDAQ
RIOT	Riot Platforms Inc	NASDAQ
UONE	Urban One Inc	NASDAQ
VXRT	Vaxart Inc	NASDAQ
ALT.US	Altimmune Inc	NASDAQ
MVIS	MicroVision Inc	NASDAQ
RPD	Rapid7 Inc	NASDAQ
CAKE.US	The Cheesecake Factory Inc	NASDAQ
ERIC	Telefonaktiebolaget LM Ericsson ADR	NASDAQ
KNDI	Kandi Technologies Group Inc	NASDAQ
PSEC	Prospect Capital Corp	NASDAQ
REAL	RealReal Inc	NASDAQ
RIGL	Rigel Pharmaceuticals Inc	NASDAQ
RPRX	Royalty Pharma PLC	NASDAQ
