TICKER	NAME	EXCHANGE
QIWI	Qiwi Plc-ADR	NASDAQ
RYAAY	Ryanair Holdings plc-ADR	NASDAQ
XOS	XOS Inc	NASDAQ
XRX	Xerox Corp	NASDAQ
ROST	Ross Stores Inc	NASDAQ
REGN	Regeneron Pharmaceuticals Inc	NASDAQ
SFTGQ	Shift Technologies Inc Class A	NASDAQ
SCLX	Scilex Holding Company	NASDAQ
ROP	Roper Technologies Inc	NASDAQ
XRAY	Dentsply Sirona Inc.	NASDAQ
ROKU	Roku Inc	NASDAQ
RPAY	Repay Holdings Corp	NASDAQ
RUN	Sunrun Inc.	NASDAQ
XXII	22nd Century Group Inc.	NASDAQ
REG	Regency Centers Corp	NASDAQ
RGEN	Repligen Corp	NASDAQ
AIHS	Senmiao Technology Ltd	NASDAQ
BOXL	Boxlight Corp	NASDAQ
NUWE	Nuwellis Inc	NASDAQ
KUST	Kustom Entertainment Inc	NASDAQ
XTIA	XTI Aerospace Inc	NASDAQ
JAGX	Jaguar Health Inc	NASDAQ
NBEVQ	New Age Inc	NASDAQ
AIXC	AIxCrypto Holdings Inc	NASDAQ
RIOT	Riot Platforms Inc	NASDAQ
BTTC	Black Titan Corp	NASDAQ
WKHS	Workhorse Group Inc	NASDAQ
RPD	Rapid7 Inc	NASDAQ
REAL	RealReal Inc	NASDAQ
RIGL	Rigel Pharmaceuticals Inc	NASDAQ
RPRX	Royalty Pharma PLC	NASDAQ
RRGB	Red Robin Gourmet Burgers Inc	NASDAQ
RRR	Red Rock Resorts Inc	NASDAQ
RVMD	REVOLUTION Medicines Inc	NASDAQ
XNET	Xunlei Ltd-ADR	NASDAQ
XP	XP Inc	NASDAQ
RPTX.CVR	RPTX Merger CVR	NASDAQ
ROOT	Root Inc	NASDAQ
RNW	ReNew Energy Global Plc	NASDAQ
RENT	Rent the Runway	NASDAQ
OZON	Ozon Holdings PLC	NASDAQ
USEA	United Maritime Corp	NASDAQ
INBX	Inhibrx Biosciences Inc	NASDAQ
FUSN.CVR	Fusion Pharmaceuticals Inc CVR Payment (Acquired)	NASDAQ
INBX.CVR	Inhibrx Inc CVR Payment (Acquired)	NASDAQ
TECX.CVR	Tectonic Therapeutic Inc Merger CVR	NASDAQ
PSTX.CVR	Poseida Therapeutics Inc Merger CVR	NASDAQ
XELAP	Exela Technologies Pref	NASDAQ
RGLD	Royal Gold Inc.	NASDAQ
RKLB	Rocket Lab Corp	NASDAQ
RLAY	Relay Therapeutics Inc.	NASDAQ
HYZN	Hyzon Motors Inc.	NASDAQ
EHLD	Euro-Holdings Ltd	NASDAQ
RIVN	Rivian Automotive	NASDAQ
RMBS	Rambus Inc	NASDAQ
RXRX	Recursion Pharmaceuticals Inc	NASDAQ
ROIV	Roivant Sciences Ltd	NASDAQ
RELY	Remitly Global Inc	NASDAQ
RDNT	Radnet Inc	NASDAQ
RXST	Rxsight Inc	NASDAQ
RILY	BRC Group Holdings Inc	NASDAQ
XENE	Xenon Pharmaceuticals Inc	NASDAQ
REPL	Replimune Group Inc	NASDAQ
XMTR	Xometry Inc	NASDAQ
ROCK	Gibraltar Industries Inc	NASDAQ
XPEL	Xpel Inc	NASDAQ
RUM	RUM Group Inc	NASDAQ
RUSHA	Rush Enterprises Inc	NASDAQ
ROAD	Construction Partners Inc	NASDAQ
REYN	Reynolds Consumer Products Inc	NASDAQ
XNCR	Xencor Inc	NASDAQ
RGNX	REGENXBIO Inc	NASDAQ
NAAS	NaaS Technology Inc	NASDAQ
RUSHB.US	Rush Enterprises Inc	NASDAQ
RMR	The RMR Group Inc	NASDAQ
RDWR	Radware Ltd	NASDAQ
RICK	RCI Hospitality Holdings Inc	NASDAQ
RWAY	Runway Growth Finance Corp	NASDAQ
RGP	Resources Connection Inc	NASDAQ
REFI	Chicago Atlantic Real Estate Finance Inc	NASDAQ
RGCO	RGC Resources Inc	NASDAQ
RELL	Richardson Electronics Ltd	NASDAQ
RCMT	RCM Technologies Inc	NASDAQ
RDNW	RideNow Group Inc	NASDAQ
RGTI	Rigetti Computing Inc	NASDAQ
GDHG	Golden Heaven Group Holdings	NASDAQ
RXT	Rackspace Technology Inc	NASDAQ
MLGO	Microalgo Inc	NASDAQ
XERS	Xeris Biopharma Holdings Inc	NASDAQ
REKR	Rekor Systems Inc	NASDAQ
EJH	E-Home Household Service	NASDAQ
AONC	American Oncology Network In	NASDAQ
RMTI	Rockwell Medical Inc	NASDAQ
RLMD	Relmada Therapeutics Inc	NASDAQ
RDZN	Roadzen Inc	NASDAQ
RMNI	Rimini Street Inc	NASDAQ
RHLD	Resolute Holdings Management Inc	NASDAQ
CDT	CDT Equity Inc	NASDAQ
THRD	Third Harmonic Bio Inc	NASDAQ
RENEF	Cartesian Growth Corp Ii- A	NASDAQ
SAGE CVR	Sage CVR delisting	NASDAQ
RUBI	Rubico Inc	NASDAQ
APLT.CVR	APLT Merger CVR	NASDAQ
BBBYW	Neighborhood Intelligence Incorporation Warrant	NASDAQ
MRSN CVR	MRSN Merger CVR	NASDAQ
CVR GBIO	Generation Bio Co CVR	NASDAQ
ETNB CVR	ETNB CVR Merger	NASDAQ
VERV US CVR	VERV US merger CVR	NASDAQ
