A.US	A
AA	AA
AADX	AADX
AAMI	AAMI
AAP	AAP
AAPL.24-7	AAPL
AAT	AAT
AAUC	AAUC
ABBV	ABBV
ABCB	ABCB
ABEV	ABEV
ABG	ABG
ABM	ABM
ABR	ABR
ABT.US	ABT
ABX	ABX
ACA.US	ACA
ACCO	ACCO
ACEL	ACEL
ACH.US	ACH
ACHR	ACHR
ACI	ACI
ACM	ACM
ACN	ACN
ACRE	ACRE
ACVA	ACVA
AD	AD
ADC	ADC
ADIG	ADIG
ADM	ADM
ADNT	ADNT
ADT	ADT
AEE	AEE
AEG	AEG
AEM	AEM
AEO	AEO
AER	AER
AERO.US	AERO
AES	AES
AESI	AESI
AEXA	AEXA
AFG	AFG
AFL	AFL
AG	AG
AGBK	AGBK
AGCO	AGCO
AGI	AGI
AGL	AGL
AGM	AGM
AGO	AGO
AGRO	AGRO
AGX	AGX
AHR	AHR
AHRT	AHRT
AI	AI
AIG	AIG
AIN	AIN
AIR.US	AIR
AIT	AIT
AIV	AIV
AIZ	AIZ
AJG	AJG
AKA.US	AKA
AKR	AKR
ALB	ALB
ALG	ALG
ALH	ALH
ALIT	ALIT
ALK	ALK
ALL	ALL
ALLE	ALLE
ALLY	ALLY
ALSN	ALSN
ALTG	ALTG
ALUR	ALUR
ALV	ALV
ALX	ALX
AM	AM
AMBP	AMBP
AMC	AMC
AMCR	AMCR
AME	AME
AMG	AMG
AMH	AMH
AMN	AMN
AMP.US	AMP
AMPX	AMPX
AMPY	AMPY
AMR	AMR
AMRC	AMRC
AMRX	AMRX
AMRZ	AMRZ
AMT	AMT
AMTB	AMTB
AMTM	AMTM
AMWL	AMWL
AMX	AMX
AMZN.24-7	AMZN
AN	AN
ANDG	ANDG
ANET	ANET
ANF	ANF
ANGX	ANGX
ANVS	ANVS
AON	AON
AORT	AORT
AOS	AOS
APAM	APAM
APD	APD
APG	APG
APH	APH
APLE	APLE
APO	APO
APTV	APTV
AQN	AQN
AR.US	AR
ARCO	ARCO
ARE	ARE
ARES	ARES
ARI	ARI
ARIS	ARIS
ARLO	ARLO
ARMK	ARMK
AROC	AROC
ARR	ARR
ARW	ARW
ARX	ARX
AS	AS
ASAN	ASAN
ASB	ASB
ASC	ASC
ASH	ASH
ASIX	ASIX
ASPN	ASPN
ASR	ASR
ASX	ASX
ATEN	ATEN
ATHM.CH	ATHM
ATI	ATI
ATKR	ATKR
ATMU	ATMU
ATNM	ATNM
ATO	ATO
ATR	ATR
ATS	ATS
AU	AU
AUB	AUB
AVA	AVA
AVD	AVD
AVEX	AVEX
AVNT.US	AVNT
AVTR	AVTR
AVY	AVY
AWI	AWI
AWK	AWK
AWR	AWR
AX	AX
AXIAY	AXIAY
AXP	AXP
AXS.US	AXS
AXTA	AXTA
AYI	AYI
AZO	AZO
AZUL	AZUL
AZZ	AZZ
B	B
BA	BA
BABA	BABA
BAC	BAC
BAH	BAH
BAK	BAK
BALL	BALL
BAM	BAM
BANC	BANC
BAP	BAP
BARK	BARK
BAX	BAX
BB	BB
BBAI	BBAI
BBAR	BBAR
BBD	BBD
BBDC	BBDC
BBDO	BBDO
BBT	BBT
BBUC	BBUC
BBVA.US	BBVA
BBW	BBW
BBWI	BBWI
BBY	BBY
BC	BC
BCC	BCC
BCE	BCE
BCH.US	BCH
BCO	BCO
BCS	BCS
BCSF	BCSF
BDC	BDC
BDN	BDN
BDX	BDX
BE	BE
BEKE	BEKE
