2020.OL	2020 Bulkers Ltd	5.05			5.07%
5PG.OL	5Th Planet Games A/S	1.70			0%
AASB.OL	Aasen Sparebank	132.30			7.46%
ABG.OL	ABG Sundal Collier Holding ASA	7.44			7.37%
ABTEC.OL	Aqua Bio Technology ASA	4.90			0%
ACR.OL	Axactor ASA	4.95			0%
ADS.OL	Ads Maritime Holding Plc	2.48			0%
AFG.OL	Af Gruppen ASA	193.60			3.34%
AFISH.OL	Arctic Fish Holding AS	26.60			0%
AFK.OL	Arendals Fossekompani ASA	181.50			0%
AGLX.OL	Agilyx ASA	17.30			0%
AIX.OL	Ayfie International AS	3.40			0%
AKAST.OL	Akastor ASA	13.30			0%
AKBM.OL	Aker Biomarine ASA	123.80			0%
AKER.OL	Aker ASA	1.48K			3.74%
AKRBP.OL	Aker BP ASA	348.40			7.24%
AKSO.OL	Aker Solutions	43.04			8.32%
AKVA.OL	Akva Group ASA	137.00			0.73%
ALNG.OL	ALNG ASA	3.40			0%
ANDF.OL	Andfjord Salmon Group AS	29.30			0%
AQUA.OL	Aqualis ASA	8.98			0%
ARCH.OL	Archer Ltd	23.65			0%
ARR.OL	Arribatec Group ASA	6.24			16.08%
ATEA.OL	Atea ASA	176.80			4.15%
AURG.OL	Aurskog Sparebank	254.95			6.62%
AUSS.OL	Austevoll Seafood ASA	88.60			7.19%
AUTO.OL	AutoStore Holdings Ltd	16.02			0%
AZT.OL	Arcticzymes Technologies ASA	20.80			0%
B2I.OL	B2 Impact ASA	27.35			7.12%
BAKKA.OL	P/F Bakkafrost	493.20			1.01%
BCS.OL	Bergen Carbon Solutions AS	5.80			0%
BEWI.OL	Bewi ASA	20.85			0%
BIEN.OL	Bien Sparebank ASA	143.00			3.98%
BINT.OL	BEVEST ASA	23.40			0%
BNOR.OL	Bluenord ASA	540.00			6.70%
BONHR.OL	Bonheur ASA	247.50			2.91%
BOR.OL	Borgestad ASA	16.60			0%
BOUV.OL	Bouvet ASA	49.20			6.07%
BRG.OL	Borregaard ASA	156.60			2.99%
BWE.OL	BW Energy Ltd	54.80			0%
