ABBNY	ABB Ltd - ADR	99.19			
AMLIF	American Lithium Corp	0.31			
ARVLF	Arrival	0.00			
ASAIY	Sendas Distribuidora SA	8.69			
ATHXQ	Athersys Inc	0.00			
ATROB	Astronics Corp	74.01			
AXICY	Axia Energia-ADR	10.23			
BIGGQ	Big Lots Inc	0.00			
BTMCQ	Bitcoin Depot Inc	0.02			
CAJPY	Canon Inc - ADR	28.96			
CNDA	Concord Acquisition Corp II	12.50			
CNTM	ConnectM Technology Solutions Inc	4.60			
DIDIY	DIDI Global Inc.	3.76			
DMKPQ	DMK Pharmaceuticals Corp	0.00			
DMNIF	Damon Inc	0.00			
EGRX	Eagle Pharmaceuticals Inc	0.53			
EVCO	Everest Consolidator Acquisition Corporation	2.00			
EVFM	Evofem Biosciences Inc	0.01			
FRCB	First Republic Bank/CA	0.00			
FTCHQ	Farfetch	0.00			
GDST	Goldenstone Acquisition Ltd	12.50			
GLFE	Golf Entertainment Group Inc	7.85			
GOEVQ	Canoo Inc.	0.00			
HTGMQ	HTG Molecular Diagnostics Inc	0.00			
HTZWW	Hertz Global Holdings Inc. Wt	1.03			
IDEXQ	Ideanomics Inc	0.00			
IVCAF	Libity	12.00			
IVCBF	Investcorp Europe Acquisi-A	6.00			
JTKWY	Just Eat Takeaway.com NV-ADR	4.11			
LEVGQ	Lion Electric Co/The	0.03			
LILMF	Lilium Nv	0.00			
LOGC	Contextlogic Holdings Inc	11.95			
LUNA.US	Luna Innovations Inc	1.36			
LUXHQ	Luxurban Hotels Inc	0.00			
MARK	Remark Holdings Inc	0.00			
MAXNQ	Maxeon Solar Technologies Ltd	0.02			
MBRFY	MARFRIG GLOBAL FOOD-SPON ADR	3.53			
MDRX	Veradigm Inc	4.80			
MFLTY	MissFresh Ltd. ADR	0.00			
MOND	Mondee Holdings Inc	0.00			
MTBLY	Moatable Inc-ADR	0.55			
MTPLF	Metaplanet Inc	2.00			
NKGN	Nkgen Biotech Inc	0.00			
NTDOY	Nintendo CO Ltd-ADR	13.87			
ORANY	Orange S.A.-ADR	18.66			
PITEF	Heramba Electric Plc	0.00			
QTTOY	Qutoutiao Inc.-ADR	0.00			
REEAF.US	REE Automotive Ltd	0.00			
RVPH	Reviva Pharmaceuticals Holdi	0.49			
SBNY	Signature Bank	0.14			
SCPX	Scorpius Holdings Inc	0.00			
SDCCQ	SmileDirectClub Inc	0.00			
SDZNY	Sandoz Group AG-ADR	92.06			
SFGYY	Sony Financial Group Inc	5.04			
SGMOQ	Sangamo Therapeutics Inc	0.15			
SICP	SilverGate Capital	0.85			
SLAMF	Slam Corp	19.00			
SLNAF	Selina Hospitality PLC	0.00			
SMNR	Semnur Pharmaceuticals Inc	0.61			
SNBRQ	Sleep Number Corporation	0.03			
SNFI	Stark Novus Financial Inc	1.70			
SRNE	Sorrento Therapeutics Inc	0.00			
SUNWQ	Sunworks Inc	0.00			
SYRS	Syros Pharmaceuticals Inc	0.00			
TBLT	Toughbuilt Industries Inc	0.01			
TRVN	Trevena Inc	0.00			
TSPH	TuSimple Holdings Inc	0.18			
VISL	Vislink Technologies Inc	3.15			
WCPRF	Whitecap Resources Inc	12.67			
XELA	Exela Technologies Inc	0.00			
ZOMDF	Zomedica Corp	0.09			
ZPTA	Zapata Quantum Inc	0.86			
