SPCE	4.2	4.6	3.4	20
W.US	5.8	5.9	5.5	22
MMS.ASX	6.4	6.1	7.0	18
GLFE	5.0		5.0	7
ECL	7.1	7.7	5.7	24
CR	7.8	8.2	6.8	24
FCIT.L	5.5		5.5	2
ENEL.MI	5.2	4.6	6.6	21
U	6.7	7.0	5.9	22
ARCC	5.5	4.8	7.3	24
CIBUS.ST	5.9		5.9	8
ENTG	6.5	6.4	6.6	24
PLTK	5.1	5.0	5.2	22
GRWG	5.2	5.7	3.9	21
MYCR.ST	7.5		7.5	10
TRYG.CO	5.5		5.5	10
6471.T	5.9		5.9	9
ALGT	6.4	6.2	7.0	24
SPCX	6.0	6.4	5.2	17
AIXC	3.6		3.6	5
JYNT	6.3	7.0	4.8	23
BCH.US	5.8	5.9	5.5	20
DKNG	4.6	4.6	4.5	23
VNO	5.5	5.7	5.2	24
DIOD	6.4	6.2	6.8	23
NORTHM.CO	5.0		5.0	8
CMBT	6.1	5.9	6.6	23
CCEP.NV	5.5	5.7	5.0	21
BYIT.L	6.0	5.9	6.1	20
WSBF	5.2		5.2	7
SRE	6.3	6.1	6.8	24
PME.ASX	6.3	6.4	6.1	19
ALCGM.PA	5.6	5.5	5.9	19
MVST	5.1	5.2	4.8	21
RAUTE.HE	3.0		3.0	10
VC	6.1	6.4	5.5	23
ROL	5.4	5.5	5.2	24
MEDCL.PA	4.9	5.5	3.6	16
VKTX	4.3	4.3	4.3	21
TILE	7.4	7.9	6.1	23
IEL.ASX	5.3	5.4	5.2	19
IHP.L	6.2	6.1	6.4	19
NOVN.ZU	5.5	5.0	6.6	22
VRLA.PA	5.5	5.7	5.0	19
ALPWG.PA	4.1		4.1	6
CAF.MC	6.1		6.1	9
IOS.DE	6.4	6.2	7.0	20
OCUL	4.6	5.0	3.6	22
RACE	7.3	8.0	5.7	24
101.HK	7.7		7.7	8
SIX2.DE	6.2	6.4	5.7	19
NC5A.DE	4.3		4.3	6
ELMT	6.5	7.1	5.0	17
RSI	6.9	7.5	5.5	24
RNGR	6.4	7.1	4.8	23
AB.PA	5.7		5.7	7
CMPS	5.1	5.0	5.2	20
RAT.L	5.8	5.5	6.4	20
OSE.PA	3.9		3.9	7
HAYW	6.4	6.2	7.0	24
PBR	6.1	5.9	6.6	22
2INV.DE	3.9		3.9	5
6503.T	5.0		5.0	10
3099.T	5.2		5.2	9
ASML.NV	7.0	6.6	8.0	22
CSL.ASX	5.5	5.5	5.5	18
KRYS	6.7	7.1	5.9	23
PAT.DE	6.2	6.4	5.9	20
CTVA	6.6	7.0	5.7	24
WABC	5.3	5.7	4.5	20
