74SW.PA	74Software SA	40.00			0%
AB.PA	AB Science SA	0.74			0%
ABCA.PA	ABC Arbitrage SA	5.16			6.59%
ABEO.PA	Abeo SA	8.80			3.64%
ABNX.PA	Abionyx Pharma SA	1.97			0%
ABVX.PA	Abivax SA	102.30			0%
AC.PA	Accor S.A.	46.66			2.89%
ACA.PA	Credit Agricole S.A.	19.00			5.95%
ACAN.PA	Acanthe Developpement SE	0.21			0%
ADOC.PA	Adocia SA	4.01			0%
ADP.PA	Groupe ADP	112.50			2.67%
AF.PA	Air France-KLM	12.06			0%
AI.PA	Air Liquide SA	167.78			2.00%
AIR.PA	AIRBUS SE	204.55			1.56%
AKE.PA	Arkema	58.35			6.17%
AKW.PA	Akwel SA	6.52			9.20%
AL2SI.PA	2Crsi SA	27.56			0%
ALAFY.PA	AFYREN SA	2.75			0%
ALAGO.PA	E-Pango SA	0.18			0%
ALAGP.PA	Agripower France SASU	0.95			0%
ALAGR.PA	Agrogeneration SA	0.05			0%
ALATA.PA	Atari SA	21.98			0%
ALATI.PA	Actia Group SA	4.14			2.90%
ALAVI.PA	Advini SA	16.00			0%
ALBFR.PA	Sidetrade SA	195.00			0%
ALBI.PA	Gascogne SA	2.16			0%
ALBIO.PA	Biosynex SA	0.90			0%
ALBIZ.PA	Obiz SA	2.80			0%
ALBLD.PA	Bilendi SA	13.60			0%
ALBOA.PA	Boa Concept SA	13.20			0%
ALBON.PA	Compagnie Lebon SA	95.40			4.18%
ALBPS.PA	Biophytis SA	0.08			0%
ALCAF.PA	ALCAF FP	13.45			0%
ALCAT.PA	Catana Group	1.82			7.13%
ALCBX.PA	Cibox Inter@ctive SA	0.01			0%
ALCGM.PA	Cegedim SA	10.26			0%
ALCIS.PA	Catering International & Services SA	21.60			1.39%
ALCJ.PA	Crossject SA	1.48			0%
ALCLA.PA	Claranova SADIR	0.72			0%
ALCLS.PA	Cellectis SA	2.94			0%
ALCOF.PA	Cofidur SA	278.00			3.60%
ALCOG.PA	Cogra Quarante Huit SA	6.94			0%
ALCOX.PA	Nicox SA	0.38			0%
ALCPB.PA	Capital B	0.56			0%
ALCRB.PA	Carbios SA	6.40			0%
ALCUR.PA	Arcure SA	2.55			0%
ALDAR.PA	Damartex SA	2.48			0%
ALDBT.PA	DBT SA	0.04			0%
ALDEL.PA	Delfingen Industry SA	29.80			5.81%
ALDLS.PA	Dlsi SA	10.80			0%
ALDLT.PA	Delta Plus Group SA	36.20			2.07%
ALDMS.PA	Diagnostic Medical Systems SA	1.04			0%
ALDNE.PA	Dont Nod Entertainment SA	0.41			0%
ALDRV.PA	Drone Volt SA	0.38			0%
ALDUX.PA	Adux SA	1.18			0%
ALEAC.PA	EdiliziAcrobatica SpA	2.90			0%
ALECO.PA	Ecomiam SA	2.12			0%
ALECP.PA	Europacorp SA	0.27			0%
ALEMG.PA	Laboratoires Euromedis SA	4.96			0%
ALENO.PA	Enogia SA	6.62			0%
ALEO2.PA	EO2 SA	2.72			0%
ALERS.PA	Eurobio Scientific SA	19.80			0%
ALESE.PA	Entech SA	10.26			0.66%
ALFER.PA	Sergeferrari Group SA	6.82			1.91%
ALFLE.PA	Fleury Michon SA	21.50			6.28%
ALFLO.PA	Florentaise SA	0.76			0%
ALFOR.PA	Forsee Power SA	0.23			0%
ALFPC.PA	Fountaine Pajot SA	84.60			2.98%
ALFRE.PA	Freelance.com SA	2.67			9.36%
ALFUM.PA	Fill Up Media SA	6.22			0%
ALGAE.PA	Fermentalg SA	0.46			0%
ALGEN.PA	Genoway SA	2.46			0%
ALGID.PA	Egide SA	0.90			0%
ALGIL.PA	Groupe Guillin SA	21.30			4.23%
ALGIR.PA	Signaux Girod SA	16.35			9.17%
ALHAF.PA	Haffner Energy SA	0.57			0%
ALHEX.PA	Hexaom SA	26.50			3.02%
ALHF.PA	HF Company SA	4.08			13.48%
ALHG.PA	Louis Hachette Group	1.82			3.29%
ALHGR.PA	Hoffmann Green Cement Technologies SAS	4.01			0%
ALHOP.PA	Hopscotch Groupe SA	14.50			3.45%
ALHPI.PA	Hopium SA	0.00			0%
ALHRG.PA	Herige SA	21.10			0%
ALHRS.PA	Hydrogen-Refueling-Solutions SA	1.25			0%
ALHUN.PA	Hunyvers SA	6.90			0%
ALHYP.PA	Hipay Group SA	5.10			0%
ALIBR.PA	Calibre	0.00			0%
ALICA.PA	Icape Holding SA	8.52			1.06%
ALIKO.PA	Ikonisys SA	1.42			0%
ALIMP.PA	Implanet SA	0.19			0%
ALINN.PA	Innelec Multimedia SA	2.75			0%
ALINS.PA	Intrasense SA	0.30			0%
ALINV.PA	Invibes Advertising NV	2.00			0%
ALITL.PA	IT Link SA	16.80			2.98%
ALJXR.PA	Archos SA	0.26			0%
ALKAL.PA	Kalray SA	6.20			0%
ALKEY.PA	Keyrus SA	7.90			0%
ALKKO.PA	Kko International SA	0.06			0%
ALKLA.PA	Klarsen SA	1.35			0%
ALKLH.PA	Klea Holding	0.15			0%
ALLAN.PA	Lanson BCC SA	27.50			2.18%
ALLDL.PA	Groupe LDLC SA	12.32			0%
ALLGO.PA	Largo SA	1.32			0%
ALLIX.PA	Wallix Group SA	22.80			0%
ALLOG.PA	Logic Instrument SA	1.95			0%
ALMCE.PA	Mon Courtier Energie SAS	5.60			6.96%
ALMCP.PA	Mcphy Energy SA	0.15			0%
ALMDG.PA	Mgi Digital Technology SA	10.08			0%
ALMDT.PA	Median Technologies SA	4.57			0%
ALMIB.PA	Amoeba SA	0.70			0%
ALMIN.PA	Mint SA	5.04			0%
ALMKT.PA	Mauna Kea Technologies SA	0.15			0%
ALMLB.PA	Miliboo SA	1.60			0%
ALMOU.PA	Moulinvest SA	23.00			1.43%
ALMRB.PA	MR Bricolage SA	4.01			0%
ALNEV.PA	Neovacs SA	6.10K			0%
ALNFL.PA	Nfl Biosciences SAS	0.90			0%
ALNN6.PA	Enensys Technologies SA	1.20			0%
ALNOV.PA	Novacyt SA	0.51			0%
ALNRG.PA	Energisme SA	0.00			0%
ALNSE.PA	NSE SA	47.40			0.57%
ALNTG.PA	Netgem SA	0.82			6.13%
ALNXT.PA	Nextedia SA	0.30			0%
ALO.PA	Alstom SA	16.18			0%
ALODC.PA	Omer Decugis & Cie SA	8.44			2.13%
ALOKW.PA	Groupe Okwind SA	0.26			0%
ALOPM.PA	Oncodesign Precision Medicine Opm SA	0.32			0%
ALORA.PA	Altheora SA	0.40			0%
ALORD.PA	Ordissimo SA	0.44			0%
ALPAS.PA	Passat SA	4.82			0%
ALPAU.PA	Paulic Meunerie SA	1.22			0%
ALPDX.PA	Piscines Desjoyaux SA	11.55			5.71%
ALPJT.PA	Poujoulat SA	6.06			1.98%
ALPM.PA	Precia SA	26.60			2.07%
ALPRG.PA	Prologue SA	0.34			0%
ALPUL.PA	Pullup Entertainment SA	8.43			11.86%
ALPVL.PA	Plastiques du Val de Loire SA	2.33			0%
ALPWG.PA	Prodways Group SA	0.64			0%
ALQWA.PA	Qwamplify SA	1.55			6.45%
ALRIB.PA	Riber SA	9.23			0%
ALRPD.PA	Rapid Nutrition PLC	3.36			0%
ALSEN.PA	Sensorion SA	0.28			0%
ALSGD.PA	Spineguard SA	0.10			0%
ALSMA.PA	SMAIO SA	7.60			0%
ALSOG.PA	Sogeclair SA	30.20			3.31%
ALSPT.PA	Spartoo SA	0.24			0%
ALSPW.PA	Spineway SA	0.13			0%
ALSTI.PA	Stif France SAS	48.60			1.40%
ALSTW.PA	Streamwide SA	81.60			0%
ALTA.PA	Altarea SCA	99.10			2.48%
ALTAO.PA	Aton SA	0.02			0%
ALTD.PA	Tonner Drones SA	0.03			0%
ALTHO.PA	Metavisio SA	0.00			0%
ALTHX.PA	THX Pharma SACA	4.17			0%
ALTME.PA	TME Pharma NV	0.13			0%
ALTOO.PA	Toosla SA	0.00			0%
ALTOU.PA	Touax Sgtr Cite Sgt Cmte Taf Slm Touage Investissements Reunies SCA	3.92			2.55%
ALTPC.PA	Societe Marseillaise du Tunnel Prado Carenage SA	26.80			8.58%
ALTUV.PA	Bio-UV Group SA	1.35			0%
ALU10.PA	U10 Corp SA	1.25			0%
ALUNI.PA	Unify Group	1.75			0%
ALUPG.PA	Upergy	1.60			4.56%
ALVAL.PA	Valbiotis SA	0.83			0%
ALVAP.PA	Kumulus Vape SA	3.00			3.33%
ALVDM.PA	Voyageurs du Monde SA	178.50			3.75%
ALVGO.PA	Vogo SA	1.82			0%
ALVIO.PA	Valerio Therapeutics SA	0.81			0%
ALVU.PA	Vente-Unique.Com SA	17.10			2.92%
ALWEC.PA	We. Connect SA	25.00			1.60%
ALWF.PA	Winfarm SA	3.80			0%
ALWIN.PA	Winamp Group	0.36			0%
ALWTR.PA	Watera SACA	1.47			0%
ALXIL.PA	Xilam Animation SA	5.30			0%
AM.PA	Dassault Aviation SA	293.00			1.63%
AMUN.PA	Amundi SA	94.30			4.51%
ANTIN.PA	Antin Infrastructure Partners SAS	9.06			7.84%
ARAMI.PA	Aramis Group SAS	3.90			0%
ARG.PA	Argan SA	73.60			2.89%
ASY.PA	Assystem SA	44.15			2.27%
ATE.PA	Alten SA	75.45			1.99%
ATEME.PA	Ateme SA	12.55			0%
ATO.PA	Atos Group	28.60			0%
AUB.PA	Aubay SA	56.60			2.47%
AURE.PA	Aurea SA	5.40			2.78%
AVT.PA	Avenir Telecom SA	0.09			0%
AYV.PA	Ayvens SA	11.59			5.09%
BAIN.PA	Societe Anonyme des Bains de Mer et du Cercle des Etrangers a Monaco SA	133.50			1.35%
BASS.PA	Bassac	43.30			2.31%
BB.PA	Societe BIC SA	66.70			3.60%
BEN.PA	Beneteau SA	5.92			3.38%
BIG.PA	Bigben Interactive SA	0.15			0%
BIM.PA	BioMerieux	75.50			1.30%
BLC.PA	Bastide le Confort Medical SA	22.30			0%
BN.PA	Danone S.A	65.44			3.44%
BNP.PA	BNP Paribas SA	104.44			4.94%
BOI.PA	Boiron SA	25.80			5.23%
BOL.PA	Bollore SA	3.85			1.94%
BON.PA	Bonduelle SA	8.87			2.82%
BSD.PA	Bourse Direct SA	5.58			4.30%
BUR.PA	Burelle SA	394.00			4.31%
BVI.PA	Bureau Veritas SA	27.78			3.31%
CA.PA	Carrefour SA	15.89			6.02%
CAF.PA	Caiss Regio Credi Agric Mutuel Paris Idf	117.10			2.21%
CAP.PA	Capgemini SE	109.40			3.11%
CARM.PA	Carmila SA	16.18			8.41%
CAT31.PA	Caisse Regionale De Credit Agricole Mutuel Toulouse 31	122.36			3.63%
CBOT.PA	Cbo Territoria SA	3.89			6.17%
CBSM.PA	Soc Centrale Bois Scieries Manche SA	9.65			0%
CCN.PA	Caisse Regionale de Credit Agricole Mutuel de Normandie Seine SC	162.48			2.14%
CDA.PA	Compagnie des Alpes SA	20.25			4.84%
CDI.PA	Christian Dior	406.00			3.52%
CEN.PA	Groupe Crit SA	52.60			2.85%
CIV.PA	Caisse regionale de Credit Agricole Mutuel dIlle-et-Vilaine	119.02			2.75%
CMO.PA	Credit Agricole du Morbihan SC	115.98			2.87%
CNDF.PA	Caisse Reg Credit Agric Mut Nord France	30.00			2.83%
CO.PA	Casino Guichard Perrachon SA	0.18			0%
COFA.PA	Coface SA	16.01			7.81%
COH.PA	Coheris SA	10.40			0.77%
COTY.PA	Coty Inc	2.40			0%
COV.PA	Covivio SA	51.90			2.98%
COVH.PA	Covivio Hotels SCA	22.60			6.64%
CRAP.PA	Credit Agricole Alpes Provence	137.50			3.40%
CRAV.PA	Caisse Regionale De Credit Agricole Mutuel Atlantique Vendee	139.70			2.76%
CRBP2.PA	Caisse Regionale de Credit Agricole Mutuel Brie Picardie	36.30			3.17%
CRI.PA	Chargeurs SA	8.78			0%
CRLA.PA	Caisse Regionale de Credit Agricole Mutuel du Languedoc	90.50			2.97%
CRLO.PA	Cr Credit Agricole Mutuel Loire Hte Loir	99.00			2.93%
CRSU.PA	Caisse Regionale De Credit Agricole Mutuel Sud Rhone Alpes	234.00			2.68%
CRTO.PA	Caisse Reg Cred Agric Mut Tourain Poitou	134.50			2.53%
CS.PA	AXA Group	43.68			5.31%
CVX.PA	Carvolix SA	7.18			0%
DBG.PA	Derichebourg SA	9.05			1.44%
DBV.PA	DBV Technologies	2.53			0%
DEC.PA	J C Decaux	24.12			2.69%
DEEZR.PA	Deezer SA	1.16			0%
DG.PA	Vinci S.A	119.60			4.18%
DIM.PA	Sartorius Stedim Biotech SA	194.30			0.36%
DKUPL.PA	Adl Partner SA	23.90			3.18%
DSY.PA	Dassault Systemes	22.65			1.19%
EAPI.PA	Euroapi SA	0.95			0%
EC.PA	TotalEnergies EP Gabon	222.00			8.68%
EDEN.PA	Edenred SA	30.16			4.41%
EFG.PA	Eagle Football Group SA	1.82			0%
EKI.PA	Ekinops SA	2.46			0%
EL.PA	EssilorLuxottica SA	159.15			2.51%
ELEC.PA	Electricite de Strasbourg SA	167.80			8.16%
ELIOR.PA	Elior Group SA	2.14			0%
ELIS.PA	Elis SA	24.40			0.90%
EMEIS.PA	Emeis SA	13.80			0%
EN.PA	Bouygues SA	46.19			4.55%
ENGI.PA	Engie SA	25.33			4.07%
ENX.PA	Euronext NV	165.20			1.92%
EQS.PA	Equasens SA	34.05			4.11%
ERA.PA	ERAMET S.A.	46.24			0%
ERF.PA	Eurofins Scientific SE	74.08			0.97%
ETL.PA	Eutelsat Communications	1.87			0%
EXA.PA	Exail Technologies	124.40			0%
EXE.PA	Exel Industries SA	20.00			3.00%
EXENS.PA	Exosens SAS	60.90			0.49%
EXPL.PA	Soc D Explosifs Produits Chimiques SA	267.00			1.12%
FDE.PA	La Francaise de l Energie SA	28.60			0%
FDJU.PA	FDJ United	22.37			9.39%
FGA.PA	Figeac Aero SARL	10.60			0%
FGR.PA	Eiffage SA	118.65			4.05%
FII.PA	Lisi SA	62.70			0.74%
FNAC.PA	Fnac Darty SA	34.60			2.89%
