TICKER	FILE
AAPL	analyst_targets_A.txt
GOOG	analyst_targets_G.txt
META	analyst_targets_M1.txt
MSFT	analyst_targets_M2.txt
AMZN	analyst_targets_A.txt
CSCO	analyst_targets_C.txt
INTC	analyst_targets_I.txt
WMT	analyst_targets_W.txt
PEP	analyst_targets_P1.txt
EBAY	analyst_targets_E.txt
NBIS	analyst_targets_N.txt
FWONK	analyst_targets_F.txt
OPCH	analyst_targets_O.txt
LNTH	analyst_targets_L.txt
NOVT	analyst_targets_N.txt
PRVA	analyst_targets_P2.txt
ZD	analyst_targets_Z.txt
SMCI	analyst_targets_S2.txt
PTCT	analyst_targets_P2.txt
ENVX	analyst_targets_E.txt
CALM	analyst_targets_C.txt
NEOG	analyst_targets_N.txt
TSLA	analyst_targets_T.txt
FSLR	analyst_targets_F.txt
TRIP	analyst_targets_T.txt
URBN	analyst_targets_U.txt
ADBE	analyst_targets_A.txt
NFLX	analyst_targets_N.txt
WDC	analyst_targets_W.txt
MU	analyst_targets_M2.txt
AGNC	analyst_targets_A.txt
ADSK	analyst_targets_A.txt
NVDA	analyst_targets_N.txt
CAR	analyst_targets_C.txt
BIDU	analyst_targets_B.txt
SBUX	analyst_targets_S1.txt
AMGN	analyst_targets_A.txt
CHKP	analyst_targets_C.txt
KDP	analyst_targets_K.txt
DBX	analyst_targets_D.txt
WIX	analyst_targets_W.txt
RYAAY	analyst_targets_R.txt
ACB	analyst_targets_A.txt
TVRD	analyst_targets_T.txt
CRBP	analyst_targets_C.txt
CRON	analyst_targets_C.txt
NXH	analyst_targets_N.txt
TLRY	analyst_targets_T.txt
LYFT	analyst_targets_L.txt
BYND	analyst_targets_B.txt
ARBE	analyst_targets_A.txt
ODD	analyst_targets_O.txt
VFS	analyst_targets_V.txt
ARM	analyst_targets_A.txt
NTES	analyst_targets_N.txt
JD.US	analyst_targets_J.txt
TCOM.CH	analyst_targets_T.txt
TTWO	analyst_targets_T.txt
MRX	analyst_targets_M2.txt
AAL	analyst_targets_A.txt
BIIB	analyst_targets_B.txt
PSKY	analyst_targets_P2.txt
CMCSA	analyst_targets_C.txt
COST	analyst_targets_C.txt
GILD	analyst_targets_G.txt
GPRO	analyst_targets_G.txt
HON	analyst_targets_H.txt
BKNG	analyst_targets_B.txt
PYPL	analyst_targets_P2.txt
QCOM	analyst_targets_Q.txt
PAGP	analyst_targets_P1.txt
UAL	analyst_targets_U.txt
MDLZ	analyst_targets_M1.txt
SNEX	analyst_targets_S2.txt
AVT.US	analyst_targets_A.txt
EXC	analyst_targets_E.txt
KMB	analyst_targets_K.txt
XRX	analyst_targets_X.txt
PCAR	analyst_targets_P1.txt
GT	analyst_targets_G.txt
AEP	analyst_targets_A.txt
APA	analyst_targets_A.txt
CHRW	analyst_targets_C.txt
TXN	analyst_targets_T.txt
CSX	analyst_targets_C.txt
ADP	analyst_targets_A.txt
CDW	analyst_targets_C.txt
XEL	analyst_targets_X.txt
ROST	analyst_targets_R.txt
PFG	analyst_targets_P1.txt
HSIC	analyst_targets_H.txt
CTSH	analyst_targets_C.txt
CHTR	analyst_targets_C.txt
AMAT	analyst_targets_A.txt
STLD	analyst_targets_S2.txt
DLTR	analyst_targets_D.txt
NWSA	analyst_targets_N.txt
CPB	analyst_targets_C.txt
VC	analyst_targets_V.txt
ORLY	analyst_targets_O.txt
CASY	analyst_targets_C.txt
LKQ	analyst_targets_L.txt
GEN	analyst_targets_G.txt
NTAP	analyst_targets_N.txt
SANM	analyst_targets_S1.txt
JBHT	analyst_targets_J.txt
MAT	analyst_targets_M1.txt
JBLU	analyst_targets_J.txt
NWL	analyst_targets_N.txt
CLMT	analyst_targets_C.txt
EXPE	analyst_targets_E.txt
NAVI	analyst_targets_N.txt
AMD	analyst_targets_A.txt
WYNN	analyst_targets_W.txt
HST	analyst_targets_H.txt
FISV	analyst_targets_F.txt
CINF	analyst_targets_C.txt
Z	analyst_targets_Z.txt
LRCX	analyst_targets_L.txt
CTAS	analyst_targets_C.txt
ANDE	analyst_targets_A.txt
NTRS	analyst_targets_N.txt
INTU	analyst_targets_I.txt
FWONA	analyst_targets_F.txt
