AAON	Industrials	Building Products & Equipment
AAPL	Technology	Consumer Electronics
ABEO	Healthcare	Biotechnology
ACIC	Financial Services	Insurance - Property & Casualty
ACAD	Healthcare	Biotechnology
ACET	Healthcare	Biotechnology
ABSI	Healthcare	Biotechnology
ACT	Financial Services	Insurance - Specialty
ADBE	Technology	Software - Application
ADMA	Healthcare	Biotechnology
ADV	Communication Services	Advertising Agencies
ADSK	Technology	Software - Application
AEIS	Industrials	Electrical Equipment & Parts
AEVA	Technology	Software - Infrastructure
AFYA	Consumer Defensive	Education & Training Services
AIP	Technology	Semiconductors
AGNT	Real Estate	Real Estate Services
AIFC	Technology	Software - Infrastructure
AGMB	Healthcare	Biotechnology
AIXC	Technology	Software - Infrastructure
ALGM	Technology	Semiconductors
ALCO	Consumer Defensive	Farm Products
ALHC	Healthcare	Healthcare Plans
ALMS	Healthcare	Biotechnology
ALLO	Healthcare	Biotechnology
ALRM	Technology	Software - Application
ALTO	Basic Materials	Specialty Chemicals
AMBR	Financial Services	Asset Management
AMD	Technology	Semiconductors
AMAL	Financial Services	Banks - Regional
AMLX	Healthcare	Drug Manufacturers - Specialty & Generic
AMSC	Industrials	Specialty Industrial Machinery
AMZN	Consumer Cyclical	Internet Retail
ANIP	Healthcare	Drug Manufacturers - Specialty & Generic
AONC	Healthcare	Medical Care Facilities
ANGI	Communication Services	Internet Content & Information
API	Technology	Software - Application
APC	Energy	Oil & Gas Refining & Marketing
APPS	Technology	Software - Application
APP	Communication Services	Advertising Agencies
ARDX	Healthcare	Biotechnology
ARCB	Industrials	Trucking
ARKO	Consumer Cyclical	Specialty Retail
ARQQ	Technology	Software - Infrastructure
ARTNA	Utilities	Utilities - Regulated Water
ARXS	Industrials	Aerospace & Defense
ASND	Healthcare	Biotechnology
ASPS	Real Estate	Real Estate Services
ASTH	Healthcare	Medical Care Facilities
ATAI	Healthcare	Biotechnology
ATNI	Communication Services	Telecom Services
ATEX	Communication Services	Telecom Services
ATRC	Healthcare	Medical Instruments & Supplies
ATYR	Healthcare	Biotechnology
AUTL	Healthcare	Biotechnology
AUPH	Healthcare	Biotechnology
AVNW	Technology	Communication Equipment
AVGO	Technology	Semiconductors
AXON	Industrials	Aerospace & Defense
AZN	Healthcare	Drug Manufacturers - General
