AAK.ST	AAK AB	196.40			2.80%
ACADE.ST	AcadeMedia AB	96.40			2.33%
ADDTb.ST	Addtech AB	342.20			0.93%
AFRY.ST	Afry AB	103.10			5.82%
ALFA.ST	Alfa Laval AB	575.00			1.57%
ALIFb.ST	AddLife AB	162.60			0.92%
ALLEI.ST	Alleima AB	115.40			2.17%
ALTRA.ST	Altra Fastigheter AB	78.15			3.65%
AMBEA.ST	Ambea AB (publ)	173.60			1.53%
ANODb.ST	Addnode Group AB (publ)	43.55			2.64%
AQ.ST	AQ Group AB	217.20			0.83%
ARJOb.ST	Arjo AB (publ)	28.50			3.35%
ASKER.ST	Asker Healthcare Group AB	74.70			0.52%
ASMDEE.ST	Asmodee Group AB	153.60			0%
ASSA-B.ST	ASSA ABLOY AB ser. B	353.00			1.74%
ATCO-A.ST	Atlas Copco AB ser. A	204.10			1.47%
ATCO-B.ST	Atlas Copco AB ser. B	178.50			1.68%
ATRLJb.ST	Atrium Ljungberg AB	25.75			4.28%
ATTE.ST	Attendo AB (publ)	117.90			0.76%
AVANZ.ST	Avanza Bank Holding AB	401.60			3.17%
AXFO.ST	Axfood AB	247.10			3.54%
BALDB.ST	Fastighets AB Balder ser. B	53.36			0%
BEIAb.ST	Beijer Alma AB	297.00			0.67%
BEIJb.ST	Beijer Ref AB (publ)	132.10			1.10%
BETSB.ST	Betsson AB Class B	94.30			7.64%
BILL.ST	Billerud AB (publ)	76.60			2.61%
BIOAb.ST	BioArctic AB	344.60			0.58%
BIOGb.ST	Biogaia AB	117.30			1.40%
BOL.ST	Boliden AB	574.80			1.91%
BONEX.ST	Bonesupport Holding AB	224.40			0%
BRAV.ST	Bravida Holding AB	134.90			2.82%
BUFAB.ST	Bufab AB (publ)	134.60			0.97%
BURE.ST	Bure Equity AB	315.20			0.87%
CAMX.ST	Camurus AB	615.00			0%
CAST.ST	Castellum AB	133.65			0.93%
CATE.ST	Catena AB	387.00			2.39%
CIBUS.ST	Cibus Real Estate AB (publ)	142.95			6.87%
CLASb.ST	Clas Ohlson AB	435.80			1.61%
CLOEb.ST	Cloetta AB	55.05			2.54%
COFFEEB.ST	Coffee Stain Group AB	17.71			0%
DIOS.ST	Dios Fastigheter AB	64.95			3.54%
DOM.ST	Dometic Group AB	22.80			0%
DYVOX.ST	Dynavox Group AB	76.70			0.65%
EKTAB.ST	Elekta AB Ser. B	55.70			4.28%
ELUXB.ST	AB Electrolux Class B	29.66			0%
EMBRACB.ST	Embracer Group AB	74.32			0%
ENGCONb.ST	Engcon AB	66.00			1.52%
ENITY.ST	Enity Holding AB	77.90			0%
EPIA.ST	Epiroc AB	268.90			1.41%
EPROb.ST	Electrolux Professional AB (publ)	47.55			1.99%
EQT.ST	EQT AB	336.60			1.38%
ERIC-A.ST	Telefonaktiebolaget LM Ericsson	98.00			2.98%
ERIC-B.ST	Telefonaktiebolaget LM Ericsson	97.64			2.99%
ESSITYB.ST	Essity AB ser. B	281.20			3.12%
EVO.ST	Evolution AB	839.00			0%
FABG.ST	Fabege AB	74.15			2.83%
GETIB.ST	Getinge AB Ser. B	243.30			1.95%
GRANG.ST	Granges AB	175.90			1.88%
HACK.ST	Hacksaw AB	82.25			5.28%
HEM.ST	Hemnet Group AB (publ)	102.60			0.93%
HEXA-B.ST	Hexagon AB ser. B	100.80			1.50%
HM-B.ST	Hennes & Mauritz AB, H & M ser. B	184.50			3.77%
HMSN.ST	HMS Networks AB	497.20			0.97%
HOFI.ST	Hoist Finance AB (publ)	219.20			1.49%
HOLMb.ST	Holmen AB	322.60			2.94%
HPOLB.ST	HEXPOL AB ser. B	90.60			4.65%
HTRO.ST	Hexatronic Group AB	39.15			0%
HUSQB.ST	Husqvarna AB Ser. B	37.44			2.67%
INDT.ST	Indutrade AB	248.20			1.25%
INDU-A.ST	Industrivärden, AB ser. A	541.50			1.62%
INTE.ST	Intellego Technologies AB	46.55			0%
INTEAb.ST	Intea Fastigheter AB (publ)	73.30			1.37%
INTRUM.ST	Intrum AB	3.69			0%
INVE-A.ST	Investor AB ser. A	410.20			1.33%
INVEB.ST	Investor AB ser. B	415.45			1.31%
INWI.ST	Inwido AB (publ)	175.10			3.14%
IPCOR.ST	International Petroleum Corp	240.00			0%
IVSO.ST	Invisio AB	231.40			1.30%
JM.ST	JM AB	125.10			1.60%
KARNO.ST	Karnov Group AB (publ)	82.10			0%
KINVB.ST	Kinnevik AB Class B	59.12			0%
LAGRb.ST	Lagercrantz Group AB	229.60			0.96%
LATOb.ST	Investment AB Latour	199.95			2.55%
LIAB.ST	Lindab International AB	126.30			4.35%
LIFCOb.ST	Lifco AB (publ)	317.00			0.85%
LOOMIS.ST	Loomis AB	528.00			2.84%
LUG.ST	Lundin Gold Inc	722.60			0%
LUMI.ST	Lundin Mining Corp	262.20			0%
LUND-B.ST	Lundbergföretagen AB, L E ser. B	573.00			0.86%
MCOVb.ST	Medicover AB	244.00			0.89%
MEDCAP.ST	MedCap AB (publ)	554.50			0%
