A2M.ASX	The a2 Milk Company Limited	7.03			2.65%
ABB.ASX	Aussie Broadband Ltd	4.70			1.04%
AD8.ASX	Audinate Group Ltd	2.66			0%
AGL.ASX	AGL Energy Limited	8.54			8.67%
AIA.ASX	Auckland International Airport Limited	7.19			1.90%
ALD.ASX	Ampol Limited	41.77			2.33%
ALL.ASX	Aristocrat Leisure Limited	61.70			1.62%
ALQ.ASX	ALS Limited	22.41			1.88%
ALU.ASX	Alurion Resources Ltd	0.68			0%
ALX.ASX	Atlas Arteria Limited	4.81			0%
AMC.ASX	Amcor plc	67.18			5.84%
AMP.ASX	AMP Limited	2.41			2.13%
ANN.ASX	Ansell Limited	41.16			2.03%
ANZ.ASX	ANZ Group Holdings Limited	37.11			4.49%
AOV.ASX	Amotiv Ltd	6.48			10.22%
APA.ASX	APA Group	10.68			0%
APE.ASX	Eagers Automotive Limited	22.47			3.16%
ARB.ASX	ARB Corporation Limited	21.25			3.36%
ARF.ASX	Arena REIT	2.46			8.09%
ASX.ASX	ASX Limited	56.82			3.72%
AUB.ASX	AUB Group Limited	30.12			3.12%
AX1.ASX	Accent Group Ltd	0.73			8.28%
AZJ.ASX	Aurizon Holdings Limited	3.74			5.08%
BAP.ASX	Bapcor Limited	0.47			12.09%
BEN.ASX	Bendigo and Adelaide Bank Limited	10.90			5.97%
BGA.ASX	Bega Cheese Limited	6.29			3.31%
BGL.ASX	Bellevue Gold Limited	1.71			0%
BHP.ASX	BHP Group Limited	67.45			2.90%
BMN.ASX	Bannerman Energy Ltd	4.31			0%
BOE.ASX	Boss Energy Ltd	1.76			0%
BOQ.ASX	Bank of Queensland Limited	6.43			6.12%
BPT.ASX	Beach Energy Limited	0.89			8.05%
BRG.ASX	Breville Group Limited	32.88			1.13%
BRN.ASX	BrainChip Holdings Ltd	0.14			0%
BSL.ASX	BlueScope Steel Limited	30.96			3.06%
BVR.ASX	Bellavista Resources Ltd	0.39			0%
BWP.ASX	BWP Property Group	3.72			0%
BXB.ASX	Brambles Limited	19.40			3.30%
CAR.ASX	carsales.com Ltd	29.04			2.87%
CBA.ASX	Commonwealth Bank of Australia	156.89			3.25%
CCP.ASX	Credit Corp Group Limited	14.12			4.76%
CDA.ASX	Codan Ltd	49.82			0.72%
CGF.ASX	Challenger Limited	9.63			4.82%
CHC.ASX	Charter Hall Group	20.61			2.46%
CHN.ASX	Chalice Mining Limited	1.44			0%
CIA.ASX	Champion Iron Limited	3.57			3.64%
