1332.T	Nissui Corp.	1.30K			
1605.T	INPEX Corp.	3.85K			
1721.T	COMSYS Holdings Corp.	5.43K			
1801.T	Taisei Corp.	12.84K			
1802.T	Obayashi Corp.	2.97K			
1803.T	Shimizu Corp.	2.40K			
1808.T	Haseko Corp.	2.86K			
1812.T	Kajima Corp.	4.84K			
1925.T	Daiwa House Industry Co. Ltd.	4.72K			
1928.T	Sekisui House Ltd.	3.46K			
1963.T	JGC Holdings Corp.	2.28K			
2002.T	Nisshin Seifun Group Inc.	2.06K			
2269.T	Meiji Holdings Co. Ltd.	4.50K			
2282.T	NH Foods Ltd.	6.36K			
2413.T	M3 Inc.	1.76K			
2432.T	DeNA Co. Ltd.	2.54K			
2501.T	Sapporo Breweries Ltd	1.93K			
2502.T	Asahi Group Holdings Ltd.	1.68K			
2503.T	Kirin Holdings Co. Ltd.	3.09K			
2768.T	Sojitz Corp.	5.66K			
2801.T	Kikkoman Corp.	1.84K			
2802.T	Ajinomoto Co. Inc.	5.43K			
285A.T	Kioxia Holdings Corp	50.27K			
2871.T	Nichirei Corp.	2.13K			
2914.T	Japan Tobacco Inc.	6.99K			
3086.T	J. Front Retailing Co. Ltd.	3.13K			
3092.T	ZOZO Inc.	1.14K			
3099.T	Isetan Mitsukoshi Holdings Ltd.	3.60K			
3289.T	Tokyu Fudosan Holdings Corp	1.35K			
3382.T	Seven & i Holdings Co. Ltd.	2.03K			
3401.T	Teijin Ltd.	1.74K			
3402.T	Toray Industries Inc.	1.26K			
3405.T	Kuraray Co. Ltd.	1.78K			
3407.T	Asahi Kasei Corp.	1.62K			
3436.T	Sumco Corp	3.41K			
3659.T	Nexon Co. Ltd.	3.13K			
3697.T	SHIFT Inc	930.20			
3861.T	Oji Holdings Corp.	881.90			
4004.T	Resonac Holdings Corp.	16.11K			
4005.T	Sumitomo Chemical Co. Ltd.	556.10			
4021.T	Nissan Chemical Corp.	8.16K			
4042.T	Tosoh Corp.	2.67K			
4043.T	Tokuyama Corp.	4.04K			
4061.T	Denka Co. Ltd.	3.40K			
4062.T	Ibiden Co Ltd	20.01K			
4063.T	Shin-Etsu Chemical Co. Ltd.	5.98K			
4151.T	Kyowa Kirin Co. Ltd.	2.57K			
4183.T	Mitsui Chemicals Inc.	2.13K			
4188.T	Mitsubishi Chemical Group Corp.	1.13K			
4208.T	Ube Corp.	3.54K			
4307.T	Nomura Research Institute Ltd	5.05K			
4324.T	Dentsu Group Inc.	3.62K			
4385.T	Mercari Inc.	4.61K			
4452.T	Kao Corp.	3.59K			
4502.T	Takeda Pharmaceutical Co. Ltd.	5.88K			
4503.T	Astellas Pharma Inc.	2.43K			
4506.T	Sumitomo Pharma Co. Ltd.	1.46K			
4507.T	Shionogi & Co. Ltd.	2.91K			
4519.T	Chugai Pharmaceutical Co. Ltd.	7.06K			
4523.T	Eisai Co. Ltd.	4.85K			
4543.T	Terumo Corp.	2.58K			
4568.T	Daiichi Sankyo Co. Ltd.	2.90K			
4578.T	Otsuka Holdings Co. Ltd.	12.20K			
4661.T	Oriental Land Co. Ltd.	3.02K			
4689.T	LY Corp.	557.80			
4704.T	Trend Micro Inc.	5.57K			
4751.T	CyberAgent Inc.	1.34K			
4755.T	Rakuten Group Inc.	774.70			
4901.T	FUJIFILM Holdings Corp.	3.32K			
4902.T	Konica Minolta Inc.	664.40			
4911.T	Shiseido Co. Ltd.	3.77K			
5019.T	Idemitsu Kosan Co. Ltd.	1.36K			
5020.T	ENEOS Holdings Inc.	1.31K			
5101.T	Yokohama Rubber Co. Ltd.	7.55K			
5108.T	Bridgestone Corp.	4.14K			
5201.T	AGC Inc.	5.77K			
5214.T	Nippon Electric Glass Co. Ltd.	4.74K			
5233.T	Taiheiyo Cement Corp.	4.20K			
5301.T	Tokai Carbon Co. Ltd.	1.65K			
5332.T	TOTO Ltd.	6.47K			
5333.T	NGK Insulators Ltd.	5.41K			
5401.T	Nippon Steel Corp.	677.20			
5406.T	Kobe Steel Ltd.	2.04K			
5411.T	JFE Holdings Inc.	1.85K			
543A.T	ARCHION Corp	273.00			
5631.T	The Japan Steel Works Ltd.	7.63K			
5706.T	Mitsui Mining & Smelting Co. Ltd.	28.78K			
5711.T	Mitsubishi Materials Corp.	5.94K			
5713.T	Sumitomo Metal Mining Co. Ltd.	11.59K			
5714.T	DOWA Holdings Co. Ltd.	10.47K			
5801.T	Furukawa Electric Co. Ltd.	3.88K			
5802.T	Sumitomo Electric Industries Ltd.	2.22K			
5803.T	Fujikura Ltd.	5.30K			
5831.T	Shizuoka Financial Group Inc	3.56K			
6098.T	Recruit Holdings Co. Ltd.	17.04K			
6103.T	Okuma Corp.	4.89K			
6113.T	Amada Co. Ltd.	2.58K			
6146.T	Disco Corp.	60.83K			
6178.T	Japan Post Holdings Co. Ltd.	2.40K			
6273.T	SMC Corp.	71.49K			
6301.T	Komatsu Ltd.	7.47K			
6302.T	Sumitomo Heavy Industries Ltd.	5.85K			
6305.T	Hitachi Construction Machinery Co. Ltd.	5.84K			
6326.T	Kubota Corp.	2.81K			
6361.T	Ebara Corp.	4.96K			
6367.T	Daikin Industries Ltd.	21.04K			
6471.T	NSK Ltd.	1.11K			
6472.T	NTN Corp.	373.70			
6473.T	JTEKT Corp.	2.07K			
6479.T	Minebea Mitsumi Inc.	3.36K			
6501.T	Hitachi Ltd.	5.34K			
6503.T	Mitsubishi Electric Corp.	5.64K			
6504.T	Fuji Electric Co. Ltd.	13.96K			
6506.T	Yaskawa Electric Corp.	4.95K			
6526.T	Socionext Inc.	2.00K			
6532.T	BayCurrent Inc	7.82K			
6645.T	OMRON Corp.	6.46K			
6674.T	GS Yuasa Corp	5.38K			
6701.T	NEC Corp.	4.69K			
6702.T	Fujitsu Ltd.	3.71K			
6723.T	Renesas Electronics Corp.	3.38K			
6724.T	Seiko Epson Corp.	3.13K			
6752.T	Panasonic Holdings Corp.	4.33K			
6753.T	Sharp Corp.	639.40			
6758.T	Sony Group Corp.	3.89K			
6762.T	TDK Corp.	3.05K			
6770.T	Alps Alpine Co. Ltd.	2.20K			
6841.T	Yokogawa Electric Corp.	5.17K			
6857.T	Advantest Corp.	35.75K			
6861.T	Keyence Corp.	81.17K			
6902.T	Denso Corp.	1.92K			
6920.T	Lasertec Corp.	34.68K			
6952.T	Casio Computer Co. Ltd.	2.41K			
6954.T	FANUC Corp.	6.05K			
6963.T	Rohm Co Ltd	4.73K			
6971.T	Kyocera Corp.	3.62K			
6976.T	Taiyo Yuden Co. Ltd.	9.07K			
6981.T	Murata Manufacturing Co. Ltd.	7.17K			
6988.T	Nitto Denko Corp.	3.40K			
7004.T	Hitachi Zosen Corp.	1.19K			
7011.T	Mitsubishi Heavy Industries Ltd.	3.95K			
7012.T	Kawasaki Heavy Industries Ltd.	2.59K			
7013.T	IHI Corp.	2.65K			
7186.T	First Bank of Toyama Ltd.	1.92K			
7201.T	Nissan Motor Co. Ltd.	319.00			
7202.T	Isuzu Motors Ltd.	2.25K			
7203.T	Toyota Motor Corp.	3.08K			
7211.T	Mitsubishi Motors Corp.	372.20			
7261.T	Mazda Motor Corp.	1.21K			
7267.T	Honda Motor Co. Ltd.	1.68K			
7269.T	Suzuki Motor Corp.	2.15K			
7270.T	Subaru Corp.	2.64K			
7272.T	Yamaha Motor Co. Ltd.	1.97K			
7453.T	Ryohin Keikaku Co. Ltd.	4.29K			
7731.T	Nikon Corp.	1.96K			
7733.T	Olympus Corp.	2.14K			
7735.T	SCREEN Holdings Co. Ltd.	13.23K			
7741.T	HOYA Corp.	24.93K			
7751.T	Canon Inc.	4.65K			
7752.T	Ricoh Co. Ltd.	1.69K			
7832.T	Bandai Namco Holdings Inc.	5.66K			
7911.T	TOPPAN Holdings Inc.	5.04K			
7912.T	Dai Nippon Printing Co. Ltd.	3.13K			
7951.T	Yamaha Corp.	1.30K			
7974.T	Nintendo Co. Ltd.	8.88K			
8001.T	ITOCHU Corp.	2.14K			
8002.T	Marubeni Corp.	4.92K			
8015.T	Toyota Tsusho Corp.	7.52K			
8031.T	Mitsui & Co. Ltd.	4.91K			
8035.T	Tokyo Electron Ltd.	55.41K			
8053.T	Sumitomo Corp.	1.76K			
8058.T	Mitsubishi Corp.	4.75K			
8233.T	Takashimaya Co. Ltd.	2.50K			
8252.T	Marui Group Co. Ltd.	2.99K			
8253.T	Credit Saison Co Ltd	4.82K			
8267.T	Aeon Co. Ltd.	1.38K			
8304.T	Aozora Bank Ltd.	3.39K			
8306.T	Mitsubishi UFJ Financial Group Inc.	3.57K			
8308.T	Resona Holdings Inc.	2.44K			
8309.T	Sumitomo Mitsui Trust Holdings Inc.	1.75K			
8316.T	Sumitomo Mitsui Financial Group Inc.	6.71K			
8331.T	The Chiba Bank Ltd.	2.83K			
8354.T	Fukuoka Financial Group Inc.	7.75K			
8411.T	Mizuho Financial Group Inc.	8.28K			
8591.T	ORIX Corp	6.34K			
8601.T	Daiwa Securities Group Inc.	1.81K			
8604.T	Nomura Holdings Inc.	1.61K			
8630.T	Sompo Holdings Inc.	6.87K			
8697.T	Japan Exchange Group Inc.	2.28K			
8725.T	MS&AD Insurance Group Holdings Inc.	5.08K			
8750.T	Dai-ichi Life Holdings Inc.	1.82K			
8766.T	Tokio Marine Holdings Inc.	7.62K			
8795.T	T&D Holdings Inc.	4.85K			
8801.T	Mitsui Fudosan Co. Ltd.	1.52K			
8802.T	Mitsubishi Estate Co. Ltd.	3.79K			
8804.T	Tokyo Tatemono Co. Ltd.	3.43K			
8830.T	Sumitomo Realty & Development Co. Ltd.	3.39K			
9001.T	Tobu Railway Co. Ltd.	3.02K			
9005.T	Tokyu Corp.	1.66K			
9007.T	Odakyu Electric Railway Co. Ltd.	1.77K			
9008.T	Keio Corp.	787.90			
9009.T	Keisei Electric Railway Co. Ltd.	1.33K			
9020.T	East Japan Railway Co.	3.59K			
9021.T	West Japan Railway Co.	2.99K			
9022.T	Central Japan Railway Co.	3.93K			
9064.T	Yamato Holdings Co. Ltd.	1.96K			
9101.T	Nippon Yusen K.K.	6.97K			
9104.T	Mitsui O.S.K. Lines Ltd.	7.07K			
9107.T	Kawasaki Kisen Kaisha Ltd.	3.31K			
9147.T	Nippon Express Holdings Inc	5.75K			
9201.T	Japan Airlines Co. Ltd.	3.05K			
9202.T	ANA Holdings Inc.	3.07K			
9432.T	Nippon Telegraph and Telephone Corp.	169.60			
9433.T	KDDI Corp.	2.90K			
9434.T	SoftBank Corp.	239.20			
9501.T	Tokyo Electric Power Company Holdings Inc.	539.70			
9502.T	Chubu Electric Power Co. Inc.	2.94K			
9503.T	The Kansai Electric Power Co. Inc.	2.62K			
9531.T	Tokyo Gas Co. Ltd.	6.08K			
9532.T	Osaka Gas Co. Ltd.	5.58K			
9602.T	Toho Co. Ltd.	1.58K			
9735.T	SECOM Co. Ltd.	6.41K			
9766.T	Konami Group Corp.	22.11K			
