A	155.00	174.40	190.00	USD
AA	49.70	62.97	80.00	USD
AADX	23.00	25.14	30.00	USD
AAMI				USD
AAP	33.00	50.21	70.00	USD
AAPL.24-7	215.00	324.45	400.00	USD
AAT	23.00	23.50	24.00	USD
AAUC				USD
ABBV	200.00	276.59	328.00	USD
ABCB	88.00	94.17	100.00	USD
ABEV	2.60	3.34	4.00	USD
ABG	190.00	254.20	315.00	USD
ABM	45.00	52.43	68.00	USD
ABR	5.00	5.88	8.00	USD
ABT.US	103.00	120.20	135.00	USD
ABX	12.00	14.08	16.00	USD
ACA.US	140.00	146.67	150.00	USD
ACCO				USD
ACEL				USD
ACH.US	1.30	1.51	1.75	USD
ACHR	4.50	10.61	18.00	USD
ACI	10.00	14.19	24.00	USD
ACM	65.00	86.92	106.00	USD
ACN	130.00	184.19	275.00	USD
ACRE	5.00	5.30	5.50	USD
ACVA	6.00	9.77	16.00	USD
AD	40.00	43.33	45.00	USD
ADC	80.00	84.86	93.00	USD
ADIG	24.00	28.50	35.00	USD
ADM	60.00	78.70	95.00	USD
ADNT				USD
ADT				USD
AEE	108.00	120.40	136.00	USD
AEG	9.15	9.88	10.60	USD
AEM	87.00	214.98	300.00	USD
AEO	16.00	19.70	31.00	USD
AER	165.00	179.30	190.00	USD
AERO.US	20.00	27.04	30.00	USD
AES	15.00	15.00	15.00	USD
AESI				USD
AEXA				USD
AFG	136.00	155.83	175.00	USD
AFL	99.00	118.53	138.00	USD
AG	22.50	24.75	27.00	USD
AGBK	8.82	12.22	15.69	USD
AGCO	98.00	122.47	151.00	USD
AGI	38.00	46.25	60.00	USD
AGL	85.00	115.08	146.00	USD
AGM	254.00	257.00	262.00	USD
AGO	80.00	90.33	97.00	USD
AGRO	10.50	13.14	16.00	USD
AGX	500.00	667.80	800.00	USD
AHR	55.00	63.67	74.00	USD
AHRT	7.00	7.50	8.00	USD
AI	6.00	8.82	15.00	USD
AIG	80.00	88.50	101.00	USD
AIN	61.00	62.00	64.00	USD
AIR.US	128.00	145.20	155.00	USD
AIT	390.00	400.00	420.00	USD
AIV				USD
AIZ	320.00	330.00	355.00	USD
AJG	250.00	291.56	388.00	USD
AKA.US	11.00	19.75	30.00	USD
AKR	23.00	24.75	26.00	USD
ALB	83.28	172.56	225.00	USD
ALG	188.00	204.80	216.00	USD
ALH	28.00	32.25	37.00	USD
ALIT	13.00	40.25	100.00	USD
ALK	37.00	61.28	92.00	USD
ALL	176.00	274.09	334.00	USD
ALLE	160.00	174.64	200.00	USD
ALLY	45.00	53.70	58.00	USD
ALSN	105.00	139.40	185.00	USD
ALTG	8.00	10.82	17.00	USD
ALUR				USD
ALV	118.00	134.71	148.00	USD
ALX				USD
AM	23.00	24.29	26.00	USD
AMBP	4.90	5.16	6.00	USD
AMC	1.80	2.72	4.00	USD
AMCR	42.00	49.93	60.00	USD
AME	217.00	277.50	316.00	USD
AMG	360.00	437.57	512.00	USD
AMH	32.00	37.16	42.00	USD
AMN	26.00	35.57	40.00	USD
AMP.US	489.00	579.45	645.00	USD
AMPX				USD
AMPY	6.50	7.75	9.00	USD
AMR				USD
AMRC	32.00	42.70	62.00	USD
AMRX	16.00	21.00	25.00	USD
AMRZ	48.00	56.48	70.00	USD
AMT	188.00	215.70	260.00	USD
AMTB	31.00	31.88	33.50	USD
AMTM	21.00	29.58	40.00	USD
AMWL	11.00	12.80	16.00	USD
AMX	20.80	29.44	35.00	USD
AMZN.24-7	230.00	327.00	405.00	USD
AN	210.00	246.69	300.00	USD
ANDG	49.00	54.83	58.00	USD
ANET	185.00	241.82	289.00	USD
ANF	87.00	147.89	175.00	USD
ANGX	6.00	8.00	9.00	USD
ANVS	8.00	11.00	17.00	USD
AON	339.00	404.05	445.00	USD
AORT	38.00	42.15	48.00	USD
AOS	59.00	69.91	84.00	USD
APAM				USD
APD	314.00	343.63	365.00	USD
APG	47.00	52.36	55.00	USD
APH	105.00	192.12	230.00	USD
APLE	16.00	17.17	18.50	USD
APO	130.00	152.84	173.00	USD
APTV	55.00	66.61	78.00	USD
AQN	6.00	6.75	7.25	USD
AR.US	37.00	49.40	60.00	USD
ARCO	9.10	11.29	14.00	USD
ARE	47.00	53.00	60.00	USD
ARES	122.00	147.50	168.00	USD
ARI	7.75	8.00	8.25	USD
ARIS	37.00	37.00	37.00	USD
ARLO	18.00	21.00	25.00	USD
ARMK	47.00	67.97	75.00	USD
AROC	40.00	42.50	46.00	USD
ARR	18.00	18.38	19.00	USD
ARW	200.00	235.00	250.00	USD
ARX	20.25	23.50	30.00	USD
AS	42.00	50.21	67.00	USD
ASAN	5.75	9.27	15.00	USD
ASB	33.00	34.40	36.00	USD
ASC	20.00	20.50	21.00	USD
ASH	70.00	80.18	90.00	USD
ASIX	18.00	20.00	22.00	USD
ASPN	5.00	7.75	10.00	USD
ASR	280.00	339.20	392.27	USD
ASX	48.00	48.00	48.00	USD
ATEN	34.00	38.40	45.00	USD
ATHM.CH	19.00	21.44	26.30	USD
ATI	191.00	248.44	275.00	USD
ATKR	92.00	93.50	95.00	USD
ATMU	56.00	65.20	73.00	USD
ATNM	2.00	3.50	5.00	USD
ATO	170.00	188.18	206.00	USD
ATR	155.00	170.14	220.00	USD
