1332.T	1,060.00	1,618.33	1,950.00	JPY
1605.T	3,220.00	4,300.00	4,950.00	JPY
1721.T	4,100.00	5,350.00	6,100.00	JPY
1801.T	10,600.00	16,414.29	22,100.00	JPY
1802.T				JPY
1803.T				JPY
1808.T				JPY
1812.T				JPY
1925.T				JPY
1928.T				JPY
1963.T	1,800.00	2,600.00	3,400.00	JPY
2002.T	2,000.00	2,090.00	2,150.00	JPY
2269.T	3,900.00	4,485.00	5,000.00	JPY
2282.T				JPY
2413.T	1,600.00	2,079.17	2,800.00	JPY
2432.T	2,070.00	2,565.00	3,100.00	JPY
2501.T				JPY
2502.T				JPY
2503.T	2,500.00	2,934.47	3,867.00	JPY
2768.T	5,200.00	6,216.25	7,900.00	JPY
2801.T	1,500.00	1,851.67	2,200.00	JPY
2802.T	3,650.00	6,067.86	7,300.00	JPY
285A.T				JPY
2871.T				JPY
2914.T	6,100.00	7,178.23	8,400.00	JPY
3086.T				JPY
3092.T	880.00	1,236.82	1,700.00	JPY
3099.T	2,400.00	3,723.33	4,300.00	JPY
3289.T	1,100.00	1,513.64	1,770.00	JPY
3382.T				JPY
3401.T	1,250.00	1,582.00	1,860.00	JPY
3402.T	970.00	1,397.50	1,700.00	JPY
3405.T	1,380.00	1,766.67	2,800.00	JPY
3407.T	1,400.00	1,984.17	2,500.00	JPY
3436.T	1,300.00	3,870.00	6,500.00	JPY
3659.T	2,270.00	2,922.89	3,600.00	JPY
3697.T	700.00	921.43	1,250.00	JPY
3861.T	800.00	873.33	1,000.00	JPY
4004.T	6,000.00	20,891.67	28,000.00	JPY
4005.T	500.00	651.00	870.00	JPY
4021.T	5,900.00	8,422.22	9,500.00	JPY
4042.T				JPY
4043.T				JPY
4061.T				JPY
4062.T	10,500.00	24,850.00	30,000.00	JPY
4063.T				JPY
4151.T	1,800.00	2,290.91	2,900.00	JPY
4183.T	1,800.00	2,375.83	3,600.00	JPY
4188.T	790.00	1,166.67	1,800.00	JPY
4208.T	3,100.00	3,400.00	4,000.00	JPY
4307.T				JPY
4324.T	2,500.00	3,520.00	4,000.00	JPY
4385.T	3,400.00	4,876.15	5,800.00	JPY
4452.T	3,100.00	3,818.08	4,200.00	JPY
4502.T				JPY
4503.T	1,700.00	2,476.43	3,100.00	JPY
4506.T				JPY
4507.T				JPY
4519.T				JPY
4523.T	3,200.00	4,546.43	5,500.00	JPY
4543.T				JPY
4568.T				JPY
4578.T	11,000.00	14,000.00	18,600.00	JPY
4661.T	2,290.00	3,272.08	5,000.00	JPY
4689.T	470.00	569.77	750.00	JPY
4704.T	5,300.00	6,333.33	9,000.00	JPY
4751.T				JPY
4755.T	575.00	958.67	1,400.00	JPY
4901.T				JPY
4902.T	550.00	666.25	800.00	JPY
4911.T	2,494.00	3,435.47	4,400.00	JPY
5019.T	1,070.00	1,411.43	1,720.00	JPY
5020.T				JPY
5101.T	6,200.00	8,352.73	9,500.00	JPY
5108.T	3,400.00	3,845.00	4,600.00	JPY
5201.T				JPY
5214.T				JPY
5233.T	3,700.00	4,660.00	5,000.00	JPY
5301.T				JPY
5332.T				JPY
5333.T				JPY
5401.T	470.00	698.89	840.00	JPY
5406.T	1,630.00	2,031.43	2,530.00	JPY
5411.T	1,600.00	1,841.11	2,200.00	JPY
543A.T				JPY
5631.T				JPY
5706.T				JPY
5711.T	4,500.00	5,490.00	6,450.00	JPY
5713.T	7,460.00	11,163.75	17,000.00	JPY
5714.T	7,710.00	10,244.29	12,700.00	JPY
5801.T				JPY
5802.T				JPY
5803.T	4,500.00	7,365.45	9,300.00	JPY
5831.T	2,600.00	3,570.00	4,270.00	JPY
6098.T	11,600.00	15,850.00	20,000.00	JPY
6103.T	3,800.00	4,684.00	5,900.00	JPY
6113.T				JPY
6146.T				JPY
6178.T	1,550.00	2,473.75	2,970.00	JPY
6273.T				JPY
6301.T	5,000.00	6,739.09	9,630.00	JPY
6302.T				JPY
6305.T	4,300.00	6,151.25	9,210.00	JPY
6326.T	2,250.00	3,222.00	4,040.00	JPY
6361.T				JPY
6367.T	16,000.00	24,428.29	29,500.00	JPY
6471.T				JPY
6472.T				JPY
6473.T				JPY
6479.T	2,300.00	4,794.67	5,750.00	JPY
6501.T	5,000.00	6,216.67	7,200.00	JPY
6503.T	3,500.00	6,884.62	8,200.00	JPY
6504.T	11,400.00	16,366.67	20,500.00	JPY
6506.T				JPY
6526.T				JPY
6532.T	6,500.00	8,125.00	10,100.00	JPY
6645.T	4,100.00	6,890.00	9,400.00	JPY
6674.T				JPY
6701.T				JPY
6702.T				JPY
6723.T	2,000.00	5,065.38	6,800.00	JPY
6724.T	1,800.00	2,587.50	3,800.00	JPY
6752.T	2,600.00	4,782.79	5,500.00	JPY
6753.T	500.00	691.67	890.00	JPY
6758.T	3,500.00	4,800.00	6,030.00	JPY
6762.T	2,150.00	4,110.29	5,500.00	JPY
6770.T	1,350.00	2,297.14	3,000.00	JPY
6841.T				JPY
6857.T	23,000.00	41,361.91	55,000.00	JPY
6861.T				JPY
6902.T	1,670.00	2,124.44	2,700.00	JPY
6920.T	25,000.00	49,131.25	70,000.00	JPY
6952.T	1,300.00	2,140.00	2,850.00	JPY
6954.T				JPY
6963.T	3,500.00	5,763.64	8,300.00	JPY
6971.T	1,500.00	3,485.33	4,700.00	JPY
6976.T	3,000.00	16,350.00	27,000.00	JPY
6981.T	4,200.00	10,485.29	15,750.00	JPY
6988.T	3,200.00	3,690.91	4,500.00	JPY
7004.T				JPY
7011.T	3,000.00	5,380.62	6,400.00	JPY
7012.T				JPY
7013.T				JPY
7186.T	1,500.00	2,045.56	2,450.00	JPY
7201.T				JPY
7202.T	1,900.00	2,542.31	3,100.00	JPY
7203.T				JPY
7211.T	330.00	373.92	500.00	JPY
7261.T	1,100.00	1,295.71	1,800.00	JPY
7267.T	1,400.00	1,727.33	2,200.00	JPY
7269.T	1,800.00	2,609.41	3,300.00	JPY
7270.T	2,200.00	2,736.67	3,600.00	JPY
7272.T				JPY
7453.T	3,500.00	4,750.00	5,800.00	JPY
7731.T	1,100.00	1,704.00	2,200.00	JPY
7733.T	1,750.00	2,157.69	3,300.00	JPY
7735.T				JPY
7741.T				JPY
7751.T	4,250.00	4,777.27	5,700.00	JPY
7752.T				JPY
7832.T	3,610.00	5,207.50	7,100.00	JPY
7911.T				JPY
7912.T	2,500.00	3,260.00	4,000.00	JPY
7951.T	1,050.00	1,225.71	1,400.00	JPY
7974.T	5,000.00	10,374.80	21,260.00	JPY
8001.T				JPY
8002.T				JPY
8015.T	7,100.00	8,303.75	10,300.00	JPY
8031.T	4,500.00	6,171.67	7,600.00	JPY
8035.T	42,300.00	74,209.09	99,000.00	JPY
8053.T	1,660.00	1,948.35	2,263.00	JPY
8058.T	3,280.74	5,353.40	7,000.00	JPY
8233.T	2,000.00	2,365.00	2,600.00	JPY
8252.T				JPY
8253.T				JPY
8267.T	810.00	1,390.00	2,300.00	JPY
8304.T				JPY
8306.T	2,330.00	3,663.64	4,360.00	JPY
8308.T	1,190.00	2,352.73	3,150.00	JPY
8309.T	1,105.00	1,646.12	2,050.00	JPY
8316.T	4,500.00	7,250.83	8,400.00	JPY
8331.T	2,000.00	2,746.25	3,470.00	JPY
8354.T	4,350.00	7,285.56	8,920.00	JPY
8411.T	4,650.00	8,837.27	10,760.00	JPY
8591.T				JPY
8601.T				JPY
8604.T	1,310.00	1,642.86	1,800.00	JPY
8630.T	4,789.00	6,929.00	8,670.00	JPY
8697.T	1,650.00	2,264.00	2,800.00	JPY
8725.T	3,270.00	4,968.18	6,000.00	JPY
8750.T	1,550.00	1,936.00	2,180.00	JPY
8766.T	5,842.00	8,601.00	10,500.00	JPY
8795.T	4,590.00	5,125.00	5,600.00	JPY
8801.T				JPY
8802.T				JPY
8804.T				JPY
8830.T				JPY
9001.T				JPY
9005.T				JPY
9007.T	1,700.00	1,833.33	2,000.00	JPY
9008.T	750.00	826.00	900.00	JPY
9009.T	1,100.00	1,262.00	1,500.00	JPY
9020.T				JPY
9021.T	2,760.00	3,078.18	3,500.00	JPY
9022.T	3,550.00	4,406.36	5,100.00	JPY
9064.T	1,420.00	1,815.45	2,100.00	JPY
9101.T				JPY
9104.T	3,850.00	6,922.73	8,600.00	JPY
9107.T				JPY
9147.T	3,320.00	5,252.50	6,400.00	JPY
9201.T	2,500.00	3,239.09	4,000.00	JPY
9202.T	2,700.00	3,465.83	4,200.00	JPY
9432.T	143.00	172.43	240.00	JPY
9433.T	1,865.00	2,930.40	3,500.00	JPY
9434.T				JPY
9501.T				JPY
9502.T	2,220.00	3,130.00	3,600.00	JPY
9503.T	2,220.00	2,562.00	2,770.00	JPY
9531.T	5,680.00	6,506.00	7,100.00	JPY
9532.T	4,430.00	6,291.67	7,420.00	JPY
9602.T	1,400.00	1,715.45	2,300.00	JPY
9735.T				JPY
9766.T				JPY
9843.T	2,500.00	3,000.00	3,600.00	JPY
9983.T				JPY
9984.T	3,140.00	7,740.25	11,100.00	JPY
