ACS.MC	78.10	130.61	159.00	EUR
ACX.MC	14.80	18.30	23.00	EUR
AENA.MC	20.00	26.84	31.50	EUR
ALM.MC	11.50	14.30	17.50	EUR
AMS.MC	51.00	68.28	80.90	EUR
ANA.MC	160.00	210.28	266.00	EUR
ANE.MC	17.00	23.20	28.30	EUR
APPS.MC				EUR
BBVA.MC	11.70	22.99	28.30	EUR
BKT.MC	10.30	16.31	19.00	EUR
CABK.MC	6.80	12.76	14.50	EUR
CAF.MC	60.00	73.09	87.50	EUR
CIE.MC	33.60	35.97	39.50	EUR
CLNX.MC	21.00	35.85	45.80	EUR
COL.MC	4.90	6.53	8.50	EUR
DIA.MC	43.80	49.78	53.60	EUR
ELE.MC	27.40	35.71	44.30	EUR
ENC.MC	2.70	3.34	4.20	EUR
ENG.MC	13.00	17.08	19.80	EUR
FAE.MC	4.82	5.36	6.00	EUR
FCC.MC	11.70	13.83	15.00	EUR
FDR.MC	20.00	26.20	31.00	EUR
FER.MC	45.00	62.12	80.00	EUR
GEST.MC	2.50	3.45	4.47	EUR
GRE.MC	79.50	129.48	155.00	EUR
GRF.MC	9.00	14.76	23.00	EUR
IBE.MC	17.30	20.51	23.50	EUR
IDR.MC	50.00	66.94	85.00	EUR
IMC.MC	4.60	4.60	4.60	EUR
ITX.MC	41.50	59.54	65.00	EUR
LDA.MC	1.15	1.45	1.60	EUR
LOG.MC	26.70	32.54	35.00	EUR
MAP.MC	3.65	4.18	4.60	EUR
MEL.MC	9.60	11.36	13.50	EUR
MRL.MC	13.90	17.36	20.85	EUR
MTS.MC	52.70	59.10	65.50	EUR
NTGY.MC	24.30	30.62	35.00	EUR
OHLA.MC	0.38	0.57	0.70	EUR
PHM.MC	85.50	104.39	125.00	EUR
PSG.MC	2.80	3.38	3.80	EUR
RED.MC	13.50	16.58	19.40	EUR
REP.MC	19.50	27.30	35.00	EUR
SAB.MC	2.30	3.41	4.15	EUR
ROVI.MC	64.20	74.36	83.00	EUR
SAN.MC	8.00	13.17	14.40	EUR
SCYR.MC	4.05	5.16	5.65	EUR
TEF.MC	3.10	3.96	5.00	EUR
TRE.MC	25.00	37.93	49.00	EUR
UNI.MC	2.60	3.08	3.60	EUR
VID.MC	86.00	103.79	124.00	EUR
VIS.MC	58.70	70.00	75.00	EUR
