ABBN.ZU	ABB LTD	79.62			1.18%
ACLN.ZU	Accelleron Industries Ltd	75.75			1.93%
ADEN.ZU	Adecco Group AG	24.18			4.11%
ALC.ZU	Alcon Inc.	58.72			0.48%
AMRZ.ZU	AMRIZE LTD	35.31			0%
AMS.ZU	Ams AG	17.88			0%
AVOL.ZU	Avolta AG	46.90			0%
BAER.ZU	Julius Baer Gruppe AG	74.56			3.45%
BARN.ZU	Barry Callebaut AG	1.15K			2.56%
BEAN.ZU	Belimo Holding AG	832.50			0%
BUCN.ZU	Bucher Industries AG	315.00			3.48%
CFR.ZU	Compagnie Financiere Richemont SA	187.05			1.57%
CLN.ZU	Clariant AG	10.51			0%
CMBN.ZU	Cembra Money Bank AG	87.80			5.26%
DAE.ZU	Daetwyler Holding AG	134.60			2.37%
DKSH.ZU	DKSH Holding AG	65.20			3.84%
EMSN.ZU	Ems-Chemie Holding AG	774.50			1.90%
FHZN.ZU	Flughafen Zurich AG	231.20			3.68%
GALD.ZU	Galderma Group AG	171.60			0%
GALE.ZU	Galenica AG	83.35			1.52%
GEBN.ZU	Geberit AG	583.20			2.20%
GIVN.ZU	Givaudan S.A	3.32K			2.13%
HBAN.ZU	Helvetia Baloise Holding AG	214.60			3.61%
HOLN.ZU	Holcim Ltd	71.16			0%
KNIN.ZU	Kuehne & Nagel International AG	220.90			2.72%
LAND.ZU	Landis+Gyr Group AG	46.45			0%
LISN.ZU	Chocoladefabriken Lindt & Spruengli AG	92.60K			0%
LISP.ZU	Chocoladefabriken Lindt & Sprungli AG	9.07K			1.98%
LOGN.ZU	Logitech International SA	78.54			1.58%
LONN.ZU	Lonza Group Ltd	593.80			0.43%
NESN.ZU	Nestle SA	79.82			3.88%
NOVN.ZU	Novartis AG	128.34			0%
OERL.ZU	OC Oerlikon Corporation AG	5.07			3.84%
PGHN.ZU	Partners Group Holding AG	726.00			6.25%
PPGN.ZU	PolyPeptide Group AG	43.95			0%
PSPN.ZU	PSP Swiss Property AG	146.20			2.71%
ROP.ZU	Roche Holding Ltd	373.80			2.66%
SCHP.ZU	Schindler Holding AG	264.80			2.25%
SCMN.ZU	Swisscom AG	641.00			4.08%
SDZ.ZU	Sandoz Group AG	73.54			0%
SGSN.ZU	SGS SA	93.48			3.42%
SIKA.ZU	Sika Ltd	190.35			0.96%
SLHN.ZU	Swiss Life Holding AG	921.00			3.96%
SMG.ZU	SMG Swiss Marketplace Group AG	32.60			0%
SOON.ZU	Sonova Holding AG	245.00			1.95%
SPSN.ZU	Swiss Prime Site AG	128.40			1.37%
SQN.ZU	Swissquote Group Holding SA	41.88			0%
SRAIL.ZU	Stadler Rail AG	24.52			1.67%
SREN.ZU	Swiss Re AG	140.55			4.43%
STMN.ZU	Straumann Holding Ltd	91.54			1.08%
TECN.ZU	Tecan Group AG	193.30			0.80%
TEMN.ZU	Temenos Ltd	75.50			1.87%
UBSG.ZU	UBS Group AG	43.22			0%
UHR.ZU	The Swatch Group SA - B Shares	187.95			2.37%
VACN.ZU	VAT Group Ltd	610.00			1.15%
ZURN.ZU	Zurich Insurance Group Ltd	595.00			5.02%
